frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,-200.000000,993.279968,0.000000,0.000000,-16.230000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
1,True,True,1.000000,0.000000,-195.759995,993.139954,0.000000,508.809998,-16.230000,-0.005495,0.005500,0.707086,0.707085,-1.866600,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
2,True,True,1.000000,0.000000,-191.449997,993.000000,0.000000,517.619995,-16.359999,-0.016360,0.016365,0.706917,0.706918,-3.688500,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
3,True,True,1.000000,0.000000,-187.059998,992.859985,0.000000,526.429993,-16.760000,-0.032458,0.032463,0.706362,0.706360,-5.466700,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
4,True,True,1.000000,0.000000,-182.599991,992.709961,0.000000,535.209961,-17.559999,-0.053638,0.053643,0.705071,0.705067,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
5,True,True,1.000000,0.000000,-178.069992,992.549988,0.000000,543.919983,-18.889999,-0.074867,0.074872,0.703133,0.703131,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
6,True,True,1.000000,0.000000,-173.470001,992.380005,0.000000,552.539978,-20.740000,-0.096025,0.096030,0.700560,0.700552,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
7,True,True,1.000000,0.000000,-169.649994,992.320007,0.000000,478.829987,-7.110000,-0.113936,0.113941,0.697868,0.697865,-5.499900,0.000000,0.000000,0.000000,5.130000,999.229980,0.000000,846.659973,-40.770000,0.009071,-0.009066,0.707050,0.707047,3.078100,0.000000,0.000000
8,True,True,1.000000,0.000000,-165.599991,992.239990,0.000000,487.190002,-9.910000,-0.134922,0.134927,0.694114,0.694116,-5.499900,0.000000,0.000000,0.000000,12.270000,998.899963,0.000000,846.440002,-40.750000,0.018140,-0.018135,0.706873,0.706875,3.078100,0.000000,0.000000
9,True,True,1.000000,0.000000,-161.470001,992.130005,0.000000,495.359985,-13.210000,-0.155783,0.155789,0.689730,0.689735,-5.499900,0.000000,0.000000,0.000000,19.320000,998.559998,0.000000,846.219971,-40.730000,0.027203,-0.027198,0.706583,0.706583,3.078100,0.000000,0.000000
10,True,True,1.000000,0.000000,-157.279999,991.989990,0.000000,503.319977,-17.000000,-0.176500,0.176505,0.684724,0.684724,-5.499900,0.000000,0.000000,0.000000,26.369999,998.219971,0.000000,846.000000,-40.709999,0.036261,-0.036256,0.706174,0.706179,3.078100,0.000000,0.000000
11,True,True,1.000000,0.000000,-153.019989,991.809998,0.000000,511.039978,-21.260000,-0.197059,0.197065,0.679091,0.679093,-5.499900,0.000000,0.000000,0.000000,33.419998,997.880005,0.000000,845.779968,-40.689999,0.045314,-0.045308,0.705650,0.705657,3.078100,0.000000,0.000000
12,True,True,1.000000,0.000000,-148.699997,991.589966,0.000000,518.479980,-25.980000,-0.217435,0.217441,0.672844,0.672846,-5.499900,0.000000,0.000000,0.000000,40.469997,997.539978,0.000000,845.559998,-40.669998,0.054361,-0.054355,0.705014,0.705015,3.078100,0.000000,0.000000
13,True,True,1.000000,0.000000,-144.319992,991.329956,0.000000,525.630005,-31.139999,-0.237617,0.237623,0.665987,0.665983,-5.499900,0.000000,0.000000,0.000000,47.509998,997.199951,0.000000,845.339966,-40.649998,0.063397,-0.063392,0.704258,0.704260,3.078100,0.000000,0.000000
14,True,True,1.000000,0.000000,-139.879990,991.019958,0.000000,532.450012,-36.719997,-0.257584,0.257589,0.658520,0.658521,-5.499900,0.000000,0.000000,0.000000,54.549999,996.859985,0.000000,845.119995,-40.629997,0.072423,-0.072417,0.703390,0.703387,3.078100,0.000000,0.000000
15,True,True,1.000000,0.000000,-135.389999,990.659973,0.000000,538.919983,-42.700001,-0.277312,0.277318,0.650456,0.650461,-5.499900,0.000000,0.000000,0.000000,61.590000,996.519958,0.000000,844.899963,-40.610001,0.081437,-0.081432,0.702401,0.702402,3.078100,0.000000,0.000000
16,True,True,1.000000,0.000000,-130.849991,990.250000,0.000000,545.019958,-49.059998,-0.296793,0.296799,0.641802,0.641805,-5.499900,0.000000,0.000000,0.000000,68.629997,996.179993,0.000000,844.679993,-40.590000,0.090441,-0.090436,0.701297,0.701302,3.078100,0.000000,0.000000
17,True,True,1.000000,0.000000,-126.259995,989.789978,0.000000,550.729980,-55.770000,-0.316004,0.316009,0.632567,0.632565,-5.499900,0.000000,0.000000,0.000000,75.669998,995.839966,0.000000,844.459961,-40.570000,0.099429,-0.099424,0.700077,0.700086,3.078100,0.000000,0.000000
