frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.340000,0.000000,18.330000,0.000000,0.000000,8.400000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000300,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,892.589966,0.000000,0.140000,78.759995,-0.500987,0.501006,-0.498991,-0.499013,0.041300,0.000000,-0.000400,0.000000,-0.010000,1049.069946,0.000000,-9.389999,143.080002,-0.000100,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
2,False,False,1.000000,-0.100000,0.000000,3.010000,891.579956,0.000000,0.130000,73.889999,-0.501106,0.501129,-0.498867,-0.498894,0.028800,0.000000,-0.000300,0.000000,-0.130000,1059.989990,0.000000,-9.380000,137.619995,-0.000202,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
3,False,False,1.000000,-0.100000,0.000000,3.010000,891.889954,0.000000,0.120000,69.019997,-0.501149,0.501171,-0.498824,-0.498851,0.016500,0.000000,-0.000200,0.000000,-0.220000,1062.679932,0.000000,-12.690000,173.910004,-0.000305,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
4,False,False,1.000000,-0.100000,0.000000,3.010000,892.419983,0.000000,0.110000,64.150002,-0.501160,0.501182,-0.498813,-0.498840,0.004500,0.000000,-0.000100,0.000000,-0.330000,1064.079956,0.000000,-12.679999,168.440002,-0.000407,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
5,False,False,1.000000,-0.100000,0.000000,3.010000,892.909973,0.000000,0.100000,59.279999,-0.501143,0.501166,-0.498829,-0.498856,-0.007100,0.000000,0.000000,0.000000,-0.440000,1065.439941,0.000000,-18.309999,231.039993,-0.000510,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
6,False,False,1.000000,-0.100000,0.000000,3.010000,893.359985,0.000000,0.090000,54.410000,-0.501106,0.501129,-0.498867,-0.498894,-0.018500,0.000000,0.000000,0.000000,-0.590000,1067.319946,0.000000,-18.299999,225.559998,-0.000612,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
7,False,False,1.000000,-0.100000,0.000000,3.010000,893.769958,0.000000,0.080000,49.539997,-0.501046,0.501070,-0.498926,-0.498953,-0.029700,0.000000,0.000000,0.000000,-0.740000,1069.150024,0.000000,-18.289999,220.080002,-0.000715,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
8,False,False,1.000000,-0.100000,0.000000,3.010000,894.139954,0.000000,0.070000,44.669998,-0.500960,0.500984,-0.499012,-0.499039,-0.040600,0.000000,0.000000,0.000000,-0.890000,1070.939941,0.000000,-18.279999,214.599991,-0.000817,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
9,False,False,1.000000,-0.100000,0.000000,3.010000,894.469971,0.000000,0.060000,39.799999,-0.500852,0.500877,-0.499120,-0.499147,-0.051300,0.000000,0.000000,0.000000,-1.040000,1072.679932,0.000000,-18.270000,209.119995,-0.000920,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
10,False,False,1.000000,-0.100000,0.000000,3.010000,894.760010,0.000000,0.050000,34.930000,-0.500723,0.500748,-0.499250,-0.499277,-0.061800,0.000000,0.000000,0.000000,-1.190000,1074.380005,0.000000,-18.260000,203.649994,-0.001022,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
11,False,False,1.000000,-0.100000,0.000000,3.010000,895.010010,0.000000,0.040000,30.059999,-0.500572,0.500598,-0.499401,-0.499428,-0.072000,0.000000,0.000000,0.000000,-1.340000,1076.030029,0.000000,-18.250000,198.179993,-0.001125,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
12,False,False,1.000000,-0.100000,0.000000,3.010000,895.219971,0.000000,0.030000,25.189999,-0.500399,0.500426,-0.499574,-0.499601,-0.082000,0.000000,0.000000,0.000000,-1.490000,1077.640015,0.000000,-18.240000,192.709991,-0.001227,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
13,False,False,1.000000,-0.100000,0.000000,3.010000,895.389954,0.000000,0.020000,20.320000,-0.500210,0.500238,-0.499762,-0.499789,-0.091800,0.000000,0.000000,0.000000,-1.640000,1079.199951,0.000000,-18.230000,187.239990,-0.001330,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
14,False,False,1.000000,-0.100000,0.000000,3.010000,895.519958,0.000000,0.010000,15.450000,-0.500000,0.500028,-0.499973,-0.500000,-0.101400,0.000000,0.000000,0.000000,-1.790000,1080.709961,0.000000,-18.219999,181.769989,-0.001432,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
15,False,False,1.000000,-0.100000,0.000000,3.010000,895.609985,0.000000,0.000000,10.580000,0.499768,-0.499795,0.500205,0.500233,-0.110800,0.000000,0.000000,0.000000,-1.940000,1082.179932,0.000000,-18.209999,176.300003,-0.001535,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
16,False,False,1.000000,-0.100000,0.000000,3.010000,895.659973,0.000000,0.000000,5.710000,0.499520,-0.499547,0.500453,0.500480,-0.120000,0.000000,0.000000,0.000000,-2.090000,1083.599976,0.000000,-18.199999,170.830002,-0.001637,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
17,False,False,1.000000,-0.100000,0.000000,3.010000,895.669983,0.000000,0.000000,0.840000,0.499250,-0.499277,0.500723,0.500748,-0.129000,0.000000,0.000000,0.000000,-2.240000,1084.979980,0.000000,-18.190001,165.360001,-0.001740,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
18,False,False,1.000000,-0.100000,0.000000,3.010000,895.639954,0.000000,0.000000,-4.020000,0.498964,-0.498991,0.501009,0.501032,-0.137800,0.000000,0.000000,0.000000,-2.390000,1086.309937,0.000000,-18.180000,159.899994,-0.001842,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
19,False,False,1.000000,-0.100000,0.000000,3.010000,895.570007,0.000000,0.000000,-8.880000,0.498656,-0.498683,0.501311,0.501342,-0.146400,0.000000,0.000000,0.000000,-2.540000,1087.599976,0.000000,-18.170000,154.440002,-0.001945,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
20,False,False,1.000000,-0.100000,0.000000,3.010000,895.459961,0.000000,0.000000,-13.740000,0.498333,-0.498360,0.501634,0.501662,-0.154800,0.000000,0.000000,0.000000,-2.690000,1088.839966,0.000000,-18.160000,148.979996,-0.002047,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
21,False,False,1.000000,-0.100000,0.000000,3.010000,895.309998,0.000000,0.000000,-18.600000,0.497993,-0.498020,0.501974,0.501997,-0.163100,0.000000,0.000000,0.000000,-2.840000,1090.039917,0.000000,-18.150000,143.520004,-0.002150,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
22,True,True,1.000000,0.050000,0.000000,3.010000,895.179993,0.000000,0.070000,-15.190000,0.497669,-0.497696,0.502292,0.502321,-0.153900,0.000000,0.000000,0.000000,-2.990000,1091.189941,0.000000,-18.139999,138.059998,-0.002252,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
23,True,True,1.000000,0.050000,0.000000,3.010000,895.079956,0.000000,0.150000,-11.780000,0.497367,-0.497394,0.502595,0.502617,-0.145000,0.000000,0.000000,0.000000,-3.140000,1092.289917,0.000000,-18.129999,132.599991,-0.002355,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
24,True,True,1.000000,0.050000,0.000000,3.010000,895.010010,0.000000,0.240000,-8.370000,0.497081,-0.497108,0.502875,0.502902,-0.136300,0.000000,0.000000,0.000000,-3.290000,1093.349976,0.000000,-18.119999,127.139999,-0.002457,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
25,True,True,1.000000,0.050000,0.000000,3.010000,894.969971,0.000000,0.340000,-4.960000,0.496811,-0.496838,0.503139,0.503171,-0.127800,0.000000,0.000000,0.000000,-3.440000,1094.359985,0.000000,-18.109999,121.689995,-0.002560,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
26,True,True,1.000000,0.050000,0.000000,3.010000,894.959961,0.000000,0.450000,-1.550000,0.496563,-0.496590,0.503388,0.503412,-0.119400,0.000000,0.000000,0.000000,-3.590000,1095.329956,0.000000,-18.100000,116.239998,-0.002662,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
27,True,True,1.000000,0.050000,0.000000,3.010000,894.979980,0.000000,0.570000,1.850000,0.496331,-0.496358,0.503620,0.503638,-0.111200,0.000000,0.000000,0.000000,-3.740000,1096.250000,0.000000,-18.090000,110.790001,-0.002765,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
28,True,True,1.000000,0.050000,0.000000,3.020000,895.019958,0.000000,0.690000,5.250000,0.496115,-0.496142,0.503835,0.503847,-0.103200,0.000000,0.000000,0.000000,-3.890000,1097.130005,0.000000,-18.080000,105.339996,-0.002867,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
29,True,True,1.000000,0.050000,0.000000,3.030000,895.089966,0.000000,0.820000,8.650000,0.495916,-0.495943,0.504035,0.504040,-0.095400,0.000000,0.000000,0.000000,-4.040000,1097.959961,0.000000,-18.070000,99.889999,-0.002970,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
