frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,-200.000000,993.279968,0.000000,0.000000,-16.230000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
1,True,True,1.000000,0.000000,-195.759995,993.139954,0.000000,508.809998,-16.230000,-0.005495,0.005500,0.707086,0.707085,-1.866600,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
2,True,True,1.000000,0.000000,-191.449997,993.000000,0.000000,517.619995,-16.359999,-0.016360,0.016365,0.706917,0.706918,-3.688500,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
3,True,True,1.000000,0.000000,-187.059998,992.859985,0.000000,526.429993,-16.760000,-0.032458,0.032463,0.706362,0.706360,-5.466700,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
4,True,True,1.000000,0.000000,-182.599991,992.709961,0.000000,535.209961,-17.559999,-0.053638,0.053643,0.705071,0.705067,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
5,True,True,1.000000,0.000000,-178.069992,992.549988,0.000000,543.919983,-18.889999,-0.074867,0.074872,0.703133,0.703131,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
6,True,True,1.000000,0.000000,-173.470001,992.380005,0.000000,552.539978,-20.740000,-0.096025,0.096030,0.700560,0.700552,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
7,True,True,1.000000,0.000000,-168.789993,992.190002,0.000000,561.029968,-23.109999,-0.117097,0.117103,0.697350,0.697337,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
8,True,True,1.000000,0.000000,-165.069992,992.099976,0.000000,484.579987,-10.340000,-0.134722,0.134727,0.694159,0.694148,-5.500000,0.000000,0.000000,0.000000,6.140000,999.259949,0.000000,866.049988,-29.750000,0.008597,-0.008591,0.707056,0.707053,2.917400,0.000000,0.000000
9,True,True,1.000000,0.000000,-161.009995,991.979980,0.000000,492.750000,-13.630000,-0.155584,0.155589,0.689781,0.689773,-5.499900,0.000000,0.000000,0.000000,13.630000,999.029968,0.000000,865.829956,-29.740000,0.017191,-0.017185,0.706899,0.706896,2.917300,0.000000,0.000000
10,True,True,1.000000,0.000000,-156.839996,991.829956,0.000000,500.709991,-17.410000,-0.176305,0.176311,0.684776,0.684772,-5.499900,0.000000,0.000000,0.000000,20.840000,998.779968,0.000000,865.609985,-29.730000,0.025779,-0.025774,0.706636,0.706637,2.917300,0.000000,0.000000
11,True,True,1.000000,0.000000,-152.599991,991.649963,0.000000,508.429993,-21.660000,-0.196865,0.196870,0.679152,0.679145,-5.499900,0.000000,0.000000,0.000000,28.049999,998.529968,0.000000,865.389954,-29.719999,0.034368,-0.034362,0.706271,0.706272,2.917300,0.000000,0.000000
12,True,True,1.000000,0.000000,-148.300003,991.429993,0.000000,515.880005,-26.369999,-0.217247,0.217252,0.672909,0.672904,-5.499900,0.000000,0.000000,0.000000,35.259998,998.279968,0.000000,865.169983,-29.709999,0.042951,-0.042945,0.705801,0.705801,2.917300,0.000000,0.000000
13,True,True,1.000000,0.000000,-143.940002,991.169983,0.000000,523.029968,-31.519999,-0.237429,0.237434,0.666053,0.666052,-5.499900,0.000000,0.000000,0.000000,42.469997,998.029968,0.000000,864.949951,-29.699999,0.051529,-0.051523,0.705225,0.705229,2.917300,0.000000,0.000000
14,True,True,1.000000,0.000000,-139.520004,990.859985,0.000000,529.859985,-37.090000,-0.257395,0.257400,0.658597,0.658591,-5.499900,0.000000,0.000000,0.000000,49.680000,997.779968,0.000000,864.729980,-29.689999,0.060096,-0.060090,0.704544,0.704553,2.917300,0.000000,0.000000
15,True,True,1.000000,0.000000,-135.050003,990.500000,0.000000,536.339966,-43.070000,-0.277129,0.277134,0.650542,0.650531,-5.499900,0.000000,0.000000,0.000000,56.879997,997.529968,0.000000,864.510010,-29.679998,0.068657,-0.068652,0.703762,0.703770,2.917300,0.000000,0.000000
16,True,True,1.000000,0.000000,-130.529999,990.089966,0.000000,542.450012,-49.430000,-0.296610,0.296615,0.641894,0.641883,-5.499900,0.000000,0.000000,0.000000,64.080002,997.279968,0.000000,864.289978,-29.670000,0.077208,-0.077203,0.702877,0.702881,2.917300,0.000000,0.000000
17,True,True,1.000000,0.000000,-125.959999,989.619995,0.000000,548.159973,-56.139999,-0.315821,0.315826,0.632662,0.632653,-5.499900,0.000000,0.000000,0.000000,71.279999,997.029968,0.000000,864.070007,-29.660000,0.085748,-0.085743,0.701885,0.701893,2.917300,0.000000,0.000000
