frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,-200.000000,993.279968,0.000000,0.000000,-16.230000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
1,True,True,1.000000,0.000000,-195.759995,993.139954,0.000000,508.809998,-16.230000,-0.005495,0.005500,0.707086,0.707085,-1.866600,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
2,True,True,1.000000,0.000000,-191.449997,993.000000,0.000000,517.619995,-16.359999,-0.016360,0.016365,0.706917,0.706918,-3.688500,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
3,True,True,1.000000,0.000000,-187.059998,992.859985,0.000000,526.429993,-16.760000,-0.032458,0.032463,0.706362,0.706360,-5.466700,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
4,True,True,1.000000,0.000000,-182.599991,992.709961,0.000000,535.209961,-17.559999,-0.053638,0.053643,0.705071,0.705067,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
5,True,True,1.000000,0.000000,-178.069992,992.549988,0.000000,543.919983,-18.889999,-0.074867,0.074872,0.703133,0.703131,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
6,True,True,1.000000,0.000000,-173.470001,992.380005,0.000000,552.539978,-20.740000,-0.096025,0.096030,0.700560,0.700552,-5.499900,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
7,True,True,1.000000,0.000000,-169.940002,992.380005,0.000000,465.879974,-3.040000,-0.110839,0.110845,0.698369,0.698362,-5.145500,0.000000,0.000000,0.000000,6.900000,998.809998,0.000000,924.349976,-65.150002,0.005791,-0.005786,0.707081,0.707085,1.964500,0.000000,0.000000
8,True,True,1.000000,0.000000,-166.059998,992.339966,0.000000,474.259979,-5.770000,-0.130811,0.130816,0.694904,0.694898,-5.500000,0.000000,0.000000,0.000000,15.040000,998.239990,0.000000,924.109985,-65.129997,0.011580,-0.011575,0.707010,0.707014,1.964500,0.000000,0.000000
9,True,True,1.000000,0.000000,-162.039993,992.269958,0.000000,482.470001,-8.970000,-0.151694,0.151700,0.690645,0.690642,-5.499900,0.000000,0.000000,0.000000,22.740000,997.699951,0.000000,923.869995,-65.110001,0.017369,-0.017363,0.706891,0.706896,1.964500,0.000000,0.000000
10,True,True,1.000000,0.000000,-157.949997,992.159973,0.000000,490.470001,-12.660000,-0.172443,0.172448,0.685760,0.685754,-5.499900,0.000000,0.000000,0.000000,30.439999,997.159973,0.000000,923.630005,-65.089996,0.023152,-0.023146,0.706724,0.706732,1.964500,0.000000,0.000000
11,True,True,1.000000,0.000000,-153.800003,992.019958,0.000000,498.239990,-16.830000,-0.193035,0.193040,0.680249,0.680246,-5.499900,0.000000,0.000000,0.000000,38.129997,996.619995,0.000000,923.389954,-65.070000,0.028935,-0.028930,0.706508,0.706521,1.964500,0.000000,0.000000
12,True,True,1.000000,0.000000,-149.589996,991.839966,0.000000,505.739990,-21.459999,-0.213449,0.213454,0.674124,0.674117,-5.499900,0.000000,0.000000,0.000000,45.820000,996.079956,0.000000,923.149963,-65.049995,0.034718,-0.034713,0.706249,0.706259,1.964500,0.000000,0.000000
13,True,True,1.000000,0.000000,-145.319992,991.619995,0.000000,512.950012,-26.529999,-0.233668,0.233674,0.667383,0.667379,-5.499900,0.000000,0.000000,0.000000,53.509998,995.539978,0.000000,922.909973,-65.029999,0.040496,-0.040491,0.705941,0.705951,1.964500,0.000000,0.000000
14,True,True,1.000000,0.000000,-140.989990,991.349976,0.000000,519.839966,-32.029999,-0.253678,0.253683,0.660038,0.660032,-5.500000,0.000000,0.000000,0.000000,61.199997,995.000000,0.000000,922.669983,-65.010002,0.046274,-0.046269,0.705585,0.705597,1.964500,0.000000,0.000000
15,True,True,1.000000,0.000000,-136.599991,991.029968,0.000000,526.380005,-37.930000,-0.273455,0.273461,0.652094,0.652085,-5.499900,0.000000,0.000000,0.000000,68.889999,994.459961,0.000000,922.429993,-64.989998,0.052046,-0.052041,0.705181,0.705197,1.964500,0.000000,0.000000
16,True,True,1.000000,0.000000,-132.160004,990.659973,0.000000,532.559998,-44.219997,-0.292984,0.292990,0.643558,0.643545,-5.499900,0.000000,0.000000,0.000000,76.570000,993.919983,0.000000,922.190002,-64.970001,0.057819,-0.057814,0.704733,0.704745,1.964500,0.000000,0.000000
17,True,True,1.000000,0.000000,-127.669998,990.239990,0.000000,538.349976,-50.869999,-0.312249,0.312255,0.634433,0.634422,-5.499900,0.000000,0.000000,0.000000,84.250000,993.380005,0.000000,921.949951,-64.949997,0.063586,-0.063581,0.704237,0.704248,1.964500,0.000000,0.000000
