frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
1,False,False,0.000000,0.000000,False,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
2,False,False,0.000000,0.000000,False,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
3,False,False,0.000000,0.000000,False,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
4,False,False,1.000000,0.000000,False,3500.179932,0.000000,17.000000,13.330000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.001000,0.000000
5,False,False,1.000000,0.000000,False,3500.290039,0.000000,17.000000,26.539999,0.000000,8.410000,0.000003,0.004793,0.000003,0.999988,0.000000,-0.001400,0.000000
6,False,False,1.000000,0.000000,False,3500.510010,0.000000,17.000000,39.639999,0.000000,8.410000,0.000003,0.004788,0.000003,0.999988,0.000000,-0.001600,0.000000
7,False,False,1.000000,0.000000,False,3500.839844,0.000000,17.000000,52.629997,0.000000,8.410000,0.000003,0.004782,0.000003,0.999988,0.000000,-0.001600,0.000000
8,False,False,1.000000,0.000000,False,3501.280029,0.000000,17.000000,65.510002,0.000000,8.410000,0.000003,0.004777,0.000003,0.999989,0.000000,-0.001600,0.000000
9,False,False,1.000000,0.000000,False,3501.829834,0.000000,17.000000,78.279999,0.000000,8.410000,0.000003,0.004772,0.000003,0.999989,0.000000,-0.001500,0.000000
10,False,False,1.000000,0.000000,False,3502.479980,0.000000,17.000000,90.939995,0.000000,8.410000,0.000003,0.004766,0.000003,0.999989,0.000000,-0.001400,0.000000
11,False,False,1.000000,0.000000,False,3503.239990,0.000000,17.000000,103.489998,0.000000,8.410000,0.000003,0.004761,0.000003,0.999989,0.000000,-0.001300,0.000000
12,False,False,1.000000,0.000000,False,3504.099854,0.000000,17.000000,115.930000,0.000000,8.410000,0.000003,0.004756,0.000003,0.999989,0.000000,-0.001200,0.000000
13,False,False,1.000000,0.000000,False,3505.069824,0.000000,17.000000,128.259995,0.000000,8.410000,0.000003,0.004750,0.000003,0.999989,0.000000,-0.001100,0.000000
14,False,False,1.000000,0.000000,False,3506.139893,0.000000,17.000000,140.489990,0.000000,8.410000,0.000003,0.004745,0.000003,0.999989,0.000000,-0.000900,0.000000
15,False,False,1.000000,0.000000,False,3507.309814,0.000000,17.000000,152.610001,0.000000,8.410000,0.000003,0.004739,0.000003,0.999989,0.000000,-0.000800,0.000000
16,False,False,1.000000,0.000000,False,3508.579834,0.000000,17.000000,164.629990,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000600,0.000000
17,False,False,1.000000,0.000000,False,3509.949951,0.000000,17.000000,176.550003,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000500,0.000000
18,False,False,1.000000,0.000000,False,3511.419922,0.000000,17.000000,188.369995,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000400,0.000000
19,False,False,1.000000,0.000000,False,3512.989990,0.000000,17.000000,200.080002,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000400,0.000000
20,False,False,1.000000,0.000000,False,3514.659912,0.000000,17.000000,211.690002,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
21,False,False,1.000000,0.000000,False,3516.419922,0.000000,17.000000,223.199997,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
22,False,False,1.000000,0.000000,False,3518.280029,0.000000,17.000000,234.619995,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
23,False,False,1.000000,0.000000,False,3520.239990,0.000000,17.000000,245.939987,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
24,False,False,1.000000,0.000000,False,3522.290039,0.000000,17.000000,257.160004,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
25,False,False,1.000000,0.000000,False,3524.429932,0.000000,17.000000,268.279999,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
26,False,False,1.000000,0.000000,False,3526.669922,0.000000,17.000000,279.309998,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
27,False,False,1.000000,0.000000,False,3529.000000,0.000000,17.000000,290.239990,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
28,False,False,1.000000,0.000000,False,3531.419922,0.000000,17.000000,301.079987,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
29,False,False,1.000000,0.000000,False,3533.929932,0.000000,17.000000,311.829987,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
30,False,False,1.000000,0.000000,False,3536.530029,0.000000,17.000000,322.489990,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
31,False,False,1.000000,0.000000,False,3539.219971,0.000000,17.000000,333.049988,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
32,False,False,1.000000,0.000000,False,3542.000000,0.000000,17.000000,343.519989,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
33,False,False,1.000000,0.000000,False,3544.859863,0.000000,17.000000,353.899994,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
34,False,False,1.000000,0.000000,False,3547.809814,0.000000,17.000000,364.199982,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
35,False,False,1.000000,0.000000,False,3550.839844,0.000000,17.000000,374.410004,0.000000,8.410000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000200,0.000000
