frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
1,False,False,0.000000,0.000000,False,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
2,False,False,0.000000,0.000000,False,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
3,False,False,0.000000,0.000000,False,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
4,True,True,1.000000,0.000000,False,0.000000,3500.409912,0.000000,18.330000,21.521000,0.000000,8.311000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.001410,0.000000
5,True,True,1.000000,0.000000,False,0.000000,3500.659912,0.000000,18.330000,42.861000,0.000000,8.251000,0.000003,0.008543,0.000003,0.999963,0.000000,-0.002010,0.000000
6,True,True,1.000000,0.000000,False,0.000000,3501.089844,0.000000,18.330000,64.011002,0.000000,8.211000,0.000003,0.008532,0.000003,0.999964,0.000000,-0.002410,0.000000
7,True,True,1.000000,0.000000,False,0.000000,3501.689941,0.000000,18.330000,84.980995,0.000000,8.181000,0.000003,0.008521,0.000003,0.999964,0.000000,-0.002610,0.000000
8,True,True,1.000000,0.000000,False,0.000000,3502.469971,0.000000,18.330000,105.770996,0.000000,8.161000,0.000003,0.008510,0.000003,0.999964,0.000000,-0.002710,0.000000
9,True,True,1.000000,0.000000,False,0.000000,3503.419922,0.000000,18.330000,126.380997,0.000000,8.141000,0.000003,0.008500,0.000003,0.999964,0.000000,-0.002710,0.000000
10,True,True,1.000000,0.000000,False,0.000000,3504.540039,0.000000,18.330000,146.820999,0.000000,8.131001,0.000003,0.008489,0.000003,0.999964,0.000000,-0.002610,0.000000
11,True,True,1.000000,0.000000,False,0.000000,3505.829834,0.000000,18.330000,167.081009,0.000000,8.121000,0.000003,0.008478,0.000003,0.999964,0.000000,-0.002410,0.000000
12,True,True,1.000000,0.000000,False,0.000000,3507.290039,0.000000,18.330000,187.171005,0.000000,8.121000,0.000003,0.008467,0.000003,0.999964,0.000000,-0.002110,0.000000
13,True,True,1.000000,0.000000,False,0.000000,3508.919922,0.000000,18.330000,207.091003,0.000000,8.121000,0.000003,0.008456,0.000003,0.999964,0.000000,-0.001810,0.000000
14,True,True,1.000000,0.000000,False,0.000000,3510.709961,0.000000,18.330000,226.841003,0.000000,8.121000,0.000003,0.008451,0.000003,0.999964,0.000000,-0.001510,0.000000
15,True,True,1.000000,0.000000,False,0.000000,3512.669922,0.000000,18.330000,246.421005,0.000000,8.121000,0.000003,0.008446,0.000003,0.999964,0.000000,-0.001210,0.000000
16,True,True,1.000000,0.000000,False,0.000000,3514.790039,0.000000,18.330000,265.830994,0.000000,8.121000,0.000003,0.008440,0.000003,0.999964,0.000000,-0.000910,0.000000
17,True,True,1.000000,0.000000,False,0.000000,3517.069824,0.000000,18.330000,285.071014,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,-0.000610,0.000000
18,True,True,1.000000,0.000000,False,0.000000,3519.510010,0.000000,18.330000,304.151001,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,-0.000310,0.000000
19,True,True,1.000000,0.000000,False,0.000000,3522.109863,0.000000,18.330000,323.061005,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,-0.000110,0.000000
20,True,True,1.000000,0.000000,False,0.000000,3524.869873,0.000000,18.330000,341.811005,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000000,0.000000
21,True,True,1.000000,0.000000,False,0.000000,3527.790039,0.000000,18.330000,360.401001,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000000,0.000000
22,True,True,1.000000,0.000000,False,0.000000,3530.859863,0.000000,18.330000,378.830994,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000000,0.000000
23,True,True,1.000000,0.000000,False,0.000000,3534.089844,0.000000,18.330000,397.101013,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000110,0.000000
24,True,True,1.000000,0.000000,False,0.000000,3537.469971,0.000000,18.330000,415.221008,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000110,0.000000
25,True,True,1.000000,0.000000,False,0.000000,3541.000000,0.000000,18.330000,433.181000,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000210,0.000000
26,True,True,1.000000,0.000000,False,0.000000,3544.679932,0.000000,18.330000,450.990997,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000210,0.000000
27,True,True,1.000000,0.000000,False,0.000000,3548.510010,0.000000,18.330000,468.651001,0.000000,8.121000,0.000003,0.008435,0.000003,0.999964,0.000000,0.000310,0.000000
