frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.361000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
1,False,False,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.361000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
2,False,False,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.361000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
3,False,False,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.361000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
4,True,True,0.000000,0.360000,0.000000,19.580000,-1.351000,0.000000,304.010986,0.000003,0.008408,0.000003,0.999965,0.000000,0.000110,0.000000
5,False,False,0.000000,0.350000,0.000000,22.150000,0.301000,0.000000,308.031006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
6,False,False,0.000000,0.350000,0.000000,24.750000,-0.131000,0.000000,312.050995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
7,False,False,0.000000,0.350000,0.000000,27.279999,0.031000,0.000000,303.920990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
8,False,False,0.000000,0.350000,0.000000,29.740000,0.000000,0.000000,295.791016,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
9,False,False,0.000000,0.350000,0.000000,32.139999,0.000000,0.000000,287.661011,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
10,False,False,0.000000,0.350000,0.000000,34.489998,0.000000,0.000000,282.240997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
11,False,False,0.000000,0.350000,0.000000,36.799999,0.000000,0.000000,276.821014,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
12,False,False,0.000000,0.350000,0.000000,39.059998,0.000000,0.000000,271.401001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
13,False,False,0.000000,0.350000,0.000000,41.279999,0.000000,0.000000,265.980988,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
14,False,False,0.000000,0.350000,0.000000,43.450001,0.000000,0.000000,260.561005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
15,False,False,0.000000,0.350000,0.000000,45.579998,0.000000,0.000000,255.141006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
16,False,False,0.000000,0.350000,0.000000,47.660000,0.000000,0.000000,249.721008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
17,False,False,0.000000,0.350000,0.000000,49.700001,0.000000,0.000000,244.300995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
18,False,False,0.000000,0.350000,0.000000,51.689999,0.000000,0.000000,238.880997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
19,False,False,0.000000,0.350000,0.000000,53.639999,0.000000,0.000000,233.460999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
20,False,False,0.000000,0.350000,0.000000,55.539997,0.000000,0.000000,228.041000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
21,False,False,0.000000,0.350000,0.000000,57.399998,0.000000,0.000000,222.621002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
22,False,False,0.000000,0.350000,0.000000,59.209999,0.000000,0.000000,217.201004,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
23,False,False,0.000000,0.350000,0.000000,60.969997,0.000000,0.000000,211.781006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
24,False,False,0.000000,0.350000,0.000000,62.689999,0.000000,0.000000,206.361008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
25,False,False,0.000000,0.350000,0.000000,64.360001,0.000000,0.000000,200.941010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
26,False,False,0.000000,0.350000,0.000000,65.989998,0.000000,0.000000,195.520996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
27,False,False,0.000000,0.350000,0.000000,67.570000,0.000000,0.000000,190.100998,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
28,False,False,0.000000,0.350000,0.000000,69.110001,0.000000,0.000000,184.681000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
29,False,False,0.000000,0.350000,0.000000,70.599998,0.000000,0.000000,179.261002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
30,False,False,0.000000,0.350000,0.000000,72.049995,0.000000,0.000000,173.841003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
31,False,False,0.000000,0.350000,0.000000,73.449997,0.000000,0.000000,168.421005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
32,False,False,0.000000,0.350000,0.000000,74.809998,0.000000,0.000000,163.001007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
33,False,False,0.000000,0.350000,0.000000,76.119995,0.000000,0.000000,157.581009,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
34,False,False,0.000000,0.350000,0.000000,77.389999,0.000000,0.000000,152.161011,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
35,False,False,0.000000,0.350000,0.000000,78.610001,0.000000,0.000000,146.740997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
36,False,False,0.000000,0.350000,0.000000,79.790001,0.000000,0.000000,141.320999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
37,False,False,0.000000,0.350000,0.000000,80.919998,0.000000,0.000000,135.901001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
38,False,False,0.000000,0.350000,0.000000,82.009995,0.000000,0.000000,130.481003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
39,False,False,0.000000,0.350000,0.000000,83.049995,0.000000,0.000000,125.060997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
40,False,False,0.000000,0.350000,0.000000,84.049995,0.000000,0.000000,119.640999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
41,False,False,0.000000,0.350000,0.000000,85.000000,0.000000,0.000000,114.221001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
42,False,False,0.000000,0.350000,0.000000,85.909996,0.000000,0.000000,108.800995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
43,False,False,0.000000,0.350000,0.000000,86.769997,0.000000,0.000000,103.380997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
44,False,False,0.000000,0.350000,0.000000,87.589996,0.000000,0.000000,97.960999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
45,False,False,0.000000,0.350000,0.000000,88.360001,0.000000,0.000000,92.541000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
46,False,False,0.000000,0.350000,0.000000,89.089996,0.000000,0.000000,87.120995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
47,False,False,0.000000,0.350000,0.000000,89.769997,0.000000,0.000000,81.700996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
48,False,False,0.000000,0.350000,0.000000,90.409996,0.000000,0.000000,76.280998,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
49,False,False,0.000000,0.350000,0.000000,91.000000,0.000000,0.000000,70.861000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
50,False,False,0.000000,0.350000,0.000000,91.549995,0.000000,0.000000,65.440994,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
51,False,False,0.000000,0.350000,0.000000,92.049995,0.000000,0.000000,60.021000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
