frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,1850.380005,0.000000,0.000000,-5953.900879,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,1800.729980,0.000000,0.000000,-5957.800781,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,1751.049927,0.000000,0.000000,-5961.700684,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,1701.339966,0.000000,0.000000,-5965.601074,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,1651.589966,0.000000,0.000000,-5969.500977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,1601.809937,0.000000,0.000000,-5973.400879,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,1552.000000,0.000000,0.000000,-5977.300781,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,1502.159912,0.000000,0.000000,-5981.200684,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,1452.279907,0.000000,0.000000,-5985.090820,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,1402.369995,0.000000,0.000000,-5988.980957,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,1352.429932,0.000000,0.000000,-5992.870605,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,1302.459961,0.000000,0.000000,-5996.760742,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,1252.449951,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,1202.419922,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,1152.390015,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,1102.359985,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,1052.329956,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,1002.299988,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,952.269958,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,902.239990,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
21,0.000000,0.000000,852.209961,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,802.179993,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,752.149963,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
24,0.000000,0.000000,702.119995,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
25,0.000000,0.000000,652.089966,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
26,0.000000,0.000000,602.059998,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
27,0.000000,0.000000,552.029968,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
28,0.000000,0.000000,502.000000,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
29,0.000000,0.000000,451.970001,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
30,0.000000,0.000000,401.940002,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
31,0.000000,0.000000,351.910004,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
32,0.000000,0.000000,301.880005,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
33,0.000000,0.000000,251.849991,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
34,0.000000,0.000000,201.819992,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
35,0.000000,0.000000,151.789993,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
36,0.000000,0.000000,101.759995,0.000000,0.000000,-6000.000977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
37,0.000000,0.000000,51.730000,0.000000,0.000000,-5999.990723,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
38,0.000000,0.000000,113.329994,0.000000,0.000000,3599.080811,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
39,0.000000,0.000000,143.270004,0.000000,0.000000,3592.750977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
40,0.000000,0.000000,173.160004,0.000000,0.000000,3586.420898,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
41,0.000000,0.000000,202.989990,0.000000,0.000000,3580.090820,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
