frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.120000,0.000000,18.629999,0.000000,0.000000,8.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000310,0.000000
1,True,True,0.140000,0.000000,21.160000,-0.521000,0.000000,304.110992,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
2,False,False,0.140000,0.000000,23.730000,0.111000,0.000000,308.131012,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
3,False,False,0.140000,0.000000,26.330000,-0.051000,0.000000,312.151001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
4,False,False,0.140000,0.000000,28.859999,0.000000,0.000000,304.020996,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
5,False,False,0.140000,0.000000,31.330000,0.000000,0.000000,295.890991,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
6,False,False,0.140000,0.000000,33.730000,0.000000,0.000000,287.760986,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
7,False,False,0.140000,0.000000,36.079998,0.000000,0.000000,282.341003,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
8,False,False,0.140000,0.000000,38.389999,0.000000,0.000000,276.920990,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
9,False,False,0.140000,0.000000,40.649998,0.000000,0.000000,271.501007,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
10,False,False,0.140000,0.000000,42.869999,0.000000,0.000000,266.080994,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
11,False,False,0.140000,0.000000,45.039997,0.000000,0.000000,260.661011,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
12,False,False,0.140000,0.000000,47.169998,0.000000,0.000000,255.240997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
13,False,False,0.140000,0.000000,49.250000,0.000000,0.000000,249.820999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
14,False,False,0.140000,0.000000,51.289997,0.000000,0.000000,244.401001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
15,False,False,0.140000,0.000000,53.279999,0.000000,0.000000,238.981003,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
16,False,False,0.140000,0.000000,55.230000,0.000000,0.000000,233.561005,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
17,False,False,0.140000,0.000000,57.129997,0.000000,0.000000,228.141006,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
18,False,False,0.140000,0.000000,58.989998,0.000000,0.000000,222.721008,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
19,False,False,0.140000,0.000000,60.799999,0.000000,0.000000,217.300995,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
20,False,False,0.140000,0.000000,62.570000,0.000000,0.000000,211.880997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
21,False,False,0.140000,0.000000,64.290001,0.000000,0.000000,206.460999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
22,False,False,0.140000,0.000000,65.970001,0.000000,0.000000,201.041000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
23,False,False,0.140000,0.000000,67.599998,0.000000,0.000000,195.621002,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
24,False,False,0.140000,0.000000,69.189995,0.000000,0.000000,190.201004,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
25,False,False,0.140000,0.000000,70.729996,0.000000,0.000000,184.781006,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
26,False,False,0.140000,0.000000,72.220001,0.000000,0.000000,179.361008,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
27,False,False,0.140000,0.000000,73.669998,0.000000,0.000000,173.941010,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
28,False,False,0.140000,0.000000,75.070000,0.000000,0.000000,168.520996,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
29,False,False,0.140000,0.000000,76.430000,0.000000,0.000000,163.100998,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
30,False,False,0.140000,0.000000,77.739998,0.000000,0.000000,157.681000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
31,False,False,0.140000,0.000000,79.009995,0.000000,0.000000,152.261002,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
32,False,False,0.140000,0.000000,80.229996,0.000000,0.000000,146.841003,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
33,False,False,0.140000,0.000000,81.409996,0.000000,0.000000,141.421005,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
34,False,False,0.140000,0.000000,82.540001,0.000000,0.000000,136.001007,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
35,False,False,0.140000,0.000000,83.629997,0.000000,0.000000,130.581009,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
36,False,False,0.140000,0.000000,84.669998,0.000000,0.000000,125.160995,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
37,False,False,0.140000,0.000000,85.669998,0.000000,0.000000,119.740997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
38,False,False,0.140000,0.000000,86.619995,0.000000,0.000000,114.320999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
39,False,False,0.140000,0.000000,87.529999,0.000000,0.000000,108.900993,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
40,False,False,0.140000,0.000000,88.389999,0.000000,0.000000,103.480995,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
41,False,False,0.140000,0.000000,89.209999,0.000000,0.000000,98.060997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
42,False,False,0.140000,0.000000,89.979996,0.000000,0.000000,92.640999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
43,False,False,0.140000,0.000000,90.709999,0.000000,0.000000,87.221001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
44,False,False,0.140000,0.000000,91.389999,0.000000,0.000000,81.800995,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
45,False,False,0.140000,0.000000,92.029999,0.000000,0.000000,76.380997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
46,False,False,0.140000,0.000000,92.619995,0.000000,0.000000,70.960999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
47,False,False,0.140000,0.000000,93.169998,0.000000,0.000000,65.541000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
48,False,False,0.140000,0.000000,93.669998,0.000000,0.000000,60.120998,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
49,False,False,0.140000,0.000000,94.129997,0.000000,0.000000,54.700996,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
50,False,False,0.140000,0.000000,94.540001,0.000000,0.000000,49.280998,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
51,False,False,0.140000,0.000000,94.909996,0.000000,0.000000,43.861000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
52,False,False,0.140000,0.000000,95.229996,0.000000,0.000000,38.440998,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
53,False,False,0.140000,0.000000,95.509995,0.000000,0.000000,33.021000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
54,False,False,0.140000,0.000000,95.739998,0.000000,0.000000,27.600998,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
55,False,False,0.140000,0.000000,95.919998,0.000000,0.000000,22.181000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
56,False,False,0.140000,0.000000,96.059998,0.000000,0.000000,16.761000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
57,False,False,0.140000,0.000000,96.150002,0.000000,0.000000,11.341001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
58,False,False,0.140000,0.000000,96.199997,0.000000,0.000000,5.921000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
59,False,False,0.140000,0.000000,96.199997,0.000000,0.000000,0.501000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
60,False,False,0.140000,0.000000,96.159996,0.000000,0.000000,-4.911000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
61,False,False,0.140000,0.000000,96.070000,0.000000,0.000000,-10.321000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
