frame,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
3,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000170,-0.000165,0.707107,0.707107,0.057510,0.000000,0.000000
4,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000510,-0.000504,0.707106,0.707107,0.114410,0.000000,0.000000
5,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.001012,-0.001006,0.707107,0.707105,0.170710,0.000000,0.000000
6,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.001680,-0.001675,0.707103,0.707107,0.226410,0.000000,0.000000
7,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.002511,-0.002506,0.707101,0.707103,0.281510,0.000000,0.000000
8,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.003504,-0.003499,0.707096,0.707100,0.336010,0.000000,0.000000
9,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.004653,-0.004648,0.707090,0.707092,0.389910,0.000000,0.000000
10,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.005959,-0.005953,0.707080,0.707084,0.443310,0.000000,0.000000
11,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.007421,-0.007415,0.707064,0.707072,0.496110,0.000000,0.000000
12,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.009034,-0.009028,0.707047,0.707051,0.548310,0.000000,0.000000
13,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.010803,-0.010798,0.707020,0.707028,0.600010,0.000000,0.000000
14,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.012724,-0.012718,0.706988,0.706997,0.651110,0.000000,0.000000
15,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.014790,-0.014784,0.706950,0.706954,0.701710,0.000000,0.000000
16,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.017002,-0.016996,0.706902,0.706903,0.751710,0.000000,0.000000
17,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.019359,-0.019354,0.706842,0.706841,0.801210,0.000000,0.000000
18,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.021862,-0.021857,0.706771,0.706767,0.850210,0.000000,0.000000
19,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.024511,-0.024506,0.706683,0.706681,0.898710,0.000000,0.000000
20,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.027300,-0.027295,0.706581,0.706578,0.946610,0.000000,0.000000
21,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.030224,-0.030219,0.706462,0.706459,0.994010,0.000000,0.000000
22,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.033289,-0.033283,0.706327,0.706319,1.040910,0.000000,0.000000
23,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.036488,-0.036482,0.706167,0.706163,1.087310,0.000000,0.000000
24,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.039822,-0.039816,0.705985,0.705985,1.133210,0.000000,0.000000
25,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.043291,-0.043285,0.705781,0.705780,1.178610,0.000000,0.000000
26,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.046889,-0.046884,0.705553,0.705548,1.223510,0.000000,0.000000
27,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.050617,-0.050611,0.705297,0.705289,1.268010,0.000000,0.000000
28,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.054474,-0.054469,0.705008,0.705003,1.312010,0.000000,0.000000
29,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.058456,-0.058450,0.704689,0.704684,1.355510,0.000000,0.000000
30,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.062561,-0.062556,0.704334,0.704334,1.398610,0.000000,0.000000
31,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.066791,-0.066785,0.703946,0.703945,1.441210,0.000000,0.000000
32,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.071139,-0.071133,0.703520,0.703519,1.483310,0.000000,0.000000
33,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.075606,-0.075600,0.703052,0.703055,1.525010,0.000000,0.000000
34,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.080191,-0.080186,0.702543,0.702548,1.566210,0.000000,0.000000
35,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.084896,-0.084890,0.701992,0.701992,1.607010,0.000000,0.000000
36,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.089713,-0.089708,0.701392,0.701394,1.647410,0.000000,0.000000
37,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.094644,-0.094639,0.700746,0.700743,1.687310,0.000000,0.000000
38,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.099683,-0.099677,0.700046,0.700045,1.726810,0.000000,0.000000
39,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.104829,-0.104824,0.699292,0.699295,1.765910,0.000000,0.000000
40,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.110084,-0.110079,0.698486,0.698485,1.804610,0.000000,0.000000
41,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.115446,-0.115441,0.697621,0.697617,1.842910,0.000000,0.000000
42,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.120911,-0.120906,0.696696,0.696689,1.880710,0.000000,0.000000
43,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.126473,-0.126468,0.695707,0.695702,1.918110,0.000000,0.000000
44,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.132138,-0.132133,0.694652,0.694650,1.955110,0.000000,0.000000
45,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.137900,-0.137894,0.693533,0.693528,1.991810,0.000000,0.000000
46,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.143753,-0.143748,0.692346,0.692336,2.028110,0.000000,0.000000
47,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.149703,-0.149698,0.691084,0.691073,2.064010,0.000000,0.000000
48,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.155746,-0.155740,0.689749,0.689735,2.099510,0.000000,0.000000
49,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.161874,-0.161869,0.688337,0.688322,2.134610,0.000000,0.000000
50,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.168089,-0.168084,0.686844,0.686833,2.169310,0.000000,0.000000
51,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.174390,-0.174385,0.685268,0.685263,2.203710,0.000000,0.000000
52,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.180772,-0.180767,0.683613,0.683607,2.237710,0.000000,0.000000
53,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.187235,-0.187230,0.681872,0.681864,2.271310,0.000000,0.000000
54,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.193774,-0.193768,0.680042,0.680036,2.304610,0.000000,0.000000
55,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.200388,-0.200382,0.678124,0.678115,2.337510,0.000000,0.000000
56,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.207072,-0.207067,0.676114,0.676103,2.370110,0.000000,0.000000
57,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.213832,-0.213826,0.674008,0.673993,2.402310,0.000000,0.000000
58,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.220656,-0.220651,0.671803,0.671792,2.434210,0.000000,0.000000
59,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.227545,-0.227540,0.669502,0.669489,2.465710,0.000000,0.000000
60,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.234499,-0.234494,0.667101,0.667083,2.496910,0.000000,0.000000
61,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.241512,-0.241507,0.664596,0.664574,2.527810,0.000000,0.000000
62,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.248585,-0.248580,0.661981,0.661963,2.558310,0.000000,0.000000
63,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.255712,-0.255706,0.659260,0.659244,2.588510,0.000000,0.000000
64,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.262887,-0.262881,0.656430,0.656417,2.618410,0.000000,0.000000
65,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.270116,-0.270110,0.653487,0.653477,2.648010,0.000000,0.000000
66,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.277388,-0.277383,0.650434,0.650423,2.677210,0.000000,0.000000
67,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.284703,-0.284698,0.647263,0.647257,2.706110,0.000000,0.000000
68,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.292062,-0.292056,0.643975,0.643971,2.734710,0.000000,0.000000
69,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.299458,-0.299453,0.640567,0.640567,2.763010,0.000000,0.000000
70,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.306887,-0.306881,0.637044,0.637039,2.791010,0.000000,0.000000
71,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.314348,-0.314342,0.633395,0.633392,2.818710,0.000000,0.000000
72,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.321836,-0.321831,0.629622,0.629621,2.846110,0.000000,0.000000
73,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.329351,-0.329345,0.625726,0.625721,2.873210,0.000000,0.000000
74,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.336887,-0.336882,0.621700,0.621696,2.900010,0.000000,0.000000
75,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.344446,-0.344440,0.617543,0.617542,2.926610,0.000000,0.000000
