frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-2000.000000,-4499.659668,18.330000,0.000000,0.000000,8.401000,-0.006045,0.006056,0.707074,0.707087,0.000510,0.000000,0.000000
1,True,True,0.000000,1.000000,-2000.000000,-4499.589844,18.330000,0.000000,21.521000,8.311000,-0.006045,0.006056,0.707074,0.707087,0.001610,0.000000,0.000000
2,True,True,0.000000,1.000000,-2000.000000,-4499.339844,18.330000,0.000000,42.861000,8.251000,-0.006040,0.006050,0.707074,0.707087,0.002210,0.000000,0.000000
3,True,True,0.000000,1.000000,-2000.000000,-4498.909668,18.330000,0.000000,64.011002,8.211000,-0.006034,0.006045,0.707074,0.707088,0.002610,0.000000,0.000000
4,True,True,0.000000,1.000000,-2000.000000,-4498.310059,18.330000,0.000000,84.980995,8.181000,-0.006029,0.006039,0.707074,0.707088,0.002810,0.000000,0.000000
5,True,True,0.000000,1.000000,-2000.000000,-4497.529785,18.330000,0.000000,105.770996,8.161000,-0.006018,0.006029,0.707074,0.707088,0.002910,0.000000,0.000000
6,True,True,0.000000,1.000000,-2000.000000,-4496.580078,18.330000,0.000000,126.380997,8.141000,-0.006007,0.006018,0.707074,0.707088,0.002910,0.000000,0.000000
7,True,True,0.000000,1.000000,-2000.000000,-4495.459961,18.330000,0.000000,146.820999,8.131001,-0.005996,0.006007,0.707074,0.707088,0.002710,0.000000,0.000000
8,True,True,0.000000,1.000000,-2000.000000,-4494.169922,18.330000,0.000000,167.081009,8.121000,-0.005991,0.006002,0.707074,0.707088,0.002510,0.000000,0.000000
9,True,True,0.000000,1.000000,-2000.000000,-4492.709961,18.330000,0.000000,187.171005,8.121000,-0.005986,0.005996,0.707074,0.707088,0.002210,0.000000,0.000000
10,True,True,0.000000,1.000000,-2000.000000,-4491.080078,18.330000,0.000000,207.091003,8.121000,-0.005980,0.005991,0.707074,0.707088,0.001910,0.000000,0.000000
11,True,True,0.000000,1.000000,-2000.000000,-4489.290039,18.330000,0.000000,226.841003,8.121000,-0.005975,0.005986,0.707074,0.707089,0.001610,0.000000,0.000000
12,True,True,0.000000,1.000000,-2000.000000,-4487.330078,18.330000,0.000000,246.421005,8.121000,-0.005969,0.005980,0.707074,0.707089,0.001310,0.000000,0.000000
13,True,True,0.000000,1.000000,-2000.000000,-4485.209961,18.330000,0.000000,265.830994,8.121000,-0.005964,0.005975,0.707074,0.707089,0.001010,0.000000,0.000000
14,True,True,0.000000,1.000000,-2000.000000,-4482.929688,18.330000,0.000000,285.071014,8.121000,-0.005959,0.005969,0.707074,0.707089,0.000710,0.000000,0.000000
15,True,True,0.000000,1.000000,-2000.000000,-4480.489746,18.330000,0.000000,304.151001,8.121000,-0.005959,0.005969,0.707074,0.707089,0.000410,0.000000,0.000000
16,True,True,0.000000,1.000000,-2000.000000,-4477.890137,18.330000,0.000000,323.061005,8.121000,-0.005959,0.005969,0.707074,0.707089,0.000210,0.000000,0.000000
17,True,True,0.000000,1.000000,-2000.000000,-4475.129883,18.330000,0.000000,341.811005,8.121000,-0.005959,0.005969,0.707074,0.707089,0.000000,0.000000,0.000000
18,True,True,0.000000,1.000000,-2000.000000,-4472.209961,18.330000,0.000000,360.401001,8.121000,-0.005959,0.005969,0.707074,0.707089,0.000000,0.000000,0.000000
19,True,True,0.000000,1.000000,-2000.000000,-4469.140137,18.330000,0.000000,378.830994,8.121000,-0.005959,0.005969,0.707074,0.707089,0.000000,0.000000,0.000000
20,True,True,0.000000,1.000000,-2000.000000,-4465.909668,18.330000,0.000000,397.101013,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000110,0.000000,0.000000
21,True,True,0.000000,1.000000,-2000.000000,-4462.529785,18.330000,0.000000,415.221008,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000210,0.000000,0.000000
22,True,True,0.000000,1.000000,-2000.000000,-4459.000000,18.330000,0.000000,433.181000,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000210,0.000000,0.000000
23,True,True,0.000000,1.000000,-2000.000000,-4455.319824,18.330000,0.000000,450.990997,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000310,0.000000,0.000000
24,True,True,0.000000,1.000000,-2000.000000,-4451.489746,18.330000,0.000000,468.651001,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000310,0.000000,0.000000
25,True,True,0.000000,1.000000,-2000.000000,-4447.520020,18.330000,0.000000,486.151001,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000310,0.000000,0.000000
26,True,True,0.000000,1.000000,-2000.000000,-4443.399902,18.330000,0.000000,503.501007,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000410,0.000000,0.000000
27,True,True,0.000000,1.000000,-2000.000000,-4439.129883,18.330000,0.000000,520.710938,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000410,0.000000,0.000000
28,True,True,0.000000,1.000000,-2000.000000,-4434.719727,18.330000,0.000000,537.770935,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000510,0.000000,0.000000
29,True,True,0.000000,1.000000,-2000.000000,-4430.169922,18.330000,0.000000,554.680969,8.121000,-0.005959,0.005969,0.707074,0.707089,-0.000510,0.000000,0.000000
