frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.120000,0.000000,18.629999,0.000000,0.000000,8.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000310,0.000000
1,True,True,0.140000,0.000000,21.160000,-0.521000,0.000000,304.110992,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
2,True,True,0.140000,0.000000,23.730000,0.111000,0.000000,308.131012,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
3,True,True,0.140000,0.000000,26.330000,-0.051000,0.000000,312.151001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
4,True,True,0.140000,0.000000,28.959999,-0.011000,0.000000,316.170990,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
5,True,True,0.140000,0.000000,31.629999,-0.021000,0.000000,320.191010,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
6,True,True,0.140000,0.000000,34.329998,0.051000,0.000000,324.210999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
7,True,True,0.140000,0.000000,37.090000,0.121000,0.000000,330.941010,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
8,True,True,0.140000,0.000000,39.899998,0.191000,0.000000,337.670990,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
9,True,True,0.140000,0.000000,42.770000,0.261000,0.000000,344.401001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
10,True,True,0.140000,0.000000,45.700001,0.331000,0.000000,351.131012,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
11,True,True,0.140000,0.000000,48.680000,0.401000,0.000000,357.860992,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
12,True,True,0.140000,0.000000,51.719997,0.471000,0.000000,364.591003,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
13,True,True,0.140000,0.000000,54.809998,0.541000,0.000000,371.320984,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
14,True,True,0.150000,0.000000,57.959999,0.611000,0.000000,378.050995,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
15,True,True,0.160000,0.000000,61.169998,0.681000,0.000000,384.781006,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
16,True,True,0.170000,0.000000,64.430000,0.751000,0.000000,391.510986,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
17,True,True,0.180000,0.000000,67.750000,0.821000,0.000000,398.240997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
18,True,True,0.190000,0.000000,71.119995,0.891000,0.000000,404.971008,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
19,True,True,0.200000,0.000000,74.549995,0.961000,0.000000,411.700989,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
20,True,True,0.210000,0.000000,78.040001,1.031000,0.000000,418.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
21,True,True,0.220000,0.000000,81.580002,1.101000,0.000000,425.161011,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
22,True,True,0.230000,0.000000,85.180000,1.171000,0.000000,431.890991,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
23,True,True,0.240000,0.000000,88.839996,1.241000,0.000000,438.621002,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
24,True,True,0.250000,0.000000,92.549995,1.311000,0.000000,445.350983,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
25,True,True,0.260000,0.000000,96.220001,1.311000,0.000000,439.931000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
26,True,True,0.270000,0.000000,99.839996,1.311000,0.000000,434.510986,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
27,True,True,0.280000,0.000000,103.419998,1.311000,0.000000,429.091003,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
28,True,True,0.290000,0.000000,106.949997,1.311000,0.000000,423.670990,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
29,True,True,0.300000,0.000000,110.439995,1.311000,0.000000,418.251007,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
30,True,True,0.310000,0.000000,113.879997,1.311000,0.000000,412.830994,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
31,True,True,0.320000,0.000000,117.279999,1.311000,0.000000,407.411011,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
32,True,True,0.330000,0.000000,120.629997,1.311000,0.000000,401.990997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
33,True,True,0.340000,0.000000,123.930000,1.311000,0.000000,396.570984,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
34,True,True,0.350000,0.000000,127.189995,1.311000,0.000000,391.151001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
35,True,True,0.360000,0.000000,130.399994,1.311000,0.000000,385.730988,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
36,True,True,0.370000,0.000000,133.569992,1.311000,0.000000,380.311005,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
37,True,True,0.380000,0.000000,136.690002,1.311000,0.000000,374.890991,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
38,True,True,0.390000,0.000000,139.770004,1.311000,0.000000,369.471008,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
39,True,True,0.400000,0.000000,142.800003,1.311000,0.000000,364.050995,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
40,True,True,0.410000,0.000000,145.789993,1.311000,0.000000,358.631012,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
41,True,True,0.420000,0.000000,148.729996,1.311000,0.000000,353.210999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
42,True,True,0.430000,0.000000,151.629990,1.311000,0.000000,347.790985,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
43,True,True,0.440000,0.000000,154.479996,1.311000,0.000000,342.371002,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
44,True,True,0.450000,0.000000,157.289993,1.311000,0.000000,336.950989,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
45,True,True,0.460000,0.000000,160.050003,1.311000,0.000000,331.531006,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
46,True,True,0.470000,0.000000,162.769989,1.311000,0.000000,326.110992,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
47,True,True,0.480000,0.000000,165.440002,1.311000,0.000000,320.691010,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
48,True,True,0.490000,0.000000,168.069992,1.311000,0.000000,315.270996,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
49,True,True,0.500000,0.000000,170.649994,1.311000,0.000000,309.851013,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
50,True,True,0.510000,0.000000,173.190002,1.311000,0.000000,304.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
51,True,True,0.520000,0.000000,175.679993,1.311000,0.000000,299.010986,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
52,True,True,0.530000,0.000000,178.129990,1.311000,0.000000,293.591003,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
53,True,True,0.540000,0.000000,180.529999,1.311000,0.000000,288.170990,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
54,True,True,0.550000,0.000000,182.889999,1.311000,0.000000,282.751007,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
55,True,True,0.560000,0.000000,185.199997,1.311000,0.000000,277.330994,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
56,True,True,0.570000,0.000000,187.470001,1.311000,0.000000,271.911011,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
57,True,True,0.580000,0.000000,189.690002,1.311000,0.000000,266.490997,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
58,True,True,0.590000,0.000000,191.869995,1.311000,0.000000,261.071014,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
59,True,True,0.600000,0.000000,194.000000,1.311000,0.000000,255.651001,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
60,True,True,0.610000,0.000000,196.089996,1.311000,0.000000,250.231003,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
61,True,True,0.620000,0.000000,198.129990,1.311000,0.000000,244.811005,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000210,0.000000
