frame,input.Throttle,input.bHoldingBoost,input.bActivateBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,False,False,-2000.000000,-4499.810059,17.000000,0.000000,0.000000,8.411000,-0.003396,0.003401,0.707101,0.707096,0.000510,0.000000,0.000000
1,0.000000,False,False,-2000.000000,-4499.810059,17.000000,0.000000,-0.011000,8.411000,-0.003396,0.003401,0.707101,0.707096,0.000510,0.000000,0.000000
2,0.000000,False,False,-2000.000000,-4499.810059,17.000000,0.000000,0.000000,8.411000,-0.003396,0.003401,0.707101,0.707096,0.000510,0.000000,0.000000
3,0.000000,False,False,-2000.000000,-4499.810059,17.000000,0.000000,-0.011000,8.411000,-0.003396,0.003401,0.707101,0.707096,0.000510,0.000000,0.000000
4,1.000000,True,True,-2000.000000,-4499.739746,17.000000,0.000000,21.511000,8.361000,-0.003396,0.003401,0.707101,0.707096,0.001210,0.000000,0.000000
5,1.000000,True,True,-2000.000000,-4499.489746,17.000000,0.000000,42.850998,8.331000,-0.003391,0.003396,0.707101,0.707096,0.001610,0.000000,0.000000
6,1.000000,True,True,-2000.000000,-4499.060059,17.000000,0.000000,64.000999,8.311000,-0.003385,0.003391,0.707101,0.707096,0.001710,0.000000,0.000000
7,1.000000,True,True,-2000.000000,-4498.459961,17.000000,0.000000,84.971001,8.301001,-0.003380,0.003385,0.707101,0.707096,0.001710,0.000000,0.000000
8,1.000000,True,True,-2000.000000,-4497.679688,17.000000,0.000000,105.760994,8.291000,-0.003374,0.003380,0.707101,0.707096,0.001610,0.000000,0.000000
9,1.000000,True,True,-2000.000000,-4496.729980,17.000000,0.000000,126.380997,8.281000,-0.003369,0.003374,0.707101,0.707096,0.001510,0.000000,0.000000
10,1.000000,True,True,-2000.000000,-4495.609863,17.000000,0.000000,146.820999,8.281000,-0.003364,0.003369,0.707102,0.707096,0.001310,0.000000,0.000000
11,1.000000,True,True,-2000.000000,-4494.319824,17.000000,0.000000,167.081009,8.281000,-0.003358,0.003364,0.707102,0.707096,0.001110,0.000000,0.000000
12,1.000000,True,True,-2000.000000,-4492.859863,17.000000,0.000000,187.171005,8.281000,-0.003353,0.003358,0.707102,0.707096,0.000910,0.000000,0.000000
13,1.000000,True,True,-2000.000000,-4491.229980,17.000000,0.000000,207.091003,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000710,0.000000,0.000000
14,1.000000,True,True,-2000.000000,-4489.439941,17.000000,0.000000,226.841003,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000610,0.000000,0.000000
15,1.000000,True,True,-2000.000000,-4487.479980,17.000000,0.000000,246.421005,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000510,0.000000,0.000000
16,1.000000,True,True,-2000.000000,-4485.359863,17.000000,0.000000,265.830994,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000410,0.000000,0.000000
17,1.000000,True,True,-2000.000000,-4483.080078,17.000000,0.000000,285.071014,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000410,0.000000,0.000000
18,1.000000,True,True,-2000.000000,-4480.640137,17.000000,0.000000,304.151001,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000410,0.000000,0.000000
19,1.000000,True,True,-2000.000000,-4478.040039,17.000000,0.000000,323.071014,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000410,0.000000,0.000000
20,1.000000,True,True,-2000.000000,-4475.279785,17.000000,0.000000,341.821014,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000410,0.000000,0.000000
21,1.000000,True,True,-2000.000000,-4472.359863,17.000000,0.000000,360.411011,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000310,0.000000,0.000000
22,1.000000,True,True,-2000.000000,-4469.290039,17.000000,0.000000,378.841003,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000310,0.000000,0.000000
23,1.000000,True,True,-2000.000000,-4466.060059,17.000000,0.000000,397.121002,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000310,0.000000,0.000000
24,1.000000,True,True,-2000.000000,-4462.679688,17.000000,0.000000,415.240997,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000310,0.000000,0.000000
