frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,0.000000,3500.119873,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
1,False,False,0.000000,0.000000,False,0.000000,3500.119873,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
2,False,False,0.000000,0.000000,False,0.000000,3500.119873,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
3,False,False,0.000000,0.000000,False,0.000000,3500.119873,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
4,True,True,1.000000,0.000000,False,0.000000,3500.299805,0.000000,18.639999,21.591000,0.000000,0.301000,0.000003,0.003002,0.000003,0.999995,0.000000,-0.000810,0.000000
5,True,True,1.000000,0.000000,False,0.000000,3500.659912,0.000000,18.639999,43.000999,0.000000,0.261000,0.000003,0.002997,0.000003,0.999995,0.000000,-0.001010,0.000000
6,True,True,1.000000,0.000000,False,0.000000,3501.199951,0.000000,18.639999,64.221001,0.000000,0.241000,0.000003,0.002991,0.000003,0.999995,0.000000,-0.001010,0.000000
7,True,True,1.000000,0.000000,False,0.000000,3501.909912,0.000000,18.639999,85.260994,0.000000,0.221000,0.000003,0.002986,0.000003,0.999995,0.000000,-0.001010,0.000000
8,True,True,1.000000,0.000000,False,0.000000,3502.790039,0.000000,18.639999,106.120995,0.000000,0.211000,0.000003,0.002981,0.000003,0.999996,0.000000,-0.000910,0.000000
9,True,True,1.000000,0.000000,False,0.000000,3503.849854,0.000000,18.639999,126.800995,0.000000,0.201000,0.000003,0.002975,0.000003,0.999996,0.000000,-0.000810,0.000000
