frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.120000,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
1,True,True,0.120000,0.000000,21.109999,-0.391000,0.000000,296.031006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
2,False,False,0.120000,0.000000,23.609999,0.161000,0.000000,300.050995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
3,False,False,0.120000,0.000000,26.139999,0.021000,0.000000,304.071014,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
4,False,False,0.120000,0.000000,28.609999,-0.011000,0.000000,295.941010,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
5,False,False,0.120000,0.000000,31.010000,0.000000,0.000000,287.811005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
6,False,False,0.120000,0.000000,33.340000,-0.011000,0.000000,279.681000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
7,False,False,0.120000,0.000000,35.599998,-0.011000,0.000000,271.550995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
8,False,False,0.120000,0.000000,37.820000,-0.011000,0.000000,266.131012,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
9,False,False,0.120000,0.000000,39.989998,-0.011000,0.000000,260.710999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
10,False,False,0.120000,0.000000,42.119999,-0.011000,0.000000,255.291000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
11,False,False,0.120000,0.000000,44.200001,-0.011000,0.000000,249.871002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
12,False,False,0.120000,0.000000,46.239998,-0.011000,0.000000,244.451004,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
13,False,False,0.120000,0.000000,48.230000,-0.011000,0.000000,239.031006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
14,False,False,0.120000,0.000000,50.180000,-0.011000,0.000000,233.611008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
15,False,False,0.120000,0.000000,52.079998,-0.011000,0.000000,228.191010,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
16,False,False,0.120000,0.000000,53.939999,-0.011000,0.000000,222.770996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
17,False,False,0.120000,0.000000,55.750000,-0.011000,0.000000,217.350998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
18,False,False,0.120000,0.000000,57.520000,-0.011000,0.000000,211.931000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
19,False,False,0.120000,0.000000,59.239998,-0.011000,0.000000,206.511002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
20,False,False,0.120000,0.000000,60.919998,-0.011000,0.000000,201.091003,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
21,False,False,0.120000,0.000000,62.549999,-0.011000,0.000000,195.671005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
22,False,False,0.120000,0.000000,64.139999,-0.011000,0.000000,190.251007,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
23,False,False,0.120000,0.000000,65.680000,-0.011000,0.000000,184.831009,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
24,False,False,0.120000,0.000000,67.180000,-0.011000,0.000000,179.410995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
25,False,False,0.120000,0.000000,68.629997,-0.011000,0.000000,173.990997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
26,False,False,0.120000,0.000000,70.029999,-0.011000,0.000000,168.570999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
27,False,False,0.120000,0.000000,71.389999,-0.011000,0.000000,163.151001,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
28,False,False,0.120000,0.000000,72.699997,-0.011000,0.000000,157.731003,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
29,False,False,0.120000,0.000000,73.970001,-0.011000,0.000000,152.311005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
30,False,False,0.120000,0.000000,75.189995,-0.011000,0.000000,146.891006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
31,False,False,0.120000,0.000000,76.369995,-0.011000,0.000000,141.471008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
32,False,False,0.120000,0.000000,77.500000,-0.011000,0.000000,136.051010,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
33,False,False,0.120000,0.000000,78.589996,-0.011000,0.000000,130.630997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
34,False,False,0.120000,0.000000,79.629997,-0.011000,0.000000,125.210999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
35,False,False,0.120000,0.000000,80.629997,-0.011000,0.000000,119.791000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
36,False,False,0.120000,0.000000,81.580002,-0.011000,0.000000,114.370995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
37,False,False,0.120000,0.000000,82.489998,-0.011000,0.000000,108.950996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
38,False,False,0.120000,0.000000,83.349998,-0.011000,0.000000,103.530998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
39,False,False,0.120000,0.000000,84.169998,-0.011000,0.000000,98.111000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
40,False,False,0.120000,0.000000,84.939995,-0.011000,0.000000,92.690994,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
41,False,False,0.120000,0.000000,85.669998,-0.011000,0.000000,87.270996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
42,False,False,0.120000,0.000000,86.349998,-0.011000,0.000000,81.850998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
43,False,False,0.120000,0.000000,86.989998,-0.011000,0.000000,76.431000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
