frame,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
1,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
2,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
3,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,0.351000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
4,1.000000,0.230000,0.000000,18.639999,13.331000,0.000000,0.351000,0.000003,0.003002,0.000003,0.999995,0.000000,-0.000810,0.000000
5,1.000000,0.450000,0.000000,18.639999,26.550999,0.000000,0.351000,0.000003,0.002997,0.000003,0.999995,0.000000,-0.001010,0.000000
6,1.000000,0.780000,0.000000,18.639999,39.650997,0.000000,0.351000,0.000003,0.002991,0.000003,0.999995,0.000000,-0.001010,0.000000
7,1.000000,1.220000,0.000000,18.639999,52.640999,0.000000,0.351000,0.000003,0.002986,0.000003,0.999995,0.000000,-0.001010,0.000000
8,1.000000,1.770000,0.000000,18.639999,65.520996,0.000000,0.351000,0.000003,0.002981,0.000003,0.999996,0.000000,-0.000910,0.000000
9,1.000000,2.420000,0.000000,18.639999,78.291000,0.000000,0.351000,0.000003,0.002975,0.000003,0.999996,0.000000,-0.000810,0.000000
10,1.000000,3.180000,0.000000,18.639999,90.950996,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000710,0.000000
11,1.000000,4.040000,0.000000,18.639999,103.500999,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000610,0.000000
12,1.000000,5.010000,0.000000,18.639999,115.940994,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000510,0.000000
13,1.000000,6.080000,0.000000,18.639999,128.281006,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000410,0.000000
14,1.000000,7.250000,0.000000,18.639999,140.511002,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000410,0.000000
15,1.000000,8.520000,0.000000,18.639999,152.630997,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000410,0.000000
16,1.000000,9.889999,0.000000,18.639999,164.651001,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000410,0.000000
17,1.000000,11.360000,0.000000,18.639999,176.570999,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000410,0.000000
18,1.000000,12.929999,0.000000,18.639999,188.391006,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000410,0.000000
