frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.180000,0.000000,17.000000,0.000000,0.000000,0.341000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000410,0.000000
1,True,True,0.170000,0.000000,19.469999,-0.631000,0.000000,296.020996,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000110,0.000000
2,True,True,0.170000,0.000000,21.969999,0.281000,0.000000,300.041016,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000110,0.000000
3,True,True,0.170000,0.000000,24.500000,0.031000,0.000000,304.061005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
4,True,True,0.170000,0.000000,27.070000,0.101000,0.000000,308.080994,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
5,True,True,0.170000,0.000000,29.670000,0.091000,0.000000,312.101013,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
6,True,True,0.170000,0.000000,32.299999,0.091000,0.000000,316.121002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
7,True,True,0.170000,0.000000,34.969997,0.201000,0.000000,320.140991,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
8,True,True,0.170000,0.000000,37.689999,0.311000,0.000000,326.871002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
9,True,True,0.170000,0.000000,40.469997,0.421000,0.000000,333.601013,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
10,True,True,0.170000,0.000000,43.309998,0.531000,0.000000,340.330994,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
11,True,True,0.180000,0.000000,46.200001,0.641000,0.000000,347.061005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
12,True,True,0.190000,0.000000,49.149998,0.751000,0.000000,353.790985,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
13,True,True,0.200000,0.000000,52.149998,0.861000,0.000000,360.520996,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
14,True,True,0.210000,0.000000,55.209999,0.971000,0.000000,367.251007,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
15,True,True,0.220000,0.000000,58.329998,1.081000,0.000000,373.980988,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
16,True,True,0.230000,0.000000,61.500000,1.191000,0.000000,380.710999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
17,True,True,0.240000,0.000000,64.729996,1.301000,0.000000,387.441010,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
18,True,True,0.250000,0.000000,68.010002,1.411000,0.000000,394.170990,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
19,True,True,0.260000,0.000000,71.349998,1.521000,0.000000,400.901001,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
20,True,True,0.270000,0.000000,74.750000,1.631000,0.000000,407.631012,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
21,True,True,0.280000,0.000000,78.199997,1.741000,0.000000,414.360992,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
22,True,True,0.300000,0.000000,81.709999,1.851000,0.000000,421.091003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
23,True,True,0.320000,0.000000,85.279999,1.961000,0.000000,427.820984,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
24,True,True,0.340000,0.000000,88.900002,2.071000,0.000000,434.550995,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
25,True,True,0.360000,0.000000,92.479996,2.071000,0.000000,429.131012,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
26,True,True,0.380000,0.000000,96.009995,2.071000,0.000000,423.710999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
27,True,True,0.400000,0.000000,99.500000,2.071000,0.000000,418.290985,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
28,True,True,0.420000,0.000000,102.939995,2.071000,0.000000,412.871002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
29,True,True,0.440000,0.000000,106.339996,2.071000,0.000000,407.450989,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
30,True,True,0.460000,0.000000,109.689995,2.071000,0.000000,402.031006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
31,True,True,0.480000,0.000000,113.000000,2.071000,0.000000,396.610992,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
32,True,True,0.500000,0.000000,116.259995,2.071000,0.000000,391.191010,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
33,True,True,0.520000,0.000000,119.469994,2.071000,0.000000,385.770996,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
34,True,True,0.540000,0.000000,122.639999,2.071000,0.000000,380.351013,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
35,True,True,0.560000,0.000000,125.759995,2.071000,0.000000,374.931000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
36,True,True,0.580000,0.000000,128.839996,2.071000,0.000000,369.510986,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
37,True,True,0.600000,0.000000,131.869995,2.071000,0.000000,364.091003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
38,True,True,0.620000,0.000000,134.860001,2.071000,0.000000,358.670990,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
39,True,True,0.640000,0.000000,137.800003,2.071000,0.000000,353.251007,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
40,True,True,0.660000,0.000000,140.699997,2.071000,0.000000,347.830994,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
41,True,True,0.680000,0.000000,143.550003,2.071000,0.000000,342.411011,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
42,True,True,0.700000,0.000000,146.360001,2.071000,0.000000,336.990997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
43,True,True,0.720000,0.000000,149.119995,2.071000,0.000000,331.571014,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
44,True,True,0.740000,0.000000,151.839996,2.071000,0.000000,326.151001,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
45,True,True,0.760000,0.000000,154.509995,2.071000,0.000000,320.730988,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
46,True,True,0.780000,0.000000,157.139999,2.071000,0.000000,315.311005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
47,True,True,0.800000,0.000000,159.720001,2.071000,0.000000,309.890991,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
48,True,True,0.820000,0.000000,162.259995,2.071000,0.000000,304.471008,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
49,True,True,0.840000,0.000000,164.750000,2.071000,0.000000,299.050995,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
50,True,True,0.860000,0.000000,167.199997,2.071000,0.000000,293.631012,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
51,True,True,0.880000,0.000000,169.599991,2.071000,0.000000,288.210999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
52,True,True,0.900000,0.000000,171.959991,2.071000,0.000000,282.791016,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
53,True,True,0.920000,0.000000,174.269989,2.071000,0.000000,277.371002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
54,True,True,0.940000,0.000000,176.539993,2.071000,0.000000,271.950989,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
55,True,True,0.960000,0.000000,178.759995,2.071000,0.000000,266.531006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
56,True,True,0.980000,0.000000,180.940002,2.071000,0.000000,261.110992,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
57,True,True,1.000000,0.000000,183.069992,2.071000,0.000000,255.690994,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
58,True,True,1.020000,0.000000,185.159988,2.071000,0.000000,250.270996,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
59,True,True,1.040000,0.000000,187.199997,2.071000,0.000000,244.850998,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
60,True,True,1.060000,0.000000,189.199997,2.071000,0.000000,239.431000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
61,True,True,1.080000,0.000000,191.149994,2.071000,0.000000,234.011002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
62,True,True,1.100000,0.000000,193.050003,2.071000,0.000000,228.591003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
63,True,True,1.120000,0.000000,194.909988,2.071000,0.000000,223.171005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
64,True,True,1.140000,0.000000,196.720001,2.071000,0.000000,217.751007,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
65,True,True,1.160000,0.000000,198.489990,2.071000,0.000000,212.331009,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
66,True,True,1.180000,0.000000,200.209991,2.071000,0.000000,206.910995,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
67,True,True,1.200000,0.000000,201.889999,2.071000,0.000000,201.490997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
68,True,True,1.220000,0.000000,203.519989,2.071000,0.000000,196.070999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
69,True,True,1.240000,0.000000,205.110001,2.071000,0.000000,190.651001,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
70,True,True,1.260000,0.000000,206.649994,2.071000,0.000000,185.231003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
71,True,True,1.280000,0.000000,208.149994,2.071000,0.000000,179.811005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
72,True,True,1.300000,0.000000,209.599991,2.071000,0.000000,174.391006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
73,True,True,1.320000,0.000000,211.009995,2.071000,0.000000,168.971008,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
74,True,True,1.340000,0.000000,212.369995,2.071000,0.000000,163.551010,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
75,True,True,1.360000,0.000000,213.690002,2.071000,0.000000,158.130997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
76,True,True,1.380000,0.000000,214.959991,2.071000,0.000000,152.710999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
77,True,True,1.400000,0.000000,216.190002,2.071000,0.000000,147.291000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
78,True,True,1.420000,0.000000,217.369995,2.071000,0.000000,141.871002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
79,True,True,1.440000,0.000000,218.509995,2.071000,0.000000,136.451004,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
80,True,True,1.460000,0.000000,219.599991,2.071000,0.000000,131.031006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
81,True,True,1.480000,0.000000,220.649994,2.071000,0.000000,125.611000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
82,True,True,1.500000,0.000000,221.649994,2.071000,0.000000,120.190994,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
83,True,True,1.520000,0.000000,222.610001,2.071000,0.000000,114.770996,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
84,True,True,1.540000,0.000000,223.519989,2.071000,0.000000,109.350998,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
85,True,True,1.560000,0.000000,224.389999,2.071000,0.000000,103.931000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
86,True,True,1.580000,0.000000,225.209991,2.071000,0.000000,98.510994,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
87,True,True,1.600000,0.000000,225.989990,2.071000,0.000000,93.090996,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
88,True,True,1.620000,0.000000,226.720001,2.071000,0.000000,87.670998,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
89,True,True,1.640000,0.000000,227.409988,2.071000,0.000000,82.250999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
90,True,True,1.660000,0.000000,228.049988,2.071000,0.000000,76.831001,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
91,True,True,1.680000,0.000000,228.649994,2.071000,0.000000,71.410995,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
92,True,True,1.700000,0.000000,229.199997,2.071000,0.000000,65.990997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
93,True,True,1.720000,0.000000,229.699997,2.071000,0.000000,60.570999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
94,True,True,1.740000,0.000000,230.159988,2.071000,0.000000,55.150997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
95,True,True,1.760000,0.000000,230.569992,2.071000,0.000000,49.730999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
96,True,True,1.780000,0.000000,230.940002,2.071000,0.000000,44.310997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
97,True,True,1.800000,0.000000,231.259995,2.071000,0.000000,38.890999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
98,True,True,1.820000,0.000000,231.539993,2.071000,0.000000,33.470997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
99,True,True,1.840000,0.000000,231.769989,2.071000,0.000000,28.050999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
100,True,True,1.860000,0.000000,231.959991,2.071000,0.000000,22.630999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
101,True,True,1.880000,0.000000,232.099991,2.071000,0.000000,17.210999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
102,True,True,1.900000,0.000000,232.199997,2.071000,0.000000,11.791000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
103,True,True,1.920000,0.000000,232.250000,2.071000,0.000000,6.371000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
104,True,True,1.940000,0.000000,232.259995,2.071000,0.000000,0.951000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
105,True,True,1.960000,0.000000,232.220001,2.071000,0.000000,-4.461000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
106,True,True,1.980000,0.000000,232.139999,2.071000,0.000000,-9.871000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
107,True,True,2.000000,0.000000,232.009995,2.071000,0.000000,-15.281000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
108,True,True,2.020000,0.000000,231.839996,2.071000,0.000000,-20.690998,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
