frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,False,0.000000,0.000000,0.180000,0.000000,17.000000,0.000000,0.000000,0.321000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,True,True,False,False,0.000000,1.000000,0.170000,0.000000,19.469999,-0.621000,0.000000,296.001007,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
2,True,True,False,False,0.000000,1.000000,0.170000,0.000000,21.969999,0.271000,0.000000,300.020996,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
3,True,True,False,False,0.000000,1.000000,0.170000,0.000000,24.500000,0.041000,0.000000,304.040985,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
4,True,True,False,False,0.000000,1.000000,0.170000,0.000000,27.070000,0.101000,0.000000,308.061005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
5,True,True,False,False,0.000000,1.000000,0.170000,0.000000,29.670000,0.081000,0.000000,312.080994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
6,True,True,False,False,0.000000,1.000000,0.170000,0.000000,32.299999,0.091000,0.000000,316.101013,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
7,True,True,False,False,0.000000,1.000000,0.170000,0.000000,34.969997,0.201000,0.000000,320.121002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
8,True,True,False,False,0.000000,1.000000,0.170000,0.000000,37.689999,0.311000,0.000000,326.851013,-0.001330,0.004799,0.000008,0.999988,-0.319510,0.000000,0.003010
9,True,True,False,False,0.000000,1.000000,0.170000,0.000000,40.469997,0.421000,0.031000,333.580994,-0.003941,0.004799,0.000019,0.999981,-0.626310,0.000000,0.005910
10,True,True,False,False,0.000000,1.000000,0.170000,0.000000,43.309998,0.531000,0.121000,340.311005,-0.007777,0.004799,0.000035,0.999958,-0.920810,0.000000,0.008710
11,True,True,False,False,0.000000,1.000000,0.180000,0.000000,46.200001,0.641000,0.311000,347.040985,-0.012794,0.004799,0.000057,0.999907,-1.203510,0.000000,0.011410
12,True,True,False,False,0.000000,1.000000,0.190000,0.010000,49.149998,0.751000,0.621000,353.770996,-0.018939,0.004799,0.000084,0.999809,-1.474910,0.000000,0.014010
13,True,True,False,False,0.000000,1.000000,0.200000,0.020000,52.149998,0.861000,1.081000,360.490997,-0.026168,0.004799,0.000116,0.999646,-1.735510,0.000000,0.016510
14,True,True,False,False,0.000000,1.000000,0.210000,0.030000,55.209999,0.971000,1.711000,367.200989,-0.034438,0.004799,0.000154,0.999395,-1.985710,0.000000,0.018910
15,True,True,False,False,0.000000,1.000000,0.220000,0.050000,58.329998,1.081000,2.541000,373.901001,-0.043706,0.004799,0.000197,0.999033,-2.225910,0.000000,0.021210
16,True,True,False,False,0.000000,1.000000,0.230000,0.080000,61.500000,1.191000,3.601000,380.591003,-0.053929,0.004799,0.000245,0.998533,-2.456510,0.000000,0.023410
17,True,True,False,False,0.000000,1.000000,0.240000,0.120000,64.729996,1.301000,4.901000,387.251007,-0.065070,0.004793,0.000299,0.997869,-2.677910,0.000000,0.025510
18,True,True,False,False,0.000000,1.000000,0.250000,0.170000,68.010002,1.411000,6.471000,393.881012,-0.077084,0.004788,0.000359,0.997013,-2.890410,0.000000,0.027510
19,True,True,False,False,0.000000,1.000000,0.260000,0.240000,71.349998,1.521000,8.331000,400.471008,-0.089934,0.004782,0.000418,0.995936,-3.094510,0.000000,0.029410
20,True,True,False,False,0.000000,1.000000,0.270000,0.330000,74.739998,1.631000,10.501000,407.001007,-0.103583,0.004777,0.000483,0.994609,-3.290410,0.000000,0.031210
