frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,-1966.679932,4507.909668,400.000000,3998.980957,949.750977,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,-1933.359985,4515.819824,400.000000,3997.960938,949.500977,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,-1900.049927,4523.729980,400.000000,3996.940918,949.250977,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,-1866.750000,4531.640137,400.000000,3995.920898,949.010925,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,-1833.459961,4539.549805,400.000000,3994.900879,948.770935,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,-1800.179932,4547.449707,400.000000,3993.880859,948.530945,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,-1766.909912,4555.350098,400.000000,3992.860840,948.290955,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,-1733.640015,4563.250000,400.000000,3991.840820,948.050964,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,-1700.380005,4571.149902,400.000000,3990.820801,947.810974,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,-1667.130005,4579.049805,400.000000,3989.800781,947.570984,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,-1633.890015,4586.939941,400.000000,3988.781006,947.330933,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,-1600.659912,4594.830078,400.000000,3987.760986,947.090942,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,-1567.439941,4602.719727,400.000000,3986.740967,946.850952,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,-1534.229980,4610.609863,400.000000,3985.720947,946.610962,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,-1501.020020,4618.500000,400.000000,3984.700928,946.370972,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,-1467.819946,4626.379883,400.000000,3983.680908,946.130981,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,-1434.630005,4634.259766,400.000000,3982.670898,945.890930,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,-1401.449951,4642.140137,400.000000,3981.660889,945.650940,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
19,-1368.280029,4650.020020,400.000000,3980.650879,945.410950,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
20,-1335.119995,4657.899902,400.000000,3979.640869,945.170959,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
21,-1301.959961,4665.770020,400.000000,3978.630859,944.930969,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
22,-1268.809937,4673.640137,400.000000,3977.620850,944.690979,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
23,-1235.669922,4681.509766,400.000000,3976.610840,944.450928,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
24,-1202.539917,4689.379883,400.000000,3975.600830,944.210938,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
25,-1169.419922,4697.250000,400.000000,3974.590820,943.970947,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
26,-1136.309937,4705.109863,400.000000,3973.580811,943.730957,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
27,-1103.209961,4712.969727,400.000000,3972.570801,943.490967,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
28,-1070.109985,4720.830078,400.000000,3971.560791,943.250977,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
29,-1037.020020,4728.689941,400.000000,3970.550781,943.010925,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
30,-1003.940002,4736.549805,400.000000,3969.540771,942.770935,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
31,-970.869995,4744.399902,400.000000,3968.531006,942.530945,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
32,-937.809998,4752.250000,400.000000,3967.520996,942.290955,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
33,-904.760010,4760.100098,400.000000,3966.510986,942.050964,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
34,-871.709961,4767.949707,400.000000,3965.500977,941.810974,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
35,-838.669983,4775.799805,400.000000,3964.490967,941.570984,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
36,-805.639954,4783.640137,400.000000,3963.480957,941.330933,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
37,-772.619995,4791.479980,400.000000,3962.470947,941.090942,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
38,-739.609985,4799.319824,400.000000,3961.460938,940.850952,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
39,-706.609985,4807.159668,400.000000,3960.450928,940.610962,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
40,-673.609985,4815.000000,400.000000,3959.440918,940.370972,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
41,-640.619995,4822.830078,400.000000,3958.430908,940.130981,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
42,-607.640015,4830.659668,400.000000,3957.420898,939.890930,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
43,-574.669983,4838.489746,400.000000,3956.410889,939.650940,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
44,-541.709961,4846.319824,400.000000,3955.400879,939.410950,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
45,-508.759979,4854.149902,400.000000,3954.390869,939.170959,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
46,-475.819977,4861.969727,400.000000,3953.380859,938.930969,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
