frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.000000,0.000000,0.000000,0.321000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,True,True,-1.000000,1.000000,0.350000,-0.030000,17.000000,20.671000,-3.381000,0.241000,0.000003,0.004793,-0.000359,0.999988,-0.000810,-0.000710,-0.087010
2,True,True,-1.000000,1.000000,0.690000,-0.090000,17.000000,41.030998,-6.941000,0.191000,0.000003,0.004788,-0.001103,0.999988,-0.001310,-0.000910,-0.178710
3,True,True,-1.000000,1.000000,1.200000,-0.180000,17.000000,61.150997,-10.581000,0.151000,0.000003,0.004782,-0.002242,0.999986,-0.001710,-0.001010,-0.272610
4,True,True,-1.000000,1.000000,1.880000,-0.300000,17.000000,81.041000,-14.311000,0.131000,0.000003,0.004777,-0.003774,0.999981,-0.001910,-0.001010,-0.367910
5,True,True,-1.000000,1.000000,2.720000,-0.450000,17.000000,100.721001,-18.140999,0.121000,0.000003,0.004772,-0.005705,0.999972,-0.001910,-0.000910,-0.464110
6,True,True,-1.000000,1.000000,3.720000,-0.630000,17.000000,120.190994,-22.070999,0.111000,0.000008,0.004766,-0.008041,0.999956,-0.001910,-0.000810,-0.560410
7,True,True,-1.000000,1.000000,4.880000,-0.850000,17.000000,139.471008,-26.110998,0.101000,0.000013,0.004761,-0.010776,0.999931,-0.001810,-0.000710,-0.656110
8,True,True,-1.000000,1.000000,6.200000,-1.100000,17.000000,158.570999,-30.270998,0.101000,0.000019,0.004756,-0.013905,0.999892,-0.001710,-0.000610,-0.750610
9,True,True,-1.000000,1.000000,7.680000,-1.390000,17.000000,177.490997,-34.580997,0.101000,0.000030,0.004756,-0.017417,0.999837,-0.001510,-0.000510,-0.843410
10,True,True,-1.000000,1.000000,9.320000,-1.720000,17.000000,196.221008,-39.050999,0.101000,0.000040,0.004756,-0.021307,0.999762,-0.001310,-0.000410,-0.934110
11,True,True,-1.000000,1.000000,11.110000,-2.080000,17.000000,214.770996,-43.720997,0.101000,0.000057,0.004756,-0.025563,0.999662,-0.001110,-0.000410,-1.022410
12,True,True,-1.000000,1.000000,13.049999,-2.490000,17.000000,233.130997,-48.611000,0.101000,0.000073,0.004756,-0.030176,0.999533,-0.000910,-0.000410,-1.107910
13,True,True,-1.000000,1.000000,15.139999,-2.940000,17.000000,251.300995,-53.740997,0.101000,0.000094,0.004756,-0.035134,0.999371,-0.000710,-0.000410,-1.190410
14,True,True,-1.000000,1.000000,17.379999,-3.430000,17.000000,269.270996,-59.140999,0.101000,0.000116,0.004756,-0.040421,0.999171,-0.000510,-0.000410,-1.269710
15,True,True,-1.000000,1.000000,19.770000,-3.970000,17.000000,287.031006,-64.840996,0.101000,0.000143,0.004756,-0.046020,0.998929,-0.000310,-0.000410,-1.345710
16,True,True,-1.000000,1.000000,22.309999,-4.560000,17.000000,304.561005,-70.861000,0.101000,0.000170,0.004750,-0.051922,0.998640,-0.000210,-0.000410,-1.418310
17,True,True,-1.000000,1.000000,24.990000,-5.200000,17.000000,321.860992,-77.230995,0.101000,0.000197,0.004745,-0.058110,0.998299,-0.000110,-0.000410,-1.487510
18,True,True,-1.000000,1.000000,27.809999,-5.900000,17.000000,338.920990,-83.960999,0.101000,0.000229,0.004739,-0.064568,0.997902,0.000000,-0.000310,-1.553310
19,True,True,-1.000000,1.000000,30.769999,-6.660000,17.000000,355.721008,-91.080994,0.101000,0.000262,0.004734,-0.071284,0.997445,0.000000,-0.000210,-1.615610
20,True,True,-1.000000,1.000000,33.869999,-7.480000,17.000000,372.251007,-98.611000,0.101000,0.000294,0.004734,-0.078244,0.996923,0.000110,-0.000110,-1.674410
21,True,True,-1.000000,1.000000,37.110001,-8.370000,17.000000,388.490997,-106.560997,0.101000,0.000332,0.004734,-0.085424,0.996333,0.000210,-0.000110,-1.729710
22,True,True,-1.000000,1.000000,40.480000,-9.330000,17.000000,404.431000,-114.950996,0.101000,0.000370,0.004729,-0.092821,0.995672,0.000210,-0.000110,-1.781510
23,True,True,-1.000000,1.000000,43.980000,-10.360000,17.000000,420.061005,-123.791000,0.101000,0.000407,0.004723,-0.100411,0.994935,0.000210,-0.000110,-1.829910
24,True,True,-1.000000,1.000000,47.610001,-11.469999,17.000000,435.360992,-133.091003,0.101000,0.000445,0.004718,-0.108180,0.994120,0.000310,-0.000110,-1.874810
25,True,True,-1.000000,1.000000,51.360001,-12.660000,17.000000,450.311005,-142.861008,0.101000,0.000483,0.004712,-0.116115,0.993224,0.000410,-0.000110,-1.916410
26,True,True,-1.000000,1.000000,55.230000,-13.940000,17.000000,464.901001,-153.100998,0.101000,0.000526,0.004707,-0.124202,0.992246,0.000410,0.000000,-1.954710
27,True,True,-1.000000,1.000000,59.219997,-15.309999,17.000000,479.110992,-163.811005,0.101000,0.000569,0.004702,-0.132424,0.991182,0.000410,0.000000,-1.989710
28,True,True,-1.000000,1.000000,63.329998,-16.770000,17.000000,492.901001,-175.031006,0.101000,0.000612,0.004696,-0.140770,0.990031,0.000410,0.000000,-2.022410
29,True,True,-1.000000,1.000000,67.549995,-18.330000,17.000000,506.210999,-186.811005,0.101000,0.000655,0.004691,-0.149240,0.988790,0.000410,0.000000,-2.054610
30,True,True,-1.000000,1.000000,71.879997,-19.990000,17.000000,519.030945,-199.141006,0.101000,0.000699,0.004685,-0.157828,0.987455,0.000410,0.000000,-2.086110
31,True,True,-1.000000,1.000000,76.309998,-21.760000,17.000000,531.350952,-212.001007,0.101000,0.000742,0.004680,-0.166530,0.986025,0.000410,0.000000,-2.116710
32,True,True,-1.000000,1.000000,80.839996,-23.639999,17.000000,543.160950,-225.380997,0.101000,0.000785,0.004675,-0.175340,0.984497,0.000410,0.000000,-2.146210
33,True,True,-1.000000,1.000000,85.459999,-25.629999,17.000000,554.450989,-239.270996,0.101000,0.000828,0.004669,-0.184252,0.982868,0.000410,0.000000,-2.174510
34,True,True,-1.000000,1.000000,90.169998,-27.740000,17.000000,565.200989,-253.651001,0.101000,0.000871,0.004664,-0.193261,0.981136,0.000410,0.000000,-2.201610
35,True,True,-1.000000,1.000000,94.970001,-29.980000,17.000000,575.400940,-268.510986,0.101000,0.000914,0.004653,-0.202357,0.979300,0.000410,0.000000,-2.227410
36,True,True,-1.000000,1.000000,99.849998,-32.349998,17.000000,585.040955,-283.830994,0.101000,0.000958,0.004642,-0.211539,0.977358,0.000410,0.000000,-2.251910
37,True,True,-1.000000,1.000000,104.799995,-34.849998,17.000000,594.100952,-299.610992,0.101000,0.001006,0.004631,-0.220796,0.975308,0.000410,0.000000,-2.275010
38,True,True,-1.000000,1.000000,109.820000,-37.480000,17.000000,602.570984,-315.821014,0.101000,0.001055,0.004621,-0.230119,0.973151,0.000410,0.000000,-2.296710
39,True,True,-1.000000,1.000000,114.909996,-40.250000,17.000000,610.430969,-332.450989,0.101000,0.001103,0.004610,-0.239506,0.970883,0.000410,0.000000,-2.317010
40,True,True,-1.000000,1.000000,120.059998,-43.160000,17.000000,617.680969,-349.490997,0.101000,0.001152,0.004599,-0.248947,0.968506,0.000310,0.000000,-2.335910
41,True,True,-1.000000,1.000000,125.259995,-46.219997,17.000000,624.300964,-366.911011,0.101000,0.001200,0.004588,-0.258431,0.966018,0.000310,0.000000,-2.353510
42,True,True,-1.000000,1.000000,130.509995,-49.430000,17.000000,630.280945,-384.700989,0.101000,0.001249,0.004577,-0.267958,0.963419,0.000210,0.000000,-2.369710
43,True,True,-1.000000,1.000000,135.809998,-52.789997,17.000000,635.610962,-402.841003,0.101000,0.001297,0.004567,-0.277517,0.960709,0.000210,0.000000,-2.384510
44,True,True,-1.000000,1.000000,141.149994,-56.299999,17.000000,640.290955,-421.300995,0.101000,0.001346,0.004556,-0.287104,0.957888,0.000110,0.000000,-2.397910
45,True,True,-1.000000,1.000000,146.520004,-59.969997,17.000000,644.300964,-440.070984,0.101000,0.001395,0.004540,-0.296707,0.954957,0.000110,0.000000,-2.410010
46,True,True,-1.000000,1.000000,151.919998,-63.799999,17.000000,647.640991,-459.131012,0.101000,0.001443,0.004524,-0.306326,0.951915,0.000000,0.000000,-2.420810
47,True,True,-1.000000,1.000000,157.339996,-67.790001,17.000000,650.300964,-478.450989,0.101000,0.001486,0.004507,-0.315950,0.948764,0.000000,0.000000,-2.430310
48,True,True,-1.000000,1.000000,162.779999,-71.939995,17.000000,652.270935,-498.010986,0.101000,0.001535,0.004491,-0.325574,0.945504,0.000000,0.000000,-2.438510
49,True,True,-1.000000,1.000000,168.229996,-76.250000,17.000000,653.560974,-517.790955,0.101000,0.001583,0.004475,-0.335193,0.942137,0.000000,0.000000,-2.445510
50,True,True,-1.000000,1.000000,173.679993,-80.729996,17.000000,654.150940,-537.760986,0.101000,0.001627,0.004459,-0.344796,0.938666,0.000000,0.000000,-2.451310
51,True,True,-1.000000,1.000000,179.129990,-85.379997,17.000000,654.050964,-557.900940,0.101000,0.001670,0.004443,-0.354383,0.935088,0.000000,0.000000,-2.455910
52,True,True,-1.000000,1.000000,184.569992,-90.199997,17.000000,653.260986,-578.190979,0.101000,0.001718,0.004426,-0.363948,0.931407,0.000000,0.000000,-2.459410
53,True,True,-1.000000,1.000000,190.000000,-95.189995,17.000000,651.770935,-598.600952,0.101000,0.001761,0.004410,-0.373480,0.927626,0.000000,0.000000,-2.461810
54,True,True,-1.000000,1.000000,195.409988,-100.349998,17.000000,649.590942,-619.110962,0.101000,0.001805,0.004394,-0.382981,0.923744,0.000110,0.000000,-2.463110
55,True,True,-1.000000,1.000000,200.800003,-105.680000,17.000000,646.710938,-639.690979,0.101000,0.001853,0.004378,-0.392443,0.919764,0.000110,0.000000,-2.463310
56,True,True,-1.000000,1.000000,206.159988,-111.180000,17.000000,643.150940,-660.320984,0.101000,0.001896,0.004356,-0.401857,0.915690,0.000110,0.000000,-2.462510
57,True,True,-1.000000,1.000000,211.479996,-116.849998,17.000000,638.900940,-680.980957,0.101000,0.001939,0.004335,-0.411223,0.911523,0.000110,0.000000,-2.460710
58,True,True,-1.000000,1.000000,216.759995,-122.699997,17.000000,633.980957,-701.650940,0.101000,0.001983,0.004313,-0.420534,0.907264,0.000210,0.000000,-2.457910
59,True,True,-1.000000,1.000000,222.000000,-128.720001,17.000000,628.380981,-722.300964,0.101000,0.002026,0.004292,-0.429792,0.902916,0.000310,0.000000,-2.454210
60,True,True,-1.000000,1.000000,227.179993,-134.910004,17.000000,622.120972,-742.900940,0.101000,0.002069,0.004270,-0.438984,0.898482,0.000310,0.000000,-2.449610
61,True,True,-1.000000,1.000000,232.309998,-141.270004,17.000000,615.210938,-763.440979,0.101000,0.002112,0.004248,-0.448112,0.893965,0.000310,0.000000,-2.444110
62,True,True,-1.000000,1.000000,237.369995,-147.800003,17.000000,607.650940,-783.900940,0.101000,0.002155,0.004227,-0.457170,0.889367,0.000410,0.000000,-2.437710
63,True,True,-1.000000,1.000000,242.369995,-154.500000,17.000000,599.450989,-804.250977,0.101000,0.002198,0.004205,-0.466153,0.884692,0.000410,-0.000110,-2.430410
64,True,True,-1.000000,1.000000,247.289993,-161.369995,17.000000,590.610962,-824.480957,0.101000,0.002242,0.004184,-0.475060,0.879941,0.000410,-0.000110,-2.422810
65,True,True,-1.000000,1.000000,252.129990,-168.410004,17.000000,581.070984,-844.590942,0.101000,0.002285,0.004162,-0.483896,0.875112,0.000410,-0.000110,-2.416810
66,True,True,-1.000000,1.000000,256.889984,-175.610001,17.000000,570.840942,-864.550964,0.101000,0.002328,0.004141,-0.492668,0.870204,0.000410,-0.000110,-2.412010
67,True,True,-1.000000,1.000000,261.559998,-182.979996,17.000000,559.950989,-884.340942,0.101000,0.002371,0.004119,-0.501375,0.865217,0.000410,-0.000110,-2.408110
68,True,True,-1.000000,1.000000,266.130005,-190.509995,17.000000,548.420959,-903.940979,0.101000,0.002414,0.004097,-0.510018,0.860151,0.000310,-0.000110,-2.405010
69,True,True,-1.000000,1.000000,270.600006,-198.199997,17.000000,536.250977,-923.330933,0.101000,0.002457,0.004070,-0.518601,0.855003,0.000210,-0.000110,-2.402510
70,True,True,-1.000000,1.000000,274.959991,-206.049988,17.000000,523.460938,-942.480957,0.101000,0.002500,0.004043,-0.527125,0.849775,0.000210,-0.000110,-2.400510
71,True,True,-1.000000,1.000000,279.209991,-214.059998,17.000000,510.070984,-961.390930,0.101000,0.002544,0.004016,-0.535589,0.844465,0.000210,-0.000110,-2.398810
72,True,True,-1.000000,1.000000,283.339996,-222.229996,17.000000,496.080994,-980.030945,0.101000,0.002587,0.003989,-0.544000,0.839072,0.000210,0.000000,-2.397310
73,True,True,-1.000000,1.000000,287.350006,-230.549988,17.000000,481.501007,-998.390930,0.101000,0.002625,0.003962,-0.552351,0.833598,0.000110,0.000000,-2.396010
74,True,True,-1.000000,1.000000,291.239990,-239.019989,17.000000,466.341003,-1016.450928,0.101000,0.002662,0.003936,-0.560643,0.828044,0.000110,0.000000,-2.394810
75,True,True,-1.000000,1.000000,295.000000,-247.639999,17.000000,450.610992,-1034.200928,0.101000,0.002700,0.003909,-0.568875,0.822410,0.000110,0.000000,-2.393710
76,True,True,-1.000000,1.000000,298.619995,-256.399994,17.000000,434.320984,-1051.620972,0.101000,0.002738,0.003882,-0.577048,0.816696,0.000110,0.000000,-2.392610
77,True,True,-1.000000,1.000000,302.100006,-265.309998,17.000000,417.480988,-1068.700928,0.101000,0.002776,0.003855,-0.585157,0.810906,0.000210,0.000000,-2.391410
78,True,True,-1.000000,1.000000,305.429993,-274.359985,17.000000,400.101013,-1085.420898,0.101000,0.002813,0.003828,-0.593206,0.805037,0.000210,0.000000,-2.390210
79,True,True,-1.000000,1.000000,308.619995,-283.540009,17.000000,382.200989,-1101.770996,0.101000,0.002851,0.003801,-0.601190,0.799092,0.000210,0.000000,-2.388810
80,True,True,-1.000000,1.000000,311.649994,-292.850006,17.000000,363.781006,-1117.730957,0.101000,0.002889,0.003774,-0.609110,0.793072,0.000210,0.000000,-2.387310
81,True,True,-1.000000,1.000000,314.519989,-302.289978,17.000000,344.860992,-1133.290894,0.101000,0.002927,0.003747,-0.616965,0.786976,0.000210,0.000000,-2.385710
82,True,True,-1.000000,1.000000,317.229980,-311.859985,17.000000,325.450989,-1148.440918,0.101000,0.002964,0.003720,-0.624749,0.780811,0.000210,0.000000,-2.383910
83,True,True,-1.000000,1.000000,319.779999,-321.549988,17.000000,305.561005,-1163.161011,0.101000,0.003002,0.003693,-0.632469,0.774571,0.000210,0.000000,-2.382010
84,True,True,-1.000000,1.000000,322.160004,-331.359985,17.000000,285.200989,-1177.450928,0.101000,0.003040,0.003666,-0.640119,0.768261,0.000210,0.000000,-2.379910
85,True,True,-1.000000,1.000000,324.359985,-341.289978,17.000000,264.390991,-1191.290894,0.101000,0.003078,0.003633,-0.647699,0.761881,0.000110,-0.000110,-2.377610
86,True,True,-1.000000,1.000000,326.389984,-351.329987,17.000000,243.141006,-1204.670898,0.101000,0.003115,0.003601,-0.655209,0.755433,0.000110,-0.000110,-2.375110
87,True,True,-1.000000,1.000000,328.239990,-361.479980,17.000000,221.460999,-1217.580933,0.101000,0.003153,0.003569,-0.662643,0.748921,0.000110,-0.000110,-2.372410
88,True,True,-1.000000,1.000000,329.899994,-371.729980,17.000000,199.371002,-1230.010986,0.101000,0.003191,0.003536,-0.670007,0.742340,0.000110,-0.000110,-2.369510
89,True,True,-1.000000,1.000000,331.369995,-382.079987,17.000000,176.880997,-1241.950928,0.101000,0.003229,0.003504,-0.677295,0.735696,0.000110,0.000000,-2.366410
90,True,True,-1.000000,1.000000,332.649994,-392.519989,17.000000,154.011002,-1253.380981,0.101000,0.003261,0.003472,-0.684508,0.728990,0.000110,0.000000,-2.363110
91,True,True,-1.000000,1.000000,333.739990,-403.059998,17.000000,130.771011,-1264.300903,0.101000,0.003294,0.003439,-0.691640,0.722227,0.000110,0.000000,-2.359610
92,True,True,-1.000000,1.000000,334.630005,-413.679993,17.000000,107.181000,-1274.710938,0.101000,0.003326,0.003407,-0.698696,0.715403,0.000110,0.000000,-2.355910
93,True,True,-1.000000,1.000000,335.320007,-424.380005,17.000000,83.250999,-1284.590942,0.101000,0.003358,0.003374,-0.705672,0.708523,0.000110,0.000000,-2.352010
94,True,True,-1.000000,1.000000,335.809998,-435.160004,17.000000,59.000999,-1293.930908,0.101000,-0.003391,-0.003342,0.712567,-0.701588,0.000110,0.000000,-2.347910
