frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
1,False,False,0.000000,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
2,False,False,0.000000,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
3,False,False,0.000000,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
4,True,True,0.000000,0.000000,-0.100000,0.000000,21.250000,0.321000,0.000000,295.990997,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
5,False,False,0.000000,0.000000,-0.100000,0.000000,23.750000,-0.131000,0.000000,300.010986,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
6,False,False,0.000000,0.000000,-0.100000,0.000000,26.279999,-0.011000,0.000000,304.031006,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
7,False,False,0.000000,0.000000,-0.100000,0.000000,28.750000,0.011000,0.000000,295.901001,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
8,False,False,0.000000,0.000000,-0.100000,0.000000,31.150000,0.000000,0.000000,287.770996,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
9,False,False,0.000000,0.000000,-0.100000,0.000000,33.480000,0.011000,0.000000,279.640991,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
10,False,False,0.000000,0.000000,-0.100000,0.000000,35.739998,0.011000,0.000000,271.510986,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
11,False,False,0.000000,0.000000,-0.100000,0.000000,37.959999,0.011000,0.000000,266.091003,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
12,False,False,0.000000,0.000000,-0.100000,0.000000,40.129997,0.011000,0.000000,260.670990,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
13,False,False,0.000000,0.000000,-0.100000,0.000000,42.259998,0.011000,0.000000,255.251007,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
14,False,False,0.000000,0.000000,-0.100000,0.000000,44.340000,0.011000,0.000000,249.831009,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
15,False,False,0.000000,0.000000,-0.100000,0.000000,46.379997,0.011000,0.000000,244.410995,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
16,False,False,0.000000,0.000000,-0.100000,0.000000,48.369999,0.011000,0.000000,238.990997,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
17,False,False,0.000000,0.000000,-0.100000,0.000000,50.320000,0.011000,0.000000,233.570999,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
18,False,False,0.000000,0.000000,-0.100000,0.000000,52.219997,0.011000,0.000000,228.151001,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
19,False,False,0.000000,0.000000,-0.100000,0.000000,54.079998,0.011000,0.000000,222.731003,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
20,False,False,0.000000,0.000000,-0.100000,0.000000,55.889999,0.011000,0.000000,217.311005,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
21,False,False,0.000000,0.000000,-0.100000,0.000000,57.660000,0.011000,0.000000,211.891006,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
22,False,False,0.000000,0.000000,-0.100000,0.000000,59.379997,0.011000,0.000000,206.471008,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
23,False,False,0.000000,0.000000,-0.100000,0.000000,61.059998,0.011000,0.000000,201.051010,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
24,False,False,0.000000,0.000000,-0.100000,0.000000,62.689999,0.011000,0.000000,195.630997,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
25,False,False,0.000000,0.000000,-0.100000,0.000000,64.279999,0.011000,0.000000,190.210999,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
26,False,False,0.000000,0.000000,-0.100000,0.000000,65.820000,0.011000,0.000000,184.791000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
27,False,False,0.000000,0.000000,-0.100000,0.000000,67.309998,0.011000,0.000000,179.371002,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
28,False,False,0.000000,0.000000,-0.100000,0.000000,68.760002,0.011000,0.000000,173.951004,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
29,False,False,0.000000,0.000000,-0.100000,0.000000,70.159996,0.011000,0.000000,168.531006,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
30,False,False,0.000000,0.000000,-0.100000,0.000000,71.519997,0.011000,0.000000,163.111008,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
31,False,False,0.000000,0.000000,-0.100000,0.000000,72.830002,0.011000,0.000000,157.691010,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
32,False,False,0.000000,0.000000,-0.100000,0.000000,74.099998,0.011000,0.000000,152.270996,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
33,False,False,0.000000,0.000000,-0.100000,0.000000,75.320000,0.011000,0.000000,146.850998,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
