frame,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
1,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
2,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
3,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
4,1.000000,0.010000,0.000000,18.779999,13.331000,0.000000,0.301000,0.000003,-0.002414,0.000003,0.999997,0.000000,0.000710,0.000000
5,1.000000,0.230000,0.000000,18.779999,26.550999,0.000000,0.301000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000910,0.000000
6,1.000000,0.560000,0.000000,18.779999,39.650997,0.000000,0.301000,0.000003,-0.002403,0.000003,0.999997,0.000000,0.000910,0.000000
7,1.000000,1.000000,0.000000,18.779999,52.640999,0.000000,0.301000,0.000003,-0.002398,0.000003,0.999997,0.000000,0.000910,0.000000
8,1.000000,1.550000,0.000000,18.779999,65.520996,0.000000,0.301000,0.000003,-0.002393,0.000003,0.999997,0.000000,0.000810,0.000000
9,1.000000,2.200000,0.000000,18.779999,78.291000,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000710,0.000000
10,1.000000,2.960000,0.000000,18.779999,90.950996,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000610,0.000000
11,1.000000,3.820000,0.000000,18.779999,103.500999,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000510,0.000000
12,1.000000,4.790000,0.000000,18.779999,115.940994,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000510,0.000000
13,1.000000,5.860000,0.000000,18.779999,128.281006,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000510,0.000000
14,1.000000,7.030000,0.000000,18.779999,140.511002,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
15,1.000000,8.300000,0.000000,18.779999,152.630997,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
