frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-2000.000000,-4499.879883,18.639999,0.000000,-0.011000,0.351000,-0.002128,0.002134,0.707101,0.707106,0.000610,0.000000,0.000000
1,True,True,0.000000,1.000000,-2000.000000,-4499.699707,18.639999,0.000000,21.580999,0.301000,-0.002123,0.002128,0.707101,0.707106,0.000910,0.000000,0.000000
2,True,True,0.000000,1.000000,-2000.000000,-4499.339844,18.639999,0.000000,42.990997,0.261000,-0.002117,0.002123,0.707101,0.707106,0.001010,0.000000,0.000000
3,True,True,0.000000,1.000000,-2000.000000,-4498.799805,18.639999,0.000000,64.210999,0.241000,-0.002112,0.002117,0.707101,0.707106,0.001010,0.000000,0.000000
4,True,True,0.000000,1.000000,-2000.000000,-4498.089844,18.639999,0.000000,85.250999,0.221000,-0.002107,0.002112,0.707101,0.707106,0.000910,0.000000,0.000000
5,True,True,0.000000,1.000000,-2000.000000,-4497.209961,18.639999,0.000000,106.111000,0.211000,-0.002107,0.002112,0.707101,0.707106,0.000810,0.000000,0.000000
6,True,True,0.000000,1.000000,-2000.000000,-4496.149902,18.639999,0.000000,126.791000,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000710,0.000000,0.000000
7,True,True,0.000000,1.000000,-2000.000000,-4494.919922,18.639999,0.000000,147.301010,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000710,0.000000,0.000000
8,True,True,0.000000,1.000000,-2000.000000,-4493.520020,18.639999,0.000000,167.630997,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000710,0.000000,0.000000
9,True,True,0.000000,1.000000,-2000.000000,-4491.949707,18.639999,0.000000,187.791000,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000710,0.000000,0.000000
10,True,True,0.000000,1.000000,-2000.000000,-4490.219727,18.639999,0.000000,207.770996,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000710,0.000000,0.000000
11,True,True,0.000000,1.000000,-2000.000000,-4488.319824,18.639999,0.000000,227.581009,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000710,0.000000,0.000000
12,True,True,0.000000,1.000000,-2000.000000,-4486.259766,18.639999,0.000000,247.221008,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000710,0.000000,0.000000
13,True,True,0.000000,1.000000,-2000.000000,-4484.040039,18.639999,0.000000,266.691010,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000610,0.000000,0.000000
14,True,True,0.000000,1.000000,-2000.000000,-4481.659668,18.639999,0.000000,286.001007,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000610,0.000000,0.000000
15,True,True,0.000000,1.000000,-2000.000000,-4479.120117,18.639999,0.000000,305.140991,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000610,0.000000,0.000000
16,True,True,0.000000,1.000000,-2000.000000,-4476.419922,18.639999,0.000000,324.121002,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000610,0.000000,0.000000
17,True,True,0.000000,1.000000,-2000.000000,-4473.560059,18.639999,0.000000,342.931000,0.201000,-0.002107,0.002112,0.707101,0.707106,0.000610,0.000000,0.000000
