frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,0.271000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
1,True,True,False,False,0.000000,1.000000,0.310000,0.000000,19.520000,-1.091000,0.000000,295.920990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000110,0.000000
2,True,True,False,False,0.000000,1.000000,0.310000,0.000000,22.020000,0.491000,0.000000,299.941010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
3,True,True,False,False,0.000000,1.000000,0.310000,0.000000,24.549999,0.071000,0.000000,303.960999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
4,True,True,False,False,0.000000,1.000000,0.310000,0.000000,27.119999,0.181000,0.000000,307.980988,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
5,True,True,False,False,0.000000,1.000000,0.310000,0.000000,29.719999,0.151000,0.000000,312.001007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
6,True,True,False,False,0.000000,1.000000,0.310000,0.000000,32.349998,0.161000,0.000000,316.020996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
7,True,True,False,False,0.000000,1.000000,0.310000,0.000000,35.020000,0.361000,0.000000,320.040985,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
8,True,True,False,False,0.000000,1.000000,0.310000,0.000000,37.739998,0.561000,0.000000,326.770996,-0.001330,0.008408,0.000013,0.999964,-0.319510,0.000000,0.005310
9,True,True,False,False,0.000000,1.000000,0.320000,0.000000,40.520000,0.761000,0.031000,333.501007,-0.003941,0.008408,0.000035,0.999957,-0.626210,0.000000,0.010410
10,True,True,False,False,0.000000,1.000000,0.330000,0.000000,43.360001,0.961000,0.121000,340.230988,-0.007777,0.008408,0.000067,0.999934,-0.920710,0.000000,0.015310
