frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.340000,0.000000,18.330000,0.000000,0.000000,0.311000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000410,0.000000
1,True,True,-1.000000,1.000000,0.510000,-0.030000,18.330000,20.671000,-3.381000,0.171000,-0.000003,0.008543,-0.000348,0.999963,-0.001410,-0.001010,-0.084110
2,True,True,-1.000000,1.000000,0.850000,-0.090000,18.330000,41.030998,-6.951000,0.071000,-0.000008,0.008537,-0.001065,0.999963,-0.002110,-0.001310,-0.172710
3,True,True,-1.000000,1.000000,1.360000,-0.180000,18.330000,61.150997,-10.611000,0.011000,-0.000008,0.008532,-0.002166,0.999961,-0.002410,-0.001510,-0.263510
4,True,True,-1.000000,1.000000,2.040000,-0.300000,18.330000,81.041000,-14.371000,-0.021000,-0.000008,0.008526,-0.003650,0.999957,-0.002610,-0.001610,-0.355710
5,True,True,-1.000000,1.000000,2.880000,-0.450000,18.330000,100.710999,-18.230999,-0.041000,-0.000003,0.008521,-0.005522,0.999948,-0.002710,-0.001610,-0.448810
6,True,True,-1.000000,1.000000,3.880000,-0.630000,18.330000,120.181000,-22.190998,-0.061000,0.000003,0.008516,-0.007782,0.999933,-0.002710,-0.001610,-0.542010
7,True,True,-1.000000,1.000000,5.040000,-0.850000,18.330000,139.451004,-26.261000,-0.071000,0.000013,0.008510,-0.010425,0.999909,-0.002510,-0.001610,-0.634710
8,True,True,-1.000000,1.000000,6.360000,-1.100000,18.330000,158.541000,-30.460999,-0.081000,0.000030,0.008505,-0.013452,0.999873,-0.002210,-0.001510,-0.726310
9,True,True,-1.000000,1.000000,7.840000,-1.390000,18.330000,177.451004,-34.800999,-0.091000,0.000051,0.008500,-0.016851,0.999822,-0.001910,-0.001410,-0.816310
10,True,True,-1.000000,1.000000,9.469999,-1.720000,18.330000,196.181000,-39.291000,-0.091000,0.000078,0.008494,-0.020616,0.999751,-0.001610,-0.001310,-0.904410
11,True,True,-1.000000,1.000000,11.259999,-2.090000,18.330000,214.721008,-43.960999,-0.091000,0.000105,0.008489,-0.024743,0.999658,-0.001310,-0.001210,-0.990110
12,True,True,-1.000000,1.000000,13.200000,-2.500000,18.330000,233.081009,-48.841000,-0.091000,0.000138,0.008483,-0.029216,0.999537,-0.001010,-0.001110,-1.073310
13,True,True,-1.000000,1.000000,15.290000,-2.950000,18.330000,251.240997,-53.950996,-0.091000,0.000175,0.008478,-0.034022,0.999385,-0.000710,-0.001010,-1.153710
14,True,True,-1.000000,1.000000,17.529999,-3.440000,18.330000,269.210999,-59.320999,-0.091000,0.000218,0.008473,-0.039148,0.999197,-0.000410,-0.000910,-1.231110
15,True,True,-1.000000,1.000000,19.920000,-3.980000,18.330000,286.971008,-64.960999,-0.091000,0.000262,0.008467,-0.044580,0.998970,-0.000110,-0.000810,-1.305510
16,True,True,-1.000000,1.000000,22.459999,-4.570000,18.330000,304.520996,-70.901001,-0.091000,0.000310,0.008462,-0.050309,0.998698,0.000110,-0.000610,-1.376610
17,True,True,-1.000000,1.000000,25.139999,-5.210000,18.330000,321.841003,-77.160995,-0.091000,0.000364,0.008456,-0.056319,0.998377,0.000310,-0.000510,-1.444510
18,True,True,-1.000000,1.000000,27.959999,-5.910000,18.330000,338.920990,-83.770996,-0.091000,0.000418,0.008451,-0.062593,0.998003,0.000410,-0.000410,-1.509110
19,True,True,-1.000000,1.000000,30.920000,-6.670000,18.330000,355.751007,-90.750999,-0.091000,0.000477,0.008446,-0.069121,0.997572,0.000610,-0.000310,-1.570310
20,True,True,-1.000000,1.000000,34.020000,-7.490000,18.330000,372.320984,-98.111000,-0.091000,0.000537,0.008440,-0.075886,0.997081,0.000710,-0.000210,-1.628110
21,True,True,-1.000000,1.000000,37.259998,-8.370000,18.330000,388.621002,-105.870995,-0.091000,0.000602,0.008435,-0.082873,0.996524,0.000810,-0.000110,-1.682610
22,True,True,-1.000000,1.000000,40.629997,-9.320000,18.330000,404.631012,-114.050995,-0.091000,0.000666,0.008429,-0.090069,0.995900,0.000910,0.000000,-1.733810
23,True,True,-1.000000,1.000000,44.129997,-10.340000,18.330000,420.330994,-122.660995,-0.091000,0.000731,0.008424,-0.097460,0.995203,0.000910,0.000000,-1.781710
24,True,True,-1.000000,1.000000,47.759998,-11.440000,18.330000,435.710999,-131.701004,-0.091000,0.000801,0.008419,-0.105029,0.994433,0.001010,0.000000,-1.826310
25,True,True,-1.000000,1.000000,51.520000,-12.620000,18.330000,450.760986,-141.191010,-0.091000,0.000871,0.008413,-0.112765,0.993586,0.001010,0.000000,-1.867710
26,True,True,-1.000000,1.000000,55.399998,-13.880000,18.330000,465.460999,-151.130997,-0.091000,0.000941,0.008408,-0.120652,0.992659,0.001010,0.000000,-1.906010
27,True,True,-1.000000,1.000000,59.399998,-15.230000,18.330000,479.800995,-161.531006,-0.091000,0.001012,0.008402,-0.128674,0.991651,0.001010,0.000000,-1.941110
28,True,True,-1.000000,1.000000,63.509998,-16.670000,18.330000,493.740997,-172.411011,-0.091000,0.001087,0.008392,-0.136826,0.990559,0.001010,0.000000,-1.973910
29,True,True,-1.000000,1.000000,67.739998,-18.199999,18.330000,507.221008,-183.841003,-0.091000,0.001163,0.008381,-0.145102,0.989381,0.001010,0.000000,-2.006210
30,True,True,-1.000000,1.000000,72.080002,-19.830000,18.330000,520.230957,-195.801010,-0.091000,0.001238,0.008370,-0.153496,0.988113,0.000910,0.000000,-2.037710
31,True,True,-1.000000,1.000000,76.519997,-21.570000,18.330000,532.760986,-208.281006,-0.091000,0.001314,0.008359,-0.162004,0.986754,0.000810,0.000000,-2.068310
32,True,True,-1.000000,1.000000,81.059998,-23.410000,18.330000,544.800964,-221.261002,-0.091000,0.001389,0.008348,-0.170625,0.985300,0.000710,0.000000,-2.097910
33,True,True,-1.000000,1.000000,85.699997,-25.369999,18.330000,556.340942,-234.740997,-0.091000,0.001465,0.008338,-0.179348,0.983749,0.000710,0.000000,-2.126410
34,True,True,-1.000000,1.000000,90.430000,-27.439999,18.330000,567.360962,-248.701004,-0.081000,0.001540,0.008327,-0.188169,0.982100,0.000710,0.000000,-2.153710
35,True,True,-1.000000,1.000000,95.250000,-29.629999,18.330000,577.850952,-263.140991,-0.081000,0.001621,0.008311,-0.197081,0.980351,0.000710,0.000000,-2.179710
