frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.000000,0.000000,0.000000,0.321000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,True,True,-1.000000,1.000000,0.350000,-0.030000,17.000000,20.671000,-3.381000,0.241000,0.000003,0.004793,-0.000359,0.999988,-0.000810,-0.000710,-0.087010
2,True,True,-1.000000,1.000000,0.690000,-0.090000,17.000000,41.030998,-6.941000,0.191000,0.000003,0.004788,-0.001103,0.999988,-0.001310,-0.000910,-0.178710
3,True,True,-1.000000,1.000000,1.200000,-0.180000,17.000000,61.150997,-10.581000,0.151000,0.000003,0.004782,-0.002242,0.999986,-0.001710,-0.001010,-0.272610
4,True,True,-1.000000,1.000000,1.880000,-0.300000,17.000000,81.041000,-14.311000,0.131000,0.000003,0.004777,-0.003774,0.999981,-0.001910,-0.001010,-0.368010
5,True,True,-1.000000,1.000000,2.720000,-0.450000,17.000000,100.710999,-18.140999,0.121000,0.000003,0.004772,-0.005710,0.999972,-0.001910,-0.000910,-0.464310
6,True,True,-1.000000,1.000000,3.720000,-0.630000,17.000000,120.181000,-22.070999,0.111000,0.000008,0.004766,-0.008046,0.999956,-0.001910,-0.000810,-0.560610
7,True,True,-1.000000,1.000000,4.880000,-0.850000,17.000000,139.460999,-26.110998,0.101000,0.000013,0.004761,-0.010782,0.999931,-0.001810,-0.000710,-0.656310
8,True,True,-1.000000,1.000000,6.200000,-1.100000,17.000000,158.561005,-30.280998,0.101000,0.000019,0.004756,-0.013911,0.999892,-0.001710,-0.000610,-0.750810
9,True,True,-1.000000,1.000000,7.680000,-1.390000,17.000000,177.471008,-34.591000,0.101000,0.000030,0.004756,-0.017428,0.999837,-0.001510,-0.000510,-0.843610
10,True,True,-1.000000,1.000000,9.320000,-1.720000,17.000000,196.201004,-39.070999,0.101000,0.000040,0.004756,-0.021323,0.999761,-0.001310,-0.000410,-0.934410
11,True,True,-1.000000,1.000000,11.110000,-2.080000,17.000000,214.751007,-43.740997,0.101000,0.000057,0.004756,-0.025585,0.999661,-0.001110,-0.000410,-1.022710
12,True,True,-1.000000,1.000000,13.049999,-2.490000,17.000000,233.111008,-48.620998,0.101000,0.000073,0.004756,-0.030203,0.999533,-0.000910,-0.000410,-1.108210
13,True,True,-1.000000,1.000000,15.139999,-2.940000,17.000000,251.281006,-53.750999,0.101000,0.000094,0.004756,-0.035161,0.999370,-0.000710,-0.000410,-1.190610
14,True,True,-1.000000,1.000000,17.379999,-3.430000,17.000000,269.251007,-59.150997,0.101000,0.000116,0.004756,-0.040448,0.999170,-0.000510,-0.000410,-1.269910
15,True,True,-1.000000,1.000000,19.770000,-3.970000,17.000000,287.010986,-64.840996,0.101000,0.000143,0.004756,-0.046053,0.998928,-0.000310,-0.000410,-1.346010
16,True,True,-1.000000,1.000000,22.309999,-4.560000,17.000000,304.550995,-70.850998,0.101000,0.000170,0.004750,-0.051955,0.998638,-0.000210,-0.000410,-1.418710
17,True,True,-1.000000,1.000000,24.990000,-5.200000,17.000000,321.860992,-77.200996,0.101000,0.000197,0.004745,-0.058148,0.998297,-0.000110,-0.000410,-1.488010
18,True,True,-1.000000,1.000000,27.809999,-5.900000,17.000000,338.920990,-83.920998,0.101000,0.000229,0.004739,-0.064611,0.997899,0.000000,-0.000310,-1.553810
19,True,True,-1.000000,1.000000,30.769999,-6.660000,17.000000,355.721008,-91.030998,0.101000,0.000262,0.004734,-0.071328,0.997442,0.000000,-0.000210,-1.616210
20,True,True,-1.000000,1.000000,33.869999,-7.480000,17.000000,372.251007,-98.550995,0.101000,0.000294,0.004734,-0.078287,0.996920,0.000110,-0.000110,-1.675010
21,True,True,-1.000000,1.000000,37.110001,-8.370000,17.000000,388.501007,-106.490997,0.101000,0.000332,0.004734,-0.085473,0.996329,0.000210,-0.000110,-1.730310
22,True,True,-1.000000,1.000000,40.480000,-9.330000,17.000000,404.450989,-114.870995,0.101000,0.000370,0.004729,-0.092869,0.995667,0.000210,-0.000110,-1.782210
23,True,True,-1.000000,1.000000,43.980000,-10.360000,17.000000,420.080994,-123.700996,0.101000,0.000407,0.004723,-0.100460,0.994930,0.000210,-0.000110,-1.830610
24,True,True,-1.000000,1.000000,47.610001,-11.469999,17.000000,435.381012,-132.981003,0.101000,0.000445,0.004718,-0.108234,0.994114,0.000310,-0.000110,-1.875710
25,True,True,-1.000000,1.000000,51.360001,-12.660000,17.000000,450.330994,-142.731003,0.101000,0.000483,0.004712,-0.116175,0.993217,0.000410,-0.000110,-1.917410
26,True,True,-1.000000,1.000000,55.230000,-13.929999,17.000000,464.920990,-152.951004,0.101000,0.000526,0.004707,-0.124267,0.992238,0.000410,0.000000,-1.955810
27,True,True,-1.000000,1.000000,59.219997,-15.290000,17.000000,479.130981,-163.651001,0.101000,0.000569,0.004702,-0.132494,0.991172,0.000410,0.000000,-1.991010
28,True,True,-1.000000,1.000000,63.329998,-16.750000,17.000000,492.931000,-174.850998,0.101000,0.000612,0.004696,-0.140845,0.990020,0.000410,0.000000,-2.023810
29,True,True,-1.000000,1.000000,67.549995,-18.309999,17.000000,506.251007,-186.611008,0.101000,0.000655,0.004691,-0.149320,0.988778,0.000410,0.000000,-2.056110
30,True,True,-1.000000,1.000000,71.879997,-19.969999,17.000000,519.080994,-198.910995,0.101000,0.000699,0.004685,-0.157914,0.987441,0.000410,0.000000,-2.087710
31,True,True,-1.000000,1.000000,76.309998,-21.730000,17.000000,531.410950,-211.751007,0.101000,0.000742,0.004680,-0.166622,0.986010,0.000410,0.000000,-2.118310
32,True,True,-1.000000,1.000000,80.839996,-23.609999,17.000000,543.230957,-225.100998,0.101000,0.000785,0.004675,-0.175437,0.984479,0.000410,0.000000,-2.147910
33,True,True,-1.000000,1.000000,85.459999,-25.599998,17.000000,554.530945,-238.960999,0.101000,0.000828,0.004669,-0.184354,0.982848,0.000410,0.000000,-2.176310
34,True,True,-1.000000,1.000000,90.169998,-27.709999,17.000000,565.290955,-253.311005,0.101000,0.000871,0.004664,-0.193369,0.981115,0.000410,0.000000,-2.203510
35,True,True,-1.000000,1.000000,94.970001,-29.939999,17.000000,575.500977,-268.140991,0.101000,0.000914,0.004653,-0.202476,0.979276,0.000410,0.000000,-2.229410
36,True,True,-1.000000,1.000000,99.849998,-32.299999,17.000000,585.150940,-283.441010,0.101000,0.000958,0.004642,-0.211663,0.977331,0.000410,0.000000,-2.254010
37,True,True,-1.000000,1.000000,104.799995,-34.790001,17.000000,594.220947,-299.191010,0.101000,0.001006,0.004631,-0.220926,0.975279,0.000410,0.000000,-2.277210
38,True,True,-1.000000,1.000000,109.820000,-37.419998,17.000000,602.700989,-315.381012,0.101000,0.001055,0.004621,-0.230259,0.973118,0.000410,0.000000,-2.299110
39,True,True,-1.000000,1.000000,114.909996,-40.189999,17.000000,610.580933,-331.990997,0.101000,0.001103,0.004610,-0.239651,0.970847,0.000410,0.000000,-2.319610
40,True,True,-1.000000,1.000000,120.059998,-43.099998,17.000000,617.840942,-349.001007,0.101000,0.001152,0.004599,-0.249103,0.968465,0.000310,0.000000,-2.338710
41,True,True,-1.000000,1.000000,125.259995,-46.149998,17.000000,624.480957,-366.401001,0.101000,0.001200,0.004588,-0.258598,0.965973,0.000310,0.000000,-2.356410
42,True,True,-1.000000,1.000000,130.509995,-49.349998,17.000000,630.480957,-384.161011,0.101000,0.001249,0.004577,-0.268136,0.963369,0.000210,0.000000,-2.372710
43,True,True,-1.000000,1.000000,135.809998,-52.699997,17.000000,635.830933,-402.270996,0.101000,0.001297,0.004567,-0.277706,0.960654,0.000210,0.000000,-2.387610
44,True,True,-1.000000,1.000000,141.149994,-56.209999,17.000000,640.520935,-420.710999,0.101000,0.001346,0.004556,-0.287304,0.957828,0.000110,0.000000,-2.401210
45,True,True,-1.000000,1.000000,146.520004,-59.869999,17.000000,644.540955,-439.460999,0.101000,0.001395,0.004540,-0.296923,0.954890,0.000110,0.000000,-2.413510
46,True,True,-1.000000,1.000000,151.919998,-63.689999,17.000000,647.890991,-458.490997,0.101000,0.001443,0.004524,-0.306552,0.951842,0.000110,0.000000,-2.424410
47,True,True,-1.000000,1.000000,157.339996,-67.669998,17.000000,650.560974,-477.790985,0.101000,0.001492,0.004507,-0.316188,0.948685,0.000000,0.000000,-2.434110
48,True,True,-1.000000,1.000000,162.779999,-71.809998,17.000000,652.540955,-497.330994,0.101000,0.001540,0.004491,-0.325828,0.945417,0.000000,0.000000,-2.442510
49,True,True,-1.000000,1.000000,168.229996,-76.119995,17.000000,653.830933,-517.090942,0.101000,0.001583,0.004475,-0.335463,0.942041,0.000000,0.000000,-2.449710
50,True,True,-1.000000,1.000000,173.679993,-80.599998,17.000000,654.430969,-537.050964,0.101000,0.001632,0.004459,-0.345082,0.938560,0.000000,0.000000,-2.455710
51,True,True,-1.000000,1.000000,179.129990,-85.239998,17.000000,654.330933,-557.180969,0.101000,0.001675,0.004443,-0.354685,0.934974,0.000000,0.000000,-2.460510
52,True,True,-1.000000,1.000000,184.580002,-90.049995,17.000000,653.540955,-577.450989,0.101000,0.001718,0.004426,-0.364266,0.931283,0.000000,0.000000,-2.464210
53,True,True,-1.000000,1.000000,190.009995,-95.029999,17.000000,652.050964,-597.850952,0.101000,0.001761,0.004410,-0.373820,0.927489,0.000000,0.000000,-2.466710
54,True,True,-1.000000,1.000000,195.429993,-100.180000,17.000000,649.860962,-618.350952,0.101000,0.001805,0.004394,-0.383337,0.923596,0.000110,0.000000,-2.468210
55,True,True,-1.000000,1.000000,200.819992,-105.500000,17.000000,646.980957,-638.920959,0.101000,0.001853,0.004378,-0.392816,0.919605,0.000110,0.000000,-2.468610
56,True,True,-1.000000,1.000000,206.179993,-111.000000,17.000000,643.410950,-659.550964,0.101000,0.001896,0.004356,-0.402251,0.915517,0.000110,-0.000110,-2.468010
57,True,True,-1.000000,1.000000,211.509995,-116.669998,17.000000,639.150940,-680.210938,0.101000,0.001939,0.004335,-0.411638,0.911335,0.000210,-0.000110,-2.466410
58,True,True,-1.000000,1.000000,216.799988,-122.509995,17.000000,634.210938,-700.870972,0.101000,0.001983,0.004313,-0.420971,0.907062,0.000210,-0.000110,-2.463810
59,True,True,-1.000000,1.000000,222.039993,-128.520004,17.000000,628.600952,-721.510986,0.101000,0.002026,0.004292,-0.430245,0.902700,0.000310,-0.000110,-2.460310
60,True,True,-1.000000,1.000000,227.229996,-134.699997,17.000000,622.320984,-742.110962,0.101000,0.002069,0.004270,-0.439459,0.898250,0.000310,-0.000110,-2.455810
61,True,True,-1.000000,1.000000,232.360001,-141.059998,17.000000,615.380981,-762.650940,0.101000,0.002112,0.004248,-0.448609,0.893716,0.000410,-0.000110,-2.450410
62,True,True,-1.000000,1.000000,237.419998,-147.589996,17.000000,607.790955,-783.100952,0.101000,0.002155,0.004227,-0.457688,0.889100,0.000410,-0.000110,-2.444210
63,True,True,-1.000000,1.000000,242.419998,-154.289993,17.000000,599.570984,-803.450989,0.101000,0.002198,0.004205,-0.466692,0.884407,0.000410,-0.000110,-2.437110
64,True,True,-1.000000,1.000000,247.339996,-161.149994,17.000000,590.710938,-823.670959,0.101000,0.002242,0.004184,-0.475621,0.879638,0.000410,-0.000110,-2.429510
65,True,True,-1.000000,1.000000,252.179993,-168.179993,17.000000,581.140991,-843.770935,0.101000,0.002285,0.004162,-0.484479,0.874790,0.000410,-0.000110,-2.423410
66,True,True,-1.000000,1.000000,256.940002,-175.379990,17.000000,570.890991,-863.730957,0.101000,0.002328,0.004141,-0.493267,0.869865,0.000410,-0.000110,-2.418510
67,True,True,-1.000000,1.000000,261.609985,-182.739990,17.000000,559.970947,-883.510986,0.101000,0.002371,0.004119,-0.501996,0.864857,0.000410,-0.000110,-2.414510
68,True,True,-1.000000,1.000000,266.179993,-190.269989,17.000000,548.400940,-903.100952,0.101000,0.002414,0.004097,-0.510660,0.859770,0.000410,-0.000110,-2.411310
69,True,True,-1.000000,1.000000,270.649994,-197.959991,17.000000,536.200989,-922.480957,0.101000,0.002457,0.004070,-0.519265,0.854600,0.000310,-0.000210,-2.408710
70,True,True,-1.000000,1.000000,275.009979,-205.809998,17.000000,523.370972,-941.630981,0.101000,0.002500,0.004043,-0.527810,0.849349,0.000310,-0.000210,-2.406610
71,True,True,-1.000000,1.000000,279.259979,-213.809998,17.000000,509.931000,-960.530945,0.101000,0.002544,0.004016,-0.536296,0.844016,0.000310,-0.000210,-2.404810
72,True,True,-1.000000,1.000000,283.389984,-221.970001,17.000000,495.890991,-979.160950,0.101000,0.002587,0.003989,-0.544723,0.838603,0.000210,-0.000110,-2.403310
73,True,True,-1.000000,1.000000,287.399994,-230.279999,17.000000,481.260986,-997.510925,0.101000,0.002630,0.003962,-0.553090,0.833108,0.000210,0.000000,-2.402010
74,True,True,-1.000000,1.000000,291.279999,-238.739990,17.000000,466.050995,-1015.560974,0.101000,0.002668,0.003936,-0.561398,0.827532,0.000110,0.000000,-2.400810
75,True,True,-1.000000,1.000000,295.029999,-247.349991,17.000000,450.270996,-1033.290894,0.101000,0.002705,0.003909,-0.569647,0.821876,0.000110,0.000000,-2.399610
76,True,True,-1.000000,1.000000,298.649994,-256.109985,17.000000,433.931000,-1050.690918,0.101000,0.002743,0.003882,-0.577831,0.816143,0.000110,0.000000,-2.398410
77,True,True,-1.000000,1.000000,302.130005,-265.009979,17.000000,417.050995,-1067.740967,0.101000,0.002781,0.003855,-0.585955,0.810329,0.000110,0.000000,-2.397210
78,True,True,-1.000000,1.000000,305.459991,-274.049988,17.000000,399.631012,-1084.440918,0.101000,0.002819,0.003828,-0.594015,0.804440,0.000110,0.000000,-2.395910
79,True,True,-1.000000,1.000000,308.639984,-283.220001,17.000000,381.681000,-1100.760986,0.101000,0.002857,0.003801,-0.602010,0.798474,0.000110,0.000000,-2.394610
80,True,True,-1.000000,1.000000,311.669983,-292.529999,17.000000,363.221008,-1116.690918,0.101000,0.002894,0.003774,-0.609941,0.792433,0.000110,0.000000,-2.393110
81,True,True,-1.000000,1.000000,314.539978,-301.970001,17.000000,344.251007,-1132.220947,0.101000,0.002932,0.003747,-0.617806,0.786316,0.000110,0.000000,-2.391510
82,True,True,-1.000000,1.000000,317.250000,-311.529999,17.000000,324.790985,-1147.340942,0.101000,0.002970,0.003720,-0.625607,0.780124,0.000110,0.000000,-2.389810
83,True,True,-1.000000,1.000000,319.789978,-321.209991,17.000000,304.851013,-1162.031006,0.101000,0.003008,0.003693,-0.633338,0.773861,0.000110,0.000000,-2.387910
84,True,True,-1.000000,1.000000,322.160004,-331.009979,17.000000,284.450989,-1176.281006,0.101000,0.003045,0.003660,-0.640999,0.767527,0.000110,-0.000110,-2.385810
85,True,True,-1.000000,1.000000,324.359985,-340.929993,17.000000,263.591003,-1190.080933,0.101000,0.003083,0.003628,-0.648589,0.761124,0.000110,-0.000110,-2.383510
86,True,True,-1.000000,1.000000,326.380005,-350.959991,17.000000,242.291000,-1203.420898,0.101000,0.003121,0.003596,-0.656110,0.754651,0.000110,-0.000110,-2.381110
87,True,True,-1.000000,1.000000,328.220001,-361.100006,17.000000,220.570999,-1216.290894,0.101000,0.003159,0.003563,-0.663554,0.748113,0.000110,-0.000110,-2.378510
88,True,True,-1.000000,1.000000,329.869995,-371.339996,17.000000,198.431000,-1228.670898,0.101000,0.003196,0.003531,-0.670929,0.741506,0.000110,-0.000110,-2.375710
89,True,True,-1.000000,1.000000,331.339996,-381.679993,17.000000,175.901001,-1240.560913,0.101000,0.003234,0.003499,-0.678228,0.734836,0.000110,0.000000,-2.372710
90,True,True,-1.000000,1.000000,332.609985,-392.109985,17.000000,152.981003,-1251.950928,0.101000,0.003267,0.003466,-0.685452,0.728102,0.000110,0.000000,-2.369510
91,True,True,-1.000000,1.000000,333.690002,-402.630005,17.000000,129.691010,-1262.830933,0.101000,0.003299,0.003434,-0.692595,0.721311,0.000110,0.000000,-2.366110
92,True,True,-1.000000,1.000000,334.570007,-413.239990,17.000000,106.050995,-1273.180908,0.101000,0.003331,0.003401,-0.699662,0.714458,0.000110,0.000000,-2.362510
93,True,True,-1.000000,1.000000,335.250000,-423.929993,17.000000,82.081001,-1283.010986,0.101000,0.003364,0.003369,-0.706648,0.707549,0.000110,0.000000,-2.358710
94,True,True,-1.000000,1.000000,335.729980,-434.699982,17.000000,57.780998,-1292.300903,0.101000,-0.003396,-0.003337,0.713554,-0.700584,0.000110,0.000000,-2.354710
