frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
1,True,True,-1.000000,1.000000,0.070000,-0.030000,18.779999,20.660999,-3.391000,0.391000,0.000003,-0.002420,-0.000402,0.999997,0.000410,0.000610,-0.097210
2,True,True,-1.000000,1.000000,0.410000,-0.090000,18.779999,41.050999,-6.931000,0.411000,0.000003,-0.002414,-0.001227,0.999996,0.000710,0.000710,-0.197410
3,True,True,-1.000000,1.000000,0.920000,-0.180000,18.779999,61.220997,-10.551001,0.431000,0.000003,-0.002409,-0.002474,0.999994,0.000810,0.000710,-0.298610
4,True,True,-1.000000,1.000000,1.600000,-0.300000,18.779999,81.170998,-14.261000,0.441000,0.000003,-0.002403,-0.004141,0.999988,0.000910,0.000710,-0.400410
5,True,True,-1.000000,1.000000,2.440000,-0.450000,18.779999,100.920998,-18.070999,0.451000,0.000003,-0.002398,-0.006234,0.999978,0.000910,0.000610,-0.502010
6,True,True,-1.000000,1.000000,3.440000,-0.630000,18.779999,120.480995,-21.980999,0.451000,0.000003,-0.002398,-0.008748,0.999959,0.000810,0.000510,-0.602810
7,True,True,-1.000000,1.000000,4.610000,-0.850000,18.779999,139.850998,-26.011000,0.451000,-0.000003,-0.002398,-0.011672,0.999929,0.000710,0.000410,-0.702110
8,True,True,-1.000000,1.000000,5.940000,-1.100000,18.779999,159.041000,-30.171000,0.451000,-0.000008,-0.002398,-0.015000,0.999885,0.000610,0.000410,-0.799410
9,True,True,-1.000000,1.000000,7.420000,-1.390000,18.779999,178.051010,-34.480999,0.451000,-0.000013,-0.002398,-0.018728,0.999822,0.000510,0.000410,-0.894410
