frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.340000,0.000000,18.340000,0.000000,0.000000,0.241000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000410,0.000000
1,True,True,0.330000,0.000000,20.809999,-1.111000,0.000000,295.890991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000110,0.000000
2,True,True,0.330000,0.000000,23.309999,0.501000,0.000000,299.911011,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
3,True,True,0.330000,0.000000,25.840000,0.071000,0.000000,303.931000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
4,True,True,0.330000,0.000000,28.410000,0.181000,0.000000,307.950989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
5,True,True,0.330000,0.000000,31.010000,0.161000,0.000000,311.971008,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
6,True,True,0.330000,0.000000,33.639999,0.161000,0.000000,315.990997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
7,True,True,0.330000,0.000000,36.309998,0.361000,0.000000,320.010986,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
8,True,True,0.330000,0.000000,39.029999,0.561000,0.000000,326.740997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
9,True,True,0.340000,0.000000,41.809998,0.761000,0.000000,333.471008,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
10,True,True,0.350000,0.000000,44.649998,0.961000,0.000000,340.200989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
11,True,True,0.360000,0.000000,47.539997,1.161000,0.000000,346.931000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
12,True,True,0.370000,0.000000,50.489998,1.361000,0.000000,353.661011,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
13,True,True,0.380000,0.000000,53.489998,1.561000,0.000000,360.390991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
