frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.120000,0.000000,18.650000,0.000000,0.000000,0.281000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
1,True,True,0.120000,0.000000,21.119999,-0.391000,0.000000,295.960999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
2,False,False,0.120000,0.000000,23.619999,0.161000,0.000000,299.980988,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
3,False,False,0.120000,0.000000,26.150000,0.021000,0.000000,304.001007,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
4,False,False,0.120000,0.000000,28.619999,-0.011000,0.000000,295.871002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
5,False,False,0.120000,0.000000,31.019999,0.000000,0.000000,287.740997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
6,False,False,0.120000,0.000000,33.349998,-0.011000,0.000000,279.610992,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
7,False,False,0.120000,0.000000,35.610001,-0.011000,0.000000,271.480988,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
8,False,False,0.120000,0.000000,37.829998,-0.011000,0.000000,266.061005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
9,False,False,0.120000,0.000000,40.000000,-0.011000,0.000000,260.640991,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
10,False,False,0.120000,0.000000,42.129997,-0.011000,0.000000,255.221008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
11,False,False,0.120000,0.000000,44.209999,-0.011000,0.000000,249.800995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
12,False,False,0.120000,0.000000,46.250000,-0.011000,0.000000,244.380997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
13,False,False,0.120000,0.000000,48.239998,-0.011000,0.000000,238.960999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
14,False,False,0.120000,0.000000,50.189999,-0.011000,0.000000,233.541000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
15,False,False,0.120000,0.000000,52.090000,-0.011000,0.000000,228.121002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
16,False,False,0.120000,0.000000,53.949997,-0.011000,0.000000,222.701004,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
17,False,False,0.120000,0.000000,55.759998,-0.011000,0.000000,217.281006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
18,False,False,0.120000,0.000000,57.529999,-0.011000,0.000000,211.861008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
19,False,False,0.120000,0.000000,59.250000,-0.011000,0.000000,206.441010,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
20,False,False,0.120000,0.000000,60.930000,-0.011000,0.000000,201.020996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
21,False,False,0.120000,0.000000,62.559998,-0.011000,0.000000,195.600998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
22,False,False,0.120000,0.000000,64.139999,-0.011000,0.000000,190.181000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
23,False,False,0.120000,0.000000,65.680000,-0.011000,0.000000,184.761002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
24,False,False,0.120000,0.000000,67.169998,-0.011000,0.000000,179.341003,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
25,False,False,0.120000,0.000000,68.619995,-0.011000,0.000000,173.921005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
26,False,False,0.120000,0.000000,70.019997,-0.011000,0.000000,168.501007,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
27,False,False,0.120000,0.000000,71.379997,-0.011000,0.000000,163.081009,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
28,False,False,0.120000,0.000000,72.689995,-0.011000,0.000000,157.661011,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
29,False,False,0.120000,0.000000,73.959999,-0.011000,0.000000,152.240997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
30,False,False,0.120000,0.000000,75.180000,-0.011000,0.000000,146.820999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
31,False,False,0.120000,0.000000,76.360001,-0.011000,0.000000,141.401001,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
32,False,False,0.120000,0.000000,77.489998,-0.011000,0.000000,135.981003,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
33,False,False,0.120000,0.000000,78.580002,-0.011000,0.000000,130.561005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
34,False,False,0.120000,0.000000,79.619995,-0.011000,0.000000,125.140999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
35,False,False,0.120000,0.000000,80.619995,-0.011000,0.000000,119.720993,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
36,False,False,0.120000,0.000000,81.570000,-0.011000,0.000000,114.300995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
37,False,False,0.120000,0.000000,82.479996,-0.011000,0.000000,108.880997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
38,False,False,0.120000,0.000000,83.339996,-0.011000,0.000000,103.460999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
39,False,False,0.120000,0.000000,84.159996,-0.011000,0.000000,98.041000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
40,False,False,0.120000,0.000000,84.930000,-0.011000,0.000000,92.620995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
41,False,False,0.120000,0.000000,85.659996,-0.011000,0.000000,87.200996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
42,False,False,0.120000,0.000000,86.339996,-0.011000,0.000000,81.780998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
43,False,False,0.120000,0.000000,86.979996,-0.011000,0.000000,76.361000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
44,False,False,0.120000,0.000000,87.570000,-0.011000,0.000000,70.940994,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
45,False,False,0.120000,0.000000,88.119995,-0.011000,0.000000,65.520996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
46,False,False,0.120000,0.000000,88.619995,-0.011000,0.000000,60.100998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
47,False,False,0.120000,0.000000,89.079994,-0.011000,0.000000,54.681000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
48,False,False,0.120000,0.000000,89.489998,-0.011000,0.000000,49.260998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
49,False,False,0.120000,0.000000,89.860001,-0.011000,0.000000,43.841000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
50,False,False,0.120000,0.000000,90.180000,-0.011000,0.000000,38.420998,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
51,False,False,0.120000,0.000000,90.459999,-0.011000,0.000000,33.000999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
52,False,False,0.120000,0.000000,90.689995,-0.011000,0.000000,27.580999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
53,False,False,0.120000,0.000000,90.869995,-0.011000,0.000000,22.160999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
54,False,False,0.120000,0.000000,91.009995,-0.011000,0.000000,16.740999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
55,False,False,0.120000,0.000000,91.099998,-0.011000,0.000000,11.321000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
56,False,False,0.120000,0.000000,91.150002,-0.011000,0.000000,5.901000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
57,False,False,0.120000,0.000000,91.150002,-0.011000,0.000000,0.481000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
58,False,False,0.120000,0.000000,91.110001,-0.011000,0.000000,-4.931000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
59,False,False,0.120000,0.000000,91.019997,-0.011000,0.000000,-10.341001,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
60,False,False,0.120000,0.000000,90.889999,-0.011000,0.000000,-15.751000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
61,False,False,0.120000,0.000000,90.709999,-0.011000,0.000000,-21.160999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
62,False,False,0.120000,0.000000,90.489998,-0.011000,0.000000,-26.570999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
63,False,False,0.120000,0.000000,90.220001,-0.011000,0.000000,-31.980999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
