frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.120000,0.000000,18.650000,0.000000,0.000000,0.281000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
1,True,True,0.120000,0.000000,21.119999,-0.391000,0.000000,295.960999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
2,True,True,0.120000,0.000000,23.619999,0.161000,0.000000,299.980988,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
3,True,True,0.120000,0.000000,26.150000,0.021000,0.000000,304.001007,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
4,True,True,0.120000,0.000000,28.719999,0.051000,0.000000,308.020996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
5,True,True,0.120000,0.000000,31.320000,0.041000,0.000000,312.040985,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
6,True,True,0.120000,0.000000,33.950001,0.051000,0.000000,316.061005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
7,True,True,0.120000,0.000000,36.619999,0.121000,0.000000,320.080994,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
8,True,True,0.120000,0.000000,39.340000,0.191000,0.000000,326.811005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
9,True,True,0.120000,0.000000,42.119999,0.261000,0.000000,333.540985,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
10,True,True,0.120000,0.000000,44.959999,0.331000,0.000000,340.270996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
11,True,True,0.120000,0.000000,47.849998,0.401000,0.000000,347.001007,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
12,True,True,0.120000,0.000000,50.799999,0.471000,0.000000,353.730988,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
13,True,True,0.120000,0.000000,53.799999,0.541000,0.000000,360.460999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
14,True,True,0.130000,0.000000,56.860001,0.611000,0.000000,367.191010,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
15,True,True,0.140000,0.000000,59.980000,0.681000,0.000000,373.920990,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
16,True,True,0.150000,0.000000,63.149998,0.751000,0.000000,380.651001,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
17,True,True,0.160000,0.000000,66.379997,0.821000,0.000000,387.381012,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
18,True,True,0.170000,0.000000,69.659996,0.891000,0.000000,394.110992,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
19,True,True,0.180000,0.000000,73.000000,0.961000,0.000000,400.841003,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
20,True,True,0.190000,0.000000,76.400002,1.031000,0.000000,407.570984,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
21,True,True,0.200000,0.000000,79.849998,1.101000,0.000000,414.300995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
22,True,True,0.210000,0.000000,83.360001,1.171000,0.000000,421.031006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
23,True,True,0.220000,0.000000,86.919998,1.241000,0.000000,427.760986,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
24,True,True,0.230000,0.000000,90.540001,1.311000,0.000000,434.490997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
25,True,True,0.240000,0.000000,94.119995,1.311000,0.000000,429.070984,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
26,True,True,0.250000,0.000000,97.650002,1.311000,0.000000,423.651001,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
27,True,True,0.260000,0.000000,101.139999,1.311000,0.000000,418.230988,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
28,True,True,0.270000,0.000000,104.579994,1.311000,0.000000,412.811005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
29,True,True,0.280000,0.000000,107.970001,1.311000,0.000000,407.390991,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
30,True,True,0.290000,0.000000,111.320000,1.311000,0.000000,401.971008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
31,True,True,0.300000,0.000000,114.619995,1.311000,0.000000,396.550995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
32,True,True,0.310000,0.000000,117.879997,1.311000,0.000000,391.131012,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
33,True,True,0.320000,0.000000,121.089996,1.311000,0.000000,385.710999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
34,True,True,0.330000,0.000000,124.259995,1.311000,0.000000,380.290985,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
35,True,True,0.340000,0.000000,127.379997,1.311000,0.000000,374.871002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
36,True,True,0.350000,0.000000,130.459991,1.311000,0.000000,369.450989,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
37,True,True,0.360000,0.000000,133.489990,1.311000,0.000000,364.031006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
38,True,True,0.370000,0.000000,136.479996,1.311000,0.000000,358.610992,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
39,True,True,0.380000,0.000000,139.419998,1.311000,0.000000,353.191010,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
40,True,True,0.390000,0.000000,142.319992,1.311000,0.000000,347.770996,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
41,True,True,0.400000,0.000000,145.169998,1.311000,0.000000,342.351013,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
42,True,True,0.410000,0.000000,147.979996,1.311000,0.000000,336.931000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
43,True,True,0.420000,0.000000,150.739990,1.311000,0.000000,331.510986,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
44,True,True,0.430000,0.000000,153.459991,1.311000,0.000000,326.091003,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
45,True,True,0.440000,0.000000,156.129990,1.311000,0.000000,320.670990,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
46,True,True,0.450000,0.000000,158.759995,1.311000,0.000000,315.251007,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
47,True,True,0.460000,0.000000,161.339996,1.311000,0.000000,309.830994,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
48,True,True,0.470000,0.000000,163.879990,1.311000,0.000000,304.411011,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
49,True,True,0.480000,0.000000,166.369995,1.311000,0.000000,298.990997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
50,True,True,0.490000,0.000000,168.819992,1.311000,0.000000,293.571014,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
51,True,True,0.500000,0.000000,171.220001,1.311000,0.000000,288.151001,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
52,True,True,0.510000,0.000000,173.580002,1.311000,0.000000,282.730988,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
53,True,True,0.520000,0.000000,175.889999,1.311000,0.000000,277.311005,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
54,True,True,0.530000,0.000000,178.159988,1.311000,0.000000,271.890991,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
55,True,True,0.540000,0.000000,180.379990,1.311000,0.000000,266.471008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
56,True,True,0.550000,0.000000,182.559998,1.311000,0.000000,261.050995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
57,True,True,0.560000,0.000000,184.690002,1.311000,0.000000,255.630997,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
58,True,True,0.570000,0.000000,186.779999,1.311000,0.000000,250.210999,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
59,True,True,0.580000,0.000000,188.819992,1.311000,0.000000,244.791000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
60,True,True,0.590000,0.000000,190.809998,1.311000,0.000000,239.371002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
61,True,True,0.600000,0.000000,192.759995,1.311000,0.000000,233.951004,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
62,True,True,0.610000,0.000000,194.659988,1.311000,0.000000,228.531006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
63,True,True,0.620000,0.000000,196.519989,1.311000,0.000000,223.111008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
64,True,True,0.630000,0.000000,198.330002,1.311000,0.000000,217.691010,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
