frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.120000,0.000000,18.650000,0.000000,0.000000,0.281000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,893.139954,0.000000,0.131000,78.760994,-0.500868,0.500872,-0.499126,-0.499131,0.040410,0.000000,-0.000110,0.000000,-0.010000,1045.780029,0.000000,-0.821000,78.640999,-0.000089,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
2,False,False,1.000000,0.110000,0.000000,3.010000,892.239990,0.000000,0.121000,73.890999,-0.501036,0.501038,-0.498959,-0.498964,0.050910,0.000000,-0.000110,0.000000,-0.120000,1056.020020,0.000000,-9.311000,137.621002,-0.000181,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
3,False,False,1.000000,0.110000,0.000000,3.010000,892.570007,0.000000,0.111000,69.020996,-0.501170,0.501182,-0.498818,-0.498824,0.061210,0.000000,-0.000110,0.000000,-0.200000,1058.579956,0.000000,-9.301001,132.161011,-0.000272,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
4,False,False,1.000000,0.110000,0.000000,3.010000,893.099976,0.000000,0.101000,64.151001,-0.501316,0.501337,-0.498667,-0.498673,0.071310,0.000000,-0.000110,0.000000,-0.310000,1059.979980,0.000000,-12.711000,168.441010,-0.000364,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
5,False,False,1.000000,0.110000,0.000000,3.010000,893.589966,0.000000,0.091000,59.280998,-0.501483,0.501508,-0.498495,-0.498505,0.081210,0.000000,-0.000110,0.000000,-0.420000,1061.339966,0.000000,-12.701000,162.981003,-0.000456,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
6,False,False,1.000000,0.110000,0.000000,3.010000,894.039978,0.000000,0.081000,54.410999,-0.501672,0.501694,-0.498306,-0.498317,0.090910,0.000000,-0.000110,0.000000,-0.570000,1063.219971,0.000000,-18.450998,225.550995,-0.000548,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
7,False,False,1.000000,0.110000,0.000000,3.010000,894.449951,0.000000,0.071000,49.540997,-0.501883,0.501902,-0.498095,-0.498106,0.100410,0.000000,-0.000110,0.000000,-0.720000,1065.049927,0.000000,-18.441000,220.070999,-0.000639,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
8,False,False,1.000000,0.110000,0.000000,3.010000,894.820007,0.000000,0.061000,44.670998,-0.502109,0.502130,-0.497863,-0.497880,0.109710,0.000000,-0.000110,0.000000,-0.870000,1066.839966,0.000000,-18.431000,214.591003,-0.000731,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
9,False,False,1.000000,0.110000,0.000000,3.010000,895.149963,0.000000,0.051000,39.800999,-0.502357,0.502374,-0.497615,-0.497631,0.118810,0.000000,-0.000110,0.000000,-1.020000,1068.579956,0.000000,-18.421000,209.111008,-0.000823,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
10,False,False,1.000000,0.110000,0.000000,3.010000,895.440002,0.000000,0.041000,34.931000,-0.502622,0.502643,-0.497345,-0.497362,0.127710,0.000000,-0.000110,0.000000,-1.170000,1070.280029,0.000000,-18.410999,203.641006,-0.000914,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
11,False,False,1.000000,0.110000,0.000000,3.010000,895.690002,0.000000,0.031000,30.060999,-0.502902,0.502928,-0.497060,-0.497076,0.136410,0.000000,-0.000110,0.000000,-1.320000,1071.929932,0.000000,-18.400999,198.171005,-0.001006,0.000003,0.000003,1.000000,-0.022510,0.000000,0.000000
12,False,False,1.000000,0.110000,0.000000,3.010000,895.899963,0.000000,0.021000,25.190998,-0.503204,0.503223,-0.496758,-0.496774,0.144910,0.000000,-0.000110,0.000000,-1.470000,1073.539917,0.000000,-18.390999,192.701004,-0.001098,0.000003,0.000003,0.999999,-0.022510,0.000000,0.000000
13,False,False,1.000000,0.110000,0.000000,3.010000,896.070007,0.000000,0.011000,20.320999,-0.503523,0.503543,-0.496434,-0.496450,0.153210,0.000000,-0.000110,0.000000,-1.620000,1075.099976,0.000000,-18.380999,187.231003,-0.001190,0.000003,0.000003,0.999999,-0.022510,0.000000,0.000000
