frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.120000,0.000000,18.650000,0.000000,0.000000,0.281000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
1,True,True,-1.000000,1.000000,0.290000,-0.030000,18.650000,20.681000,-3.361000,0.231000,0.000003,0.003008,-0.000337,0.999995,-0.000510,-0.000610,-0.081210
2,True,True,-1.000000,1.000000,0.630000,-0.090000,18.650000,41.041000,-6.911000,0.191000,0.000003,0.003002,-0.001033,0.999995,-0.000910,-0.000710,-0.167310
3,True,True,-1.000000,1.000000,1.140000,-0.180000,18.650000,61.150997,-10.551001,0.171000,0.000003,0.002997,-0.002101,0.999993,-0.001210,-0.000710,-0.256010
4,True,True,-1.000000,1.000000,1.820000,-0.300000,18.650000,81.030998,-14.291000,0.151000,0.000003,0.002991,-0.003547,0.999989,-0.001410,-0.000710,-0.346410
5,True,True,-1.000000,1.000000,2.660000,-0.450000,18.650000,100.690994,-18.140999,0.141000,0.000003,0.002986,-0.005371,0.999981,-0.001510,-0.000610,-0.438110
6,True,True,-1.000000,1.000000,3.660000,-0.630000,18.650000,120.140999,-22.091000,0.141000,0.000003,0.002986,-0.007582,0.999967,-0.001510,-0.000510,-0.530210
7,True,True,-1.000000,1.000000,4.820000,-0.850000,18.650000,139.391006,-26.150999,0.141000,0.000003,0.002986,-0.010177,0.999944,-0.001510,-0.000410,-0.622110
8,True,True,-1.000000,1.000000,6.140000,-1.100000,18.650000,158.451004,-30.330999,0.141000,0.000008,0.002986,-0.013150,0.999909,-0.001410,-0.000410,-0.713310
9,True,True,-1.000000,1.000000,7.620000,-1.390000,18.650000,177.331009,-34.650997,0.141000,0.000013,0.002986,-0.016495,0.999860,-0.001310,-0.000410,-0.803210
10,True,True,-1.000000,1.000000,9.250000,-1.720000,18.650000,196.031006,-39.120998,0.141000,0.000019,0.002986,-0.020206,0.999791,-0.001210,-0.000410,-0.891310
11,True,True,-1.000000,1.000000,11.040000,-2.080000,18.650000,214.541000,-43.780998,0.141000,0.000024,0.002986,-0.024279,0.999701,-0.001110,-0.000410,-0.977310
12,True,True,-1.000000,1.000000,12.980000,-2.490000,18.650000,232.871002,-48.640999,0.141000,0.000035,0.002986,-0.028698,0.999584,-0.001010,-0.000410,-1.060910
13,True,True,-1.000000,1.000000,15.070000,-2.940000,18.650000,251.011002,-53.730999,0.141000,0.000046,0.002986,-0.033451,0.999436,-0.000910,-0.000410,-1.141810
14,True,True,-1.000000,1.000000,17.309999,-3.430000,18.650000,268.950989,-59.070999,0.141000,0.000057,0.002986,-0.038532,0.999253,-0.000810,-0.000410,-1.219810
15,True,True,-1.000000,1.000000,19.699999,-3.970000,18.650000,286.681000,-64.690994,0.141000,0.000067,0.002986,-0.043922,0.999031,-0.000710,-0.000410,-1.294810
16,True,True,-1.000000,1.000000,22.240000,-4.560000,18.650000,304.200989,-70.611000,0.141000,0.000084,0.002986,-0.049613,0.998764,-0.000510,-0.000410,-1.366810
17,True,True,-1.000000,1.000000,24.920000,-5.200000,18.650000,321.490997,-76.861000,0.141000,0.000100,0.002986,-0.055586,0.998450,-0.000410,-0.000410,-1.435610
18,True,True,-1.000000,1.000000,27.740000,-5.900000,18.650000,338.550995,-83.450996,0.141000,0.000116,0.002986,-0.061827,0.998082,-0.000310,-0.000410,-1.501110
19,True,True,-1.000000,1.000000,30.699999,-6.650000,18.650000,355.360992,-90.410995,0.141000,0.000132,0.002981,-0.068328,0.997658,-0.000210,-0.000410,-1.563310
20,True,True,-1.000000,1.000000,33.799999,-7.460000,18.650000,371.911011,-97.760994,0.141000,0.000154,0.002981,-0.075072,0.997174,0.000000,-0.000410,-1.622210
21,True,True,-1.000000,1.000000,37.029999,-8.340000,18.650000,388.181000,-105.520996,0.141000,0.000175,0.002975,-0.082042,0.996625,0.000000,-0.000410,-1.677810
22,True,True,-1.000000,1.000000,40.399998,-9.290000,18.650000,404.161011,-113.690994,0.141000,0.000197,0.002970,-0.089222,0.996007,0.000000,-0.000310,-1.730110
