frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.340000,0.000000,18.340000,0.000000,0.000000,0.241000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000410,0.000000
1,True,True,0.330000,0.000000,20.809999,-1.111000,0.000000,295.890991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000110,0.000000
2,False,False,0.330000,0.000000,23.309999,0.501000,0.000000,299.911011,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
3,False,False,0.330000,0.000000,25.840000,0.071000,0.000000,303.931000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
4,False,False,0.330000,0.000000,28.309999,-0.011000,0.000000,295.800995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
5,False,False,0.330000,0.000000,30.709999,0.000000,0.000000,287.670990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
6,False,False,0.330000,0.000000,33.040001,0.000000,0.000000,279.541016,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
7,False,False,0.330000,0.000000,35.299999,0.000000,0.000000,271.411011,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
8,False,False,0.330000,0.000000,37.520000,0.000000,0.000000,265.990997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
9,False,False,0.330000,0.000000,39.689999,0.000000,0.000000,260.571014,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
10,False,False,0.330000,0.000000,41.820000,0.000000,0.000000,255.151001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
11,False,False,0.330000,0.000000,43.899998,0.000000,0.000000,249.731003,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
12,False,False,0.330000,0.000000,45.939999,0.000000,0.000000,244.311005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
13,False,False,0.330000,0.000000,47.930000,0.000000,0.000000,238.891006,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
