frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,0.000000,0.000000,-2000.000000,-4500.089844,18.779999,0.000000,0.011000,0.351000,0.001718,-0.001718,0.707101,0.707108,-0.000610,0.000000,0.000000
1,False,True,True,0.000000,1.000000,-2000.000000,-4499.909668,18.779999,0.000000,21.601000,0.391000,0.001713,-0.001713,0.707101,0.707108,-0.001010,0.000000,0.000000
2,False,True,True,0.000000,1.000000,-2000.000000,-4499.549805,18.779999,0.000000,43.010998,0.421000,0.001707,-0.001707,0.707101,0.707108,-0.001110,0.000000,0.000000
3,False,True,True,0.000000,1.000000,-2000.000000,-4499.009766,18.779999,0.000000,64.230995,0.431000,0.001702,-0.001702,0.707101,0.707108,-0.001110,0.000000,0.000000
4,False,True,True,0.000000,1.000000,-2000.000000,-4498.299805,18.779999,0.000000,85.270996,0.441000,0.001697,-0.001697,0.707101,0.707108,-0.001010,0.000000,0.000000
5,False,True,True,0.000000,1.000000,-2000.000000,-4497.409668,18.779999,0.000000,106.130997,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000910,0.000000,0.000000
6,False,True,True,0.000000,1.000000,-2000.000000,-4496.350098,18.779999,0.000000,126.810997,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000710,0.000000,0.000000
7,False,True,True,0.000000,1.000000,-2000.000000,-4495.120117,18.779999,0.000000,147.320999,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000610,0.000000,0.000000
8,False,True,True,0.000000,1.000000,-2000.000000,-4493.719727,18.779999,0.000000,167.651001,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000610,0.000000,0.000000
9,False,True,True,0.000000,1.000000,-2000.000000,-4492.149902,18.779999,0.000000,187.811005,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000510,0.000000,0.000000
10,False,True,True,0.000000,1.000000,-2000.000000,-4490.419922,18.779999,0.000000,207.791000,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000510,0.000000,0.000000
11,False,True,True,0.000000,1.000000,-2000.000000,-4488.520020,18.779999,0.000000,227.600998,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000510,0.000000,0.000000
12,False,True,True,0.000000,1.000000,-2000.000000,-4486.459961,18.779999,0.000000,247.240997,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000510,0.000000,0.000000
13,False,True,True,0.000000,1.000000,-2000.000000,-4484.239746,18.779999,0.000000,266.710999,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000510,0.000000,0.000000
