frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,2.570000,892.799988,0.000000,-0.141000,78.870995,-0.502503,0.502532,-0.497453,-0.497486,0.092610,0.000000,-0.000510,0.000000,2.570000,1047.809937,0.000000,0.891000,78.030998,-0.000380,0.000003,0.000003,1.000000,-0.091410,0.000000,0.000000
2,False,False,1.000000,-0.100000,0.000000,2.460000,891.760010,0.000000,-0.141000,74.000999,-0.502940,0.502971,-0.497011,-0.497043,0.080010,0.000000,-0.000410,0.000000,3.150000,1058.900024,0.000000,-7.591000,137.011002,-0.000763,0.000003,0.000003,1.000000,-0.091410,0.000000,0.000000
3,False,False,1.000000,-0.100000,0.000000,2.440000,892.049988,0.000000,-0.141000,69.130997,-0.503129,0.503155,-0.496822,-0.496855,0.067710,0.000000,-0.000310,0.000000,3.200000,1061.689941,0.000000,-7.581000,131.551010,-0.001146,0.000003,0.000003,0.999999,-0.091410,0.000000,0.000000
4,False,False,1.000000,-0.100000,0.000000,2.440000,892.589966,0.000000,-0.141000,64.261002,-0.503242,0.503276,-0.496704,-0.496736,0.055710,0.000000,-0.000210,0.000000,3.150000,1063.079956,0.000000,-6.561000,167.320999,-0.001529,0.000003,0.000003,0.999999,-0.091410,0.000000,0.000000
5,False,False,1.000000,-0.100000,0.000000,2.440000,893.079956,0.000000,-0.141000,59.390999,-0.503334,0.503365,-0.496612,-0.496644,0.043910,0.000000,-0.000210,0.000000,3.100000,1064.429932,0.000000,-4.861000,228.951004,-0.001912,0.000003,0.000003,0.999998,-0.091410,0.000000,0.000000
6,False,False,1.000000,-0.100000,0.000000,2.440000,893.529968,0.000000,-0.141000,54.521000,-0.503398,0.503439,-0.496542,-0.496574,0.032410,0.000000,-0.000210,0.000000,3.060000,1066.289917,0.000000,-4.851000,223.471008,-0.002295,0.000003,0.000003,0.999997,-0.091410,0.000000,0.000000
7,False,False,1.000000,-0.100000,0.000000,2.440000,893.940002,0.000000,-0.141000,49.650997,-0.503442,0.503481,-0.496498,-0.496531,0.021110,0.000000,-0.000210,0.000000,3.020000,1068.109985,0.000000,-4.841000,217.990997,-0.002679,0.000003,0.000003,0.999996,-0.091410,0.000000,0.000000
8,False,False,1.000000,-0.100000,0.000000,2.440000,894.309998,0.000000,-0.141000,44.780998,-0.503463,0.503502,-0.496477,-0.496509,0.010110,0.000000,-0.000210,0.000000,2.980000,1069.880005,0.000000,-4.831000,212.511002,-0.003062,0.000003,0.000003,0.999995,-0.091410,0.000000,0.000000
9,False,False,1.000000,-0.100000,0.000000,2.440000,894.639954,0.000000,-0.141000,39.910999,-0.503463,0.503502,-0.496477,-0.496509,-0.000610,0.000000,-0.000210,0.000000,2.940000,1071.609985,0.000000,-4.821000,207.041000,-0.003445,0.000003,0.000003,0.999994,-0.091410,0.000000,0.000000
10,False,False,1.000000,-0.100000,0.000000,2.440000,894.929993,0.000000,-0.141000,35.041000,-0.503442,0.503481,-0.496498,-0.496531,-0.011110,0.000000,-0.000210,0.000000,2.900000,1073.289917,0.000000,-4.811000,201.570999,-0.003828,0.000003,0.000003,0.999993,-0.091410,0.000000,0.000000
