frame,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
2,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
3,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
4,-1.000000,0.070000,0.000000,17.010000,-13.331000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000310,0.000000
5,-1.000000,-0.150000,0.000000,17.010000,-26.550999,0.000000,0.251000,0.000003,0.004804,0.000003,0.999989,0.000000,0.000710,0.000000
6,-1.000000,-0.480000,0.000000,17.010000,-39.650997,0.000000,0.251000,0.000003,0.004809,0.000003,0.999988,0.000000,0.000910,0.000000
7,-1.000000,-0.920000,0.000000,17.010000,-52.640999,0.000000,0.251000,0.000003,0.004815,0.000003,0.999988,0.000000,0.001010,0.000000
8,-1.000000,-1.470000,0.000000,17.010000,-65.520996,0.000000,0.251000,0.000003,0.004820,0.000003,0.999988,0.000000,0.001010,0.000000
9,-1.000000,-2.120000,0.000000,17.010000,-78.291000,0.000000,0.251000,0.000003,0.004826,0.000003,0.999988,0.000000,0.000910,0.000000
10,-1.000000,-2.880000,0.000000,17.010000,-90.950996,0.000000,0.251000,0.000003,0.004831,0.000003,0.999988,0.000000,0.000810,0.000000
11,-1.000000,-3.740000,0.000000,17.010000,-103.500999,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000710,0.000000
12,-1.000000,-4.710000,0.000000,17.010000,-115.940994,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000610,0.000000
13,-1.000000,-5.780000,0.000000,17.010000,-128.281006,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000510,0.000000
14,-1.000000,-6.950000,0.000000,17.010000,-140.511002,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000410,0.000000
15,-1.000000,-8.220000,0.000000,17.010000,-152.630997,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000410,0.000000
16,-1.000000,-9.590000,0.000000,17.010000,-164.651001,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000410,0.000000
17,-1.000000,-11.059999,0.000000,17.010000,-176.570999,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000410,0.000000
18,-1.000000,-12.630000,0.000000,17.010000,-188.391006,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000410,0.000000
19,-1.000000,-14.299999,0.000000,17.010000,-200.100998,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000310,0.000000
20,-1.000000,-16.059999,0.000000,17.010000,-211.710999,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000310,0.000000
21,-1.000000,-17.920000,0.000000,17.010000,-223.221008,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000310,0.000000
22,-1.000000,-19.879999,0.000000,17.010000,-234.641006,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000310,0.000000
23,-1.000000,-21.930000,0.000000,17.010000,-245.960999,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000310,0.000000
24,-1.000000,-24.070000,0.000000,17.010000,-257.181000,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000310,0.000000
25,-1.000000,-26.309999,0.000000,17.010000,-268.311005,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000310,0.000000
26,-1.000000,-28.639999,0.000000,17.010000,-279.341003,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000210,0.000000
27,-1.000000,-31.059999,0.000000,17.010000,-290.281006,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000210,0.000000
28,-1.000000,-33.570000,0.000000,17.010000,-301.121002,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000210,0.000000
29,-1.000000,-36.169998,0.000000,17.010000,-311.871002,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000210,0.000000
30,-1.000000,-38.860001,0.000000,17.010000,-322.531006,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000210,0.000000
31,-1.000000,-41.639999,0.000000,17.010000,-333.091003,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000210,0.000000
32,-1.000000,-44.500000,0.000000,17.010000,-343.561005,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000210,0.000000
33,-1.000000,-47.450001,0.000000,17.010000,-353.941010,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
34,-1.000000,-50.489998,0.000000,17.010000,-364.240997,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
35,-1.000000,-53.610001,0.000000,17.010000,-374.450989,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
36,-1.000000,-56.809998,0.000000,17.010000,-384.570984,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
37,-1.000000,-60.099998,0.000000,17.010000,-394.601013,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
38,-1.000000,-63.469997,0.000000,17.010000,-404.550995,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
39,-1.000000,-66.919998,0.000000,17.010000,-414.411011,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
40,-1.000000,-70.449997,0.000000,17.010000,-424.191010,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000110,0.000000
41,-1.000000,-74.070000,0.000000,17.010000,-433.881012,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
42,-1.000000,-77.769997,0.000000,17.010000,-443.490997,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
43,-1.000000,-81.549995,0.000000,17.010000,-453.020996,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
44,-1.000000,-85.400002,0.000000,17.010000,-462.471008,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
45,-1.000000,-89.329994,0.000000,17.010000,-471.841003,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
46,-1.000000,-93.339996,0.000000,17.010000,-481.130981,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
47,-1.000000,-97.430000,0.000000,17.010000,-490.341003,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
48,-1.000000,-101.589996,0.000000,17.010000,-499.471008,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
49,-1.000000,-105.829994,0.000000,17.010000,-508.520996,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
50,-1.000000,-110.139999,0.000000,17.010000,-517.490967,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
51,-1.000000,-114.529999,0.000000,17.010000,-526.380981,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
52,-1.000000,-118.989998,0.000000,17.010000,-535.200989,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
53,-1.000000,-123.519997,0.000000,17.010000,-543.940979,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
54,-1.000000,-128.129990,0.000000,17.010000,-552.610962,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
55,-1.000000,-132.809998,0.000000,17.010000,-561.200989,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
56,-1.000000,-137.559998,0.000000,17.010000,-569.720947,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
57,-1.000000,-142.379990,0.000000,17.010000,-578.170959,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
58,-1.000000,-147.270004,0.000000,17.010000,-586.540955,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
59,-1.000000,-152.229996,0.000000,17.010000,-594.840942,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
60,-1.000000,-157.259995,0.000000,17.010000,-603.070984,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
61,-1.000000,-162.349991,0.000000,17.010000,-611.230957,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
62,-1.000000,-167.509995,0.000000,17.010000,-619.320984,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
63,-1.000000,-172.739990,0.000000,17.010000,-627.340942,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
64,-1.000000,-178.029999,0.000000,17.010000,-635.290955,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
65,-1.000000,-183.389999,0.000000,17.010000,-643.170959,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
66,-1.000000,-188.809998,0.000000,17.010000,-650.990967,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
67,-1.000000,-194.300003,0.000000,17.010000,-658.740967,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
68,-1.000000,-199.849991,0.000000,17.010000,-666.420959,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
69,-1.000000,-205.470001,0.000000,17.010000,-674.040955,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
70,-1.000000,-211.149994,0.000000,17.010000,-681.590942,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
71,-1.000000,-216.889999,0.000000,17.010000,-689.080933,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
72,-1.000000,-222.690002,0.000000,17.010000,-696.500977,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
73,-1.000000,-228.559998,0.000000,17.010000,-703.860962,0.000000,0.251000,0.000003,0.004836,0.000003,0.999988,0.000000,0.000000,0.000000
