frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
2,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
3,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.251000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
4,True,True,0.000000,0.000000,0.170000,0.000000,19.480000,-0.621000,0.000000,295.931000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
5,False,False,0.000000,0.000000,0.170000,0.000000,21.980000,0.271000,0.000000,299.950989,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
6,False,False,0.000000,0.000000,0.170000,0.000000,24.510000,0.041000,0.000000,303.971008,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
7,False,False,0.000000,0.000000,0.170000,0.000000,26.980000,-0.011000,0.000000,295.841003,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
8,False,False,0.000000,0.000000,0.170000,0.000000,29.379999,0.000000,0.000000,287.710999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
9,False,False,0.000000,0.000000,0.170000,0.000000,31.709999,0.000000,0.000000,279.580994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
10,False,False,0.000000,0.000000,0.170000,0.000000,33.969997,0.000000,0.000000,271.450989,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
11,False,False,0.000000,0.000000,0.170000,0.000000,36.189999,0.000000,0.000000,266.031006,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
12,False,False,0.000000,0.000000,0.170000,0.000000,38.360001,0.000000,0.000000,260.610992,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
13,False,False,0.000000,0.000000,0.170000,0.000000,40.489998,0.000000,0.000000,255.190994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
14,False,False,0.000000,0.000000,0.170000,0.000000,42.570000,0.000000,0.000000,249.770996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
15,False,False,0.000000,0.000000,0.170000,0.000000,44.610001,0.000000,0.000000,244.350998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
16,False,False,0.000000,0.000000,0.170000,0.000000,46.599998,0.000000,0.000000,238.931000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
