frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,0.321000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,893.190002,0.000000,0.131000,78.760994,-0.500868,0.500882,-0.499115,-0.499131,0.041010,0.000000,-0.000410,0.000000,-0.010000,1045.459961,0.000000,-0.831000,78.640999,-0.000094,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
2,False,False,1.000000,-0.100000,0.000000,3.010000,892.299988,0.000000,0.121000,73.890999,-0.500992,0.501006,-0.498991,-0.499007,0.029510,0.000000,-0.000310,0.000000,-0.120000,1055.640015,0.000000,-9.311000,137.621002,-0.000192,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
3,False,False,1.000000,-0.100000,0.000000,3.010000,892.630005,0.000000,0.111000,69.020996,-0.501041,0.501054,-0.498942,-0.498959,0.018310,0.000000,-0.000210,0.000000,-0.200000,1058.189941,0.000000,-9.301001,132.161011,-0.000289,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
4,False,False,1.000000,-0.100000,0.000000,3.010000,893.159973,0.000000,0.101000,64.151001,-0.501057,0.501070,-0.498926,-0.498942,0.007310,0.000000,-0.000210,0.000000,-0.310000,1059.589966,0.000000,-12.711000,168.441010,-0.000386,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
5,False,False,1.000000,-0.100000,0.000000,3.010000,893.649963,0.000000,0.091000,59.280998,-0.501052,0.501064,-0.498932,-0.498948,-0.003310,0.000000,-0.000210,0.000000,-0.420000,1060.949951,0.000000,-18.521000,231.031006,-0.000483,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
6,False,False,1.000000,-0.100000,0.000000,3.010000,894.099976,0.000000,0.081000,54.410999,-0.501025,0.501038,-0.498958,-0.498975,-0.013710,0.000000,-0.000210,0.000000,-0.570000,1062.829956,0.000000,-18.511000,225.550995,-0.000580,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
7,False,False,1.000000,-0.100000,0.000000,3.010000,894.510010,0.000000,0.071000,49.540997,-0.500976,0.500990,-0.499007,-0.499023,-0.023910,0.000000,-0.000210,0.000000,-0.720000,1064.660034,0.000000,-18.500999,220.070999,-0.000677,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
8,False,False,1.000000,-0.100000,0.000000,3.010000,894.880005,0.000000,0.061000,44.670998,-0.500906,0.500920,-0.499077,-0.499093,-0.033910,0.000000,-0.000210,0.000000,-0.870000,1066.449951,0.000000,-18.490999,214.591003,-0.000774,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
9,False,False,1.000000,-0.100000,0.000000,3.010000,895.209961,0.000000,0.051000,39.800999,-0.500814,0.500829,-0.499169,-0.499185,-0.043710,0.000000,-0.000210,0.000000,-1.020000,1068.189941,0.000000,-18.480999,209.111008,-0.000871,0.000003,0.000003,1.000000,-0.022710,0.000000,0.000000
10,False,False,1.000000,-0.100000,0.000000,3.010000,895.500000,0.000000,0.041000,34.931000,-0.500701,0.500716,-0.499282,-0.499298,-0.053310,0.000000,-0.000210,0.000000,-1.170000,1069.890015,0.000000,-18.470999,203.641006,-0.000968,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
11,False,False,1.000000,-0.100000,0.000000,3.010000,895.750000,0.000000,0.031000,30.060999,-0.500572,0.500587,-0.499412,-0.499428,-0.062710,0.000000,-0.000210,0.000000,-1.320000,1071.539917,0.000000,-18.460999,198.171005,-0.001065,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
12,False,False,1.000000,-0.100000,0.000000,3.010000,895.959961,0.000000,0.021000,25.190998,-0.500421,0.500437,-0.499563,-0.499579,-0.071910,0.000000,-0.000210,0.000000,-1.470000,1073.150024,0.000000,-18.450998,192.701004,-0.001163,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
13,False,False,1.000000,-0.100000,0.000000,3.010000,896.130005,0.000000,0.021000,20.320999,-0.500253,0.500270,-0.499730,-0.499746,-0.080910,0.000000,-0.000210,0.000000,-1.620000,1074.709961,0.000000,-18.441000,187.231003,-0.001260,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
14,False,False,1.000000,-0.100000,0.000000,3.010000,896.260010,0.000000,0.021000,15.451000,-0.500064,0.500082,-0.499919,-0.499935,-0.089710,0.000000,-0.000210,0.000000,-1.770000,1076.219971,0.000000,-18.431000,181.761002,-0.001357,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
15,False,False,1.000000,-0.100000,0.000000,3.010000,896.349976,0.000000,0.021000,10.581000,0.499859,-0.499876,0.500124,0.500141,-0.098310,0.000000,-0.000210,0.000000,-1.920000,1077.689941,0.000000,-18.421000,176.291000,-0.001454,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
16,False,False,1.000000,-0.100000,0.000000,3.010000,896.399963,0.000000,0.021000,5.711000,0.499638,-0.499654,0.500345,0.500362,-0.106710,0.000000,-0.000210,0.000000,-2.070000,1079.109985,0.000000,-18.410999,170.820999,-0.001551,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
17,False,False,1.000000,-0.100000,0.000000,3.010000,896.409973,0.000000,0.021000,0.841000,0.499396,-0.499417,0.500582,0.500603,-0.114910,0.000000,-0.000210,0.000000,-2.220000,1080.489990,0.000000,-18.400999,165.361008,-0.001648,0.000003,0.000003,0.999999,-0.022710,0.000000,0.000000
18,False,False,1.000000,-0.100000,0.000000,3.010000,896.380005,0.000000,0.021000,-4.021000,0.499137,-0.499164,0.500836,0.500861,-0.122910,0.000000,-0.000210,0.000000,-2.370000,1081.819946,0.000000,-18.390999,159.901001,-0.001745,0.000003,0.000003,0.999998,-0.022710,0.000000,0.000000
19,False,False,1.000000,-0.100000,0.000000,3.010000,896.309998,0.000000,0.021000,-8.881001,0.498861,-0.498888,0.501106,0.501139,-0.130810,0.000000,-0.000210,0.000000,-2.520000,1083.109985,0.000000,-18.380999,154.441010,-0.001842,0.000003,0.000003,0.999998,-0.022710,0.000000,0.000000
20,False,False,1.000000,-0.100000,0.000000,3.010000,896.199951,0.000000,0.021000,-13.741000,0.498570,-0.498597,0.501392,0.501433,-0.138510,0.000000,-0.000210,0.000000,-2.670000,1084.349976,0.000000,-18.370998,148.981003,-0.001939,0.000003,0.000003,0.999998,-0.022710,0.000000,0.000000
21,False,False,1.000000,-0.100000,0.000000,3.010000,896.039978,0.000000,0.021000,-18.601000,0.498263,-0.498290,0.501694,0.501742,-0.146010,0.000000,-0.000210,0.000000,-2.820000,1085.549927,0.000000,-18.360998,143.521011,-0.002037,0.000003,0.000003,0.999998,-0.022710,0.000000,0.000000
22,True,True,1.000000,0.050000,0.000000,3.010000,895.909973,0.000000,0.081000,-15.191000,0.497977,-0.498004,0.501980,0.502024,-0.137710,0.000000,-0.000210,0.000000,-2.970000,1086.699951,0.000000,-18.351000,138.061005,-0.002134,0.000003,0.000003,0.999998,-0.022710,0.000000,0.000000
23,True,True,1.000000,0.050000,0.000000,3.010000,895.809998,0.000000,0.151000,-11.781000,0.497707,-0.497734,0.502249,0.502289,-0.129610,0.000000,-0.000210,0.000000,-3.120000,1087.809937,0.000000,-18.341000,132.600998,-0.002231,0.000003,0.000003,0.999997,-0.022710,0.000000,0.000000
24,True,True,1.000000,0.050000,0.000000,3.010000,895.739990,0.000000,0.231000,-8.371000,0.497453,-0.497480,0.502503,0.502538,-0.121710,0.000000,-0.000210,0.000000,-3.270000,1088.869995,0.000000,-18.330999,127.150993,-0.002328,0.000003,0.000003,0.999997,-0.022710,0.000000,0.000000
25,True,True,1.000000,0.050000,0.000000,3.010000,895.699951,0.000000,0.321000,-4.961000,0.497216,-0.497243,0.502740,0.502770,-0.114010,0.000000,-0.000210,0.000000,-3.420000,1089.880005,0.000000,-18.320999,121.700996,-0.002425,0.000003,0.000003,0.999997,-0.022710,0.000000,0.000000
26,True,True,1.000000,0.050000,0.000000,3.010000,895.690002,0.000000,0.411000,-1.551000,0.496995,-0.497022,0.502961,0.502986,-0.106410,0.000000,-0.000210,0.000000,-3.570000,1090.849976,0.000000,-18.310999,116.250999,-0.002522,0.000003,0.000003,0.999997,-0.022710,0.000000,0.000000
27,True,True,1.000000,0.050000,0.000000,3.010000,895.709961,0.000000,0.511000,1.851000,0.496784,-0.496817,0.503166,0.503192,-0.099010,0.000000,-0.000210,0.000000,-3.720000,1091.770020,0.000000,-18.300999,110.800995,-0.002619,0.000003,0.000003,0.999997,-0.022710,0.000000,0.000000
28,True,True,1.000000,0.050000,0.000000,3.020000,895.750000,0.000000,0.621000,5.251000,0.496590,-0.496623,0.503355,0.503386,-0.091810,0.000000,-0.000210,0.000000,-3.870000,1092.650024,0.000000,-18.290998,105.350998,-0.002716,0.000003,0.000003,0.999996,-0.022710,0.000000,0.000000
29,True,True,1.000000,0.050000,0.000000,3.030000,895.820007,0.000000,0.741000,8.651000,0.496412,-0.496445,0.503528,0.503565,-0.084810,0.000000,-0.000210,0.000000,-4.020000,1093.479980,0.000000,-18.280998,99.901001,-0.002813,0.000003,0.000003,0.999996,-0.022710,0.000000,0.000000
