frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000
1,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000
2,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000
3,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000
4,True,True,1.000000,0.000000,False,0.000000,3500.399902,0.000000,17.049999,21.520000,0.000000,8.270000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.001500,0.000000
5,True,True,1.000000,0.000000,False,0.000000,3500.649902,0.000000,17.049999,42.860001,0.000000,8.210000,0.000003,0.008402,0.000003,0.999965,0.000000,-0.002200,0.000000
6,True,True,1.000000,0.000000,False,0.000000,3501.079834,0.000000,17.049999,64.010002,0.000000,8.170000,0.000003,0.008392,0.000003,0.999965,0.000000,-0.002700,0.000000
7,True,True,1.000000,0.000000,False,0.000000,3501.679932,0.000000,17.049999,84.979996,0.000000,8.139999,0.000003,0.008381,0.000003,0.999965,0.000000,-0.002900,0.000000
8,True,True,1.000000,0.000000,False,0.000000,3502.459961,0.000000,17.049999,105.769997,0.000000,8.120000,0.000003,0.008370,0.000003,0.999965,0.000000,-0.003000,0.000000
9,True,True,1.000000,0.000000,False,0.000000,3503.409912,0.000000,17.049999,126.379997,0.000000,8.099999,0.000003,0.008359,0.000003,0.999965,0.000000,-0.003000,0.000000
10,True,True,1.000000,0.000000,False,0.000000,3504.530029,0.000000,17.049999,146.819992,0.000000,8.090000,0.000003,0.008348,0.000003,0.999965,0.000000,-0.002800,0.000000
11,True,True,1.000000,0.000000,False,0.000000,3505.819824,0.000000,17.049999,167.080002,0.000000,8.080000,0.000003,0.008338,0.000003,0.999965,0.000000,-0.002600,0.000000
12,True,True,1.000000,0.000000,False,0.000000,3507.280029,0.000000,17.049999,187.169998,0.000000,8.070000,0.000003,0.008327,0.000003,0.999965,0.000000,-0.002300,0.000000
13,True,True,1.000000,0.000000,False,0.000000,3508.909912,0.000000,17.049999,207.089996,0.000000,8.059999,0.000003,0.008316,0.000003,0.999965,0.000000,-0.002000,0.000000
14,True,True,1.000000,0.000000,False,0.000000,3510.699951,0.000000,17.049999,226.839996,0.000000,8.059999,0.000003,0.008305,0.000003,0.999965,0.000000,-0.001700,0.000000
15,True,True,1.000000,0.000000,False,0.000000,3512.659912,0.000000,17.049999,246.419998,0.000000,8.059999,0.000003,0.008300,0.000003,0.999965,0.000000,-0.001300,0.000000
16,True,True,1.000000,0.000000,False,0.000000,3514.780029,0.000000,17.049999,265.829987,0.000000,8.059999,0.000003,0.008294,0.000003,0.999966,0.000000,-0.001000,0.000000
17,True,True,1.000000,0.000000,False,0.000000,3517.059814,0.000000,17.049999,285.070007,0.000000,8.059999,0.000003,0.008289,0.000003,0.999966,0.000000,-0.000700,0.000000
18,True,True,1.000000,0.000000,False,0.000000,3519.500000,0.000000,17.049999,304.149994,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,-0.000400,0.000000
19,True,True,1.000000,0.000000,False,0.000000,3522.099854,0.000000,17.049999,323.059998,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,-0.000100,0.000000
20,True,True,1.000000,0.000000,False,0.000000,3524.859863,0.000000,17.049999,341.809998,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000000,0.000000
21,True,True,1.000000,0.000000,False,0.000000,3527.780029,0.000000,17.049999,360.399994,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000100,0.000000
22,True,True,1.000000,0.000000,False,0.000000,3530.849854,0.000000,17.049999,378.829987,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000200,0.000000
23,True,True,1.000000,0.000000,False,0.000000,3534.079834,0.000000,17.049999,397.100006,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000300,0.000000
24,True,True,1.000000,0.000000,False,0.000000,3537.459961,0.000000,17.049999,415.220001,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000300,0.000000
25,True,True,1.000000,0.000000,False,0.000000,3540.989990,0.000000,17.049999,433.179993,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000400,0.000000
26,True,True,1.000000,0.000000,False,0.000000,3544.669922,0.000000,17.049999,450.989990,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000400,0.000000
27,True,True,1.000000,0.000000,False,0.000000,3548.500000,0.000000,17.049999,468.649994,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000500,0.000000
28,True,True,1.000000,0.000000,False,0.000000,3552.469971,0.000000,17.049999,486.149994,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000500,0.000000
29,True,True,1.000000,0.000000,False,0.000000,3556.589844,0.000000,17.049999,503.500000,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000600,0.000000
30,True,True,1.000000,0.000000,False,0.000000,3560.849854,0.000000,17.049999,520.709961,0.000000,8.059999,0.000003,0.008284,0.000003,0.999966,0.000000,0.000600,0.000000
