frame,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
1,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
2,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
3,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
4,0.500000,-0.040000,0.000000,18.779999,6.711000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000510,0.000000
5,0.500000,0.070000,0.000000,18.779999,13.401000,0.000000,0.351000,0.000003,-0.002414,0.000003,0.999997,0.000000,0.000610,0.000000
6,0.500000,0.240000,0.000000,18.779999,20.060999,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
7,0.500000,0.460000,0.000000,18.779999,26.690998,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
8,0.500000,0.740000,0.000000,18.779999,33.291000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
9,0.500000,1.070000,0.000000,18.779999,39.861000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
10,0.500000,1.460000,0.000000,18.779999,46.400997,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
11,0.500000,1.900000,0.000000,18.779999,52.910999,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
12,0.500000,2.400000,0.000000,18.779999,59.400997,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
13,0.500000,2.950000,0.000000,18.779999,65.861000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
14,0.500000,3.550000,0.000000,18.779999,72.291000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
15,0.500000,4.210000,0.000000,18.779999,78.690994,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
16,0.500000,4.920000,0.000000,18.779999,85.070999,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
17,0.500000,5.680000,0.000000,18.779999,91.420998,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000610,0.000000
18,0.500000,6.490000,0.000000,18.779999,97.740997,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
19,0.500000,7.360000,0.000000,18.779999,104.030998,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
20,0.500000,8.280000,0.000000,18.779999,110.300995,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
21,0.500000,9.250000,0.000000,18.779999,116.541000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
22,0.500000,10.270000,0.000000,18.779999,122.750999,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
23,0.500000,11.340000,0.000000,18.779999,128.931000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
24,0.500000,12.469999,0.000000,18.779999,135.091003,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
25,0.500000,13.650000,0.000000,18.779999,141.221008,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
26,0.500000,14.880000,0.000000,18.779999,147.331009,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
27,0.500000,16.160000,0.000000,18.779999,153.411011,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
28,0.500000,17.490000,0.000000,18.779999,159.460999,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
29,0.500000,18.869999,0.000000,18.779999,165.490997,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
30,0.500000,20.299999,0.000000,18.779999,171.490997,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
31,0.500000,21.779999,0.000000,18.779999,177.460999,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
32,0.500000,23.309999,0.000000,18.779999,183.410995,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
33,0.500000,24.889999,0.000000,18.779999,189.331009,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
34,0.500000,26.519999,0.000000,18.779999,195.231003,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
