frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.411000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,False,False,0.000000,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.411000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
2,False,False,0.000000,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.411000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
3,False,False,0.000000,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.411000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
4,False,False,1.000000,0.000000,3500.179932,0.000000,17.000000,13.331000,0.000000,8.411000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.001010,0.000000
5,False,False,1.000000,0.000000,3500.290039,0.000000,17.000000,26.550999,0.000000,8.411000,0.000003,0.004793,0.000003,0.999988,0.000000,-0.001410,0.000000
6,False,False,1.000000,0.000000,3500.510010,0.000000,17.000000,39.650997,0.000000,8.411000,0.000003,0.004788,0.000003,0.999988,0.000000,-0.001610,0.000000
7,False,False,1.000000,0.000000,3500.839844,0.000000,17.000000,52.640999,0.000000,8.411000,0.000003,0.004782,0.000003,0.999988,0.000000,-0.001610,0.000000
8,False,False,1.000000,0.000000,3501.280029,0.000000,17.000000,65.520996,0.000000,8.411000,0.000003,0.004777,0.000003,0.999989,0.000000,-0.001610,0.000000
9,False,False,1.000000,0.000000,3501.829834,0.000000,17.000000,78.291000,0.000000,8.411000,0.000003,0.004772,0.000003,0.999989,0.000000,-0.001510,0.000000
10,False,False,1.000000,0.000000,3502.479980,0.000000,17.000000,90.950996,0.000000,8.411000,0.000003,0.004766,0.000003,0.999989,0.000000,-0.001410,0.000000
11,False,False,1.000000,0.000000,3503.239990,0.000000,17.000000,103.500999,0.000000,8.411000,0.000003,0.004761,0.000003,0.999989,0.000000,-0.001310,0.000000
12,False,False,1.000000,0.000000,3504.099854,0.000000,17.000000,115.940994,0.000000,8.411000,0.000003,0.004756,0.000003,0.999989,0.000000,-0.001210,0.000000
13,False,False,1.000000,0.000000,3505.069824,0.000000,17.000000,128.281006,0.000000,8.411000,0.000003,0.004750,0.000003,0.999989,0.000000,-0.001110,0.000000
14,False,False,1.000000,0.000000,3506.139893,0.000000,17.000000,140.511002,0.000000,8.411000,0.000003,0.004745,0.000003,0.999989,0.000000,-0.000910,0.000000
15,False,False,1.000000,0.000000,3507.309814,0.000000,17.000000,152.641006,0.000000,8.411000,0.000003,0.004739,0.000003,0.999989,0.000000,-0.000810,0.000000
16,False,False,1.000000,0.000000,3508.579834,0.000000,17.000000,164.661011,0.000000,8.411000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000710,0.000000
17,False,False,1.000000,0.000000,3509.949951,0.000000,17.000000,176.581009,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000510,0.000000
18,False,False,1.000000,0.000000,3511.419922,0.000000,17.000000,188.401001,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000410,0.000000
19,False,False,1.000000,0.000000,3512.989990,0.000000,17.000000,200.111008,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000310,0.000000
20,False,False,1.000000,0.000000,3514.659912,0.000000,17.000000,211.721008,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000210,0.000000
21,False,False,1.000000,0.000000,3516.419922,0.000000,17.000000,223.231003,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000210,0.000000
22,False,False,1.000000,0.000000,3518.280029,0.000000,17.000000,234.651001,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000210,0.000000
23,False,False,1.000000,0.000000,3520.239990,0.000000,17.000000,245.971008,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000210,0.000000
24,False,False,1.000000,0.000000,3522.290039,0.000000,17.000000,257.191010,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000210,0.000000
25,False,False,1.000000,0.000000,3524.429932,0.000000,17.000000,268.321014,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000210,0.000000
26,False,False,1.000000,0.000000,3526.669922,0.000000,17.000000,279.351013,0.000000,8.411000,0.000003,0.004729,0.000003,0.999989,0.000000,-0.000210,0.000000
